<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: test run 1.bBaseline, 2. aircleaner, 3. airlock leackage
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
31.07.2025 11:24:51	13940,0	9615,0	7015,0	4760,0	1770,0	625,0	580,0	325,0	110,0	140,0	80,0	100,0	25,0	55,0	67,0	44,0	12,0	7,0	10,0	12,0	3,0	1,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:25:51	14245,0	8980,0	6540,0	5050,0	1720,0	660,0	510,0	305,0	90,0	115,0	160,0	95,0	50,0	45,0	54,0	46,0	16,0	9,0	8,0	9,0	1,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:26:51	14100,0	8935,0	7210,0	4540,0	1660,0	610,0	590,0	265,0	100,0	185,0	135,0	85,0	30,0	45,0	33,0	23,0	16,0	9,0	16,0	3,0	5,0	1,0	2,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:27:51	13975,0	8915,0	6910,0	4780,0	1825,0	530,0	685,0	280,0	105,0	170,0	120,0	105,0	60,0	65,0	50,0	32,0	8,0	9,0	16,0	4,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:28:51	13605,0	8710,0	6595,0	4745,0	1660,0	775,0	530,0	355,0	150,0	135,0	110,0	75,0	45,0	30,0	54,0	34,0	25,0	11,0	8,0	7,0	3,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:29:51	13745,0	8745,0	6450,0	4985,0	1780,0	660,0	620,0	285,0	100,0	145,0	110,0	90,0	30,0	70,0	61,0	33,0	12,0	7,0	17,0	9,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:30:51	13660,0	8880,0	6645,0	4870,0	1655,0	665,0	580,0	305,0	95,0	150,0	135,0	80,0	55,0	55,0	105,0	43,0	18,0	10,0	4,0	5,0	1,0	0,0	3,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:31:51	13485,0	8585,0	6365,0	4510,0	1760,0	610,0	575,0	230,0	175,0	165,0	125,0	105,0	45,0	70,0	26,0	6,0	10,0	8,0	8,0	3,0	1,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:32:51	13605,0	8590,0	6780,0	4575,0	1575,0	630,0	570,0	270,0	105,0	205,0	100,0	85,0	35,0	55,0	73,0	33,0	14,0	14,0	8,0	4,0	0,0	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:33:51	13615,0	8535,0	6230,0	4675,0	1645,0	585,0	590,0	250,0	100,0	135,0	100,0	95,0	40,0	65,0	43,0	29,0	7,0	5,0	6,0	4,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
