<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: test run 1. background, 2. aircleaner, 3. leakage
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
31.07.2025 11:32:33	13340,0	10905,0	7405,0	5180,0	1855,0	670,0	745,0	340,0	185,0	210,0	140,0	160,0	70,0	100,0	107,0	57,0	27,0	33,0	21,0	9,0	1,0	2,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:33:33	12865,0	10875,0	7190,0	5225,0	2090,0	760,0	690,0	305,0	175,0	270,0	180,0	150,0	65,0	100,0	83,0	78,0	23,0	22,0	24,0	18,0	5,0	1,0	4,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:34:33	12315,0	10740,0	7440,0	5170,0	1955,0	750,0	800,0	355,0	130,0	210,0	180,0	145,0	95,0	110,0	91,0	61,0	36,0	21,0	29,0	11,0	4,0	4,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:35:33	12625,0	11100,0	7210,0	5320,0	1780,0	705,0	565,0	290,0	150,0	235,0	145,0	145,0	100,0	165,0	50,0	46,0	21,0	25,0	33,0	21,0	7,0	8,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:36:33	12965,0	10405,0	6960,0	4825,0	1795,0	720,0	760,0	345,0	180,0	160,0	175,0	135,0	75,0	90,0	83,0	49,0	37,0	22,0	31,0	15,0	5,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:37:33	12675,0	10610,0	6995,0	5170,0	1820,0	680,0	765,0	325,0	200,0	260,0	175,0	115,0	75,0	100,0	70,0	62,0	28,0	16,0	26,0	9,0	3,0	1,0	0,0	2,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:38:33	12810,0	10400,0	6905,0	5090,0	1625,0	780,0	640,0	345,0	205,0	165,0	210,0	155,0	55,0	105,0	53,0	39,0	38,0	20,0	25,0	20,0	5,0	3,0	6,0	5,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:39:33	12570,0	10250,0	7310,0	5050,0	1745,0	680,0	635,0	290,0	130,0	135,0	180,0	170,0	35,0	125,0	54,0	59,0	27,0	17,0	23,0	14,0	5,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:40:33	12915,0	10270,0	7015,0	5175,0	1920,0	650,0	600,0	300,0	120,0	230,0	105,0	200,0	45,0	90,0	83,0	86,0	24,0	12,0	18,0	12,0	3,0	3,0	1,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
31.07.2025 11:41:33	12150,0	10300,0	7485,0	5045,0	1650,0	595,0	720,0	335,0	190,0	165,0	155,0	145,0	55,0	60,0	66,0	65,0	23,0	23,0	23,0	10,0	4,0	2,0	1,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
