<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
14.08.2025 10:18:57	1,32	2,28	1,89	1,92	1,34	1,64	5,16	9,57	20,43	18,61	33,24	136,80	132,95	0,00	2127,12
14.08.2025 10:19:03	1,42	2,20	2,06	2,36	1,39	2,39	3,97	7,44	11,67	6,20	66,47	45,60	132,95	1021,44	4466,95
14.08.2025 10:19:09	1,35	2,47	2,12	2,15	1,39	1,35	5,56	7,44	5,84	12,41	49,85	91,20	0,00	0,00	1063,56
14.08.2025 10:19:15	1,45	2,33	2,01	2,28	1,29	2,54	6,35	7,44	8,76	24,81	33,24	0,00	531,78	364,80	4254,24
14.08.2025 10:19:21	1,35	2,23	1,94	2,28	1,64	2,84	2,38	7,44	5,84	12,41	33,24	45,60	0,00	656,64	4466,95
14.08.2025 10:19:27	1,29	2,17	2,12	2,10	1,54	1,79	4,76	8,51	17,51	18,61	16,62	45,60	265,89	583,68	1488,98
14.08.2025 10:19:33	1,34	2,18	1,94	2,31	1,84	1,79	6,75	7,44	5,84	6,20	33,24	136,80	265,89	0,00	3190,68
14.08.2025 10:19:39	1,37	2,62	1,98	2,36	1,69	1,64	3,18	6,38	11,67	31,01	83,09	45,60	265,89	364,80	3190,68
14.08.2025 10:19:45	1,28	2,09	2,54	2,52	1,59	2,54	4,37	7,44	11,67	6,20	0,00	45,60	0,00	437,76	2977,97
14.08.2025 10:19:51	1,30	2,33	2,10	2,13	1,49	1,94	5,56	6,38	5,84	31,01	49,85	45,60	132,95	0,00	1063,56
14.08.2025 10:19:57	1,44	2,47	2,32	2,33	1,94	1,94	3,18	7,44	5,84	12,41	0,00	0,00	132,95	1605,12	4892,38
14.08.2025 10:20:03	1,29	2,28	1,98	2,85	1,34	1,05	5,95	8,51	8,76	24,81	49,85	136,80	0,00	1386,24	5530,51
14.08.2025 10:20:09	1,29	2,14	2,23	1,97	1,54	2,09	3,57	6,38	17,51	31,01	16,62	45,60	398,84	656,64	3403,39
14.08.2025 10:20:15	1,37	2,33	2,43	2,05	1,24	1,64	7,15	7,44	11,67	6,20	66,47	0,00	265,89	0,00	2127,12
14.08.2025 10:20:21	1,31	2,29	2,11	2,02	1,74	1,50	6,35	5,32	11,67	31,01	66,47	0,00	0,00	729,60	3190,68
14.08.2025 10:20:27	1,51	2,16	2,06	2,54	1,74	1,79	3,97	8,51	5,84	18,61	16,62	45,60	664,73	656,64	4466,95
14.08.2025 10:20:33	1,42	2,32	1,94	2,54	1,54	2,24	4,37	5,32	11,67	24,81	49,85	136,80	132,95	0,00	2127,12
14.08.2025 10:20:39	1,32	2,03	2,12	2,41	1,79	1,20	5,56	8,51	14,59	49,62	16,62	0,00	664,73	656,64	3403,39
14.08.2025 10:20:45	1,35	2,25	2,21	2,05	1,79	2,24	3,18	7,44	5,84	6,20	0,00	45,60	398,84	0,00	3190,68
14.08.2025 10:20:51	1,39	2,32	1,98	2,49	2,23	2,54	3,18	9,57	5,84	18,61	33,24	0,00	132,95	72,96	2977,97
14.08.2025 10:20:57	1,38	2,31	2,29	2,28	1,59	1,35	4,76	8,51	8,76	12,41	33,24	45,60	398,84	1021,44	4466,95
14.08.2025 10:21:03	1,21	2,15	2,02	1,92	1,29	1,20	6,35	13,83	11,67	0,00	16,62	91,20	265,89	218,88	1488,98
14.08.2025 10:21:09	1,30	2,20	2,01	2,26	1,69	1,79	5,16	9,57	8,76	18,61	49,85	91,20	132,95	0,00	2127,12
14.08.2025 10:21:15	1,33	2,07	2,07	2,46	1,29	1,64	7,15	10,64	11,67	6,20	49,85	0,00	664,73	1167,36	4041,53
14.08.2025 10:21:21	1,31	2,21	2,20	2,44	1,94	2,09	6,75	8,51	14,59	24,81	16,62	91,20	265,89	218,88	2552,54
14.08.2025 10:21:27	1,36	2,16	2,20	2,36	1,69	0,90	6,35	10,64	20,43	31,01	49,85	45,60	398,84	437,76	2977,97
14.08.2025 10:21:33	1,48	2,23	2,17	2,00	1,29	2,39	2,78	7,44	5,84	6,20	0,00	0,00	531,78	1240,32	2765,26
14.08.2025 10:21:39	1,43	2,34	2,01	2,52	1,89	1,20	6,35	5,32	11,67	6,20	66,47	0,00	265,89	802,56	4041,53
14.08.2025 10:21:45	1,21	2,22	2,28	1,69	1,49	1,64	5,16	5,32	11,67	0,00	0,00	91,20	0,00	802,56	2977,97
14.08.2025 10:21:51	1,34	2,13	1,99	2,13	1,69	2,09	4,76	8,51	11,67	24,81	0,00	0,00	398,84	1532,16	2977,97
14.08.2025 10:21:57	1,36	2,31	1,86	2,31	1,84	2,24	5,56	8,51	17,51	24,81	66,47	45,60	0,00	510,72	3828,82
14.08.2025 10:22:03	1,40	2,21	2,11	2,36	1,39	2,24	2,78	7,44	5,84	0,00	16,62	136,80	398,84	145,92	3828,82
