<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test room aersol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
14.08.2025 10:18:10	0,44	0,36	0,24	0,22	0,11	0,08	0,07	0,10	0,04	0,11	0,03	0,20	0,27	0,51	0,00	0,00	0,00	0,00	4,81	5,02	3,02	4,50	13,92	0,00	45,73	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:16	0,48	0,35	0,25	0,24	0,10	0,08	0,12	0,08	0,03	0,04	0,06	0,07	0,13	0,26	0,60	0,00	1,21	0,93	4,81	3,34	0,00	4,50	20,89	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:22	0,49	0,33	0,26	0,20	0,09	0,09	0,07	0,09	0,04	0,07	0,03	0,13	0,00	0,26	1,30	2,01	1,51	2,32	4,01	5,02	0,00	4,50	13,92	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:28	0,46	0,33	0,22	0,22	0,11	0,07	0,14	0,06	0,04	0,04	0,03	0,07	0,40	0,77	0,00	0,00	0,00	0,00	2,40	1,67	0,00	4,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:34	0,45	0,35	0,24	0,23	0,11	0,08	0,10	0,13	0,04	0,07	0,06	0,20	0,40	1,28	0,60	0,73	0,91	0,93	4,01	3,34	0,00	13,51	20,89	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:40	0,47	0,35	0,26	0,19	0,10	0,06	0,07	0,11	0,07	0,06	0,16	0,13	0,13	0,77	0,30	1,10	0,91	1,86	2,40	3,34	6,03	4,50	6,96	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:46	0,46	0,37	0,26	0,23	0,11	0,06	0,11	0,11	0,03	0,17	0,10	0,07	0,67	0,77	1,70	2,74	0,91	1,86	4,81	1,67	3,02	4,50	0,00	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:52	0,49	0,36	0,27	0,21	0,11	0,07	0,10	0,05	0,07	0,09	0,13	0,13	0,40	0,77	3,21	1,83	1,21	0,46	3,21	6,69	0,00	0,00	20,89	12,52	22,87	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:18:58	0,46	0,33	0,25	0,19	0,11	0,07	0,07	0,06	0,07	0,13	0,10	0,13	0,13	0,26	0,80	1,46	1,81	0,93	3,21	3,34	3,02	0,00	27,85	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:19:04	0,45	0,32	0,27	0,20	0,12	0,08	0,10	0,10	0,01	0,06	0,06	0,13	0,40	0,26	0,30	0,73	0,91	4,64	4,01	1,67	6,03	4,50	6,96	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:19:10	0,43	0,36	0,23	0,20	0,10	0,05	0,05	0,12	0,07	0,07	0,13	0,20	0,13	0,26	1,20	2,20	0,30	0,46	1,60	0,00	3,02	4,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
