<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 14:29:17	P	25	8	14	14	29	1	0	0	130	18	1	5	0	0	0	6	
14.08.2025 14:30:23	P	25	8	14	14	30	1	20	0	130	53	1	5	0	0	0	6	
14.08.2025 14:31:23	P	25	8	14	14	31	1	20	0	130	51	1	5	0	0	0	6	
14.08.2025 14:32:23	P	25	8	14	14	32	1	20	0	130	50	1	5	0	0	0	6	
14.08.2025 14:33:23	P	25	8	14	14	33	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 14:34:23	P	25	8	14	14	34	1	20	0	130	50	1	5	0	0	0	6	
14.08.2025 14:35:23	P	25	8	14	14	35	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 14:36:23	P	25	8	14	14	36	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 14:37:23	P	25	8	14	14	37	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 14:38:23	P	25	8	14	14	38	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 14:39:23	P	25	8	14	14	39	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 14:40:23	P	25	8	14	14	40	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 14:41:23	P	25	8	14	14	41	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:42:23	P	25	8	14	14	42	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:43:23	P	25	8	14	14	43	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:44:23	P	25	8	14	14	44	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:45:23	P	25	8	14	14	45	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:46:23	P	25	8	14	14	46	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:47:23	P	25	8	14	14	47	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:48:23	P	25	8	14	14	48	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:49:23	P	25	8	14	14	49	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:50:23	P	25	8	14	14	50	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:51:23	P	25	8	14	14	51	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:52:23	P	25	8	14	14	52	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:53:23	P	25	8	14	14	53	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:54:23	P	25	8	14	14	54	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 14:55:23	P	25	8	14	14	55	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:56:23	P	25	8	14	14	56	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 14:57:23	P	25	8	14	14	57	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 14:58:23	P	25	8	14	14	58	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 14:59:23	P	25	8	14	14	59	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 15:00:23	P	25	8	14	15	0	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:01:23	P	25	8	14	15	1	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:02:23	P	25	8	14	15	2	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:03:23	P	25	8	14	15	3	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:04:23	P	25	8	14	15	4	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:05:23	P	25	8	14	15	5	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:06:23	P	25	8	14	15	6	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:07:23	P	25	8	14	15	7	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 15:08:23	P	25	8	14	15	8	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 15:09:23	P	25	8	14	15	9	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 15:10:23	P	25	8	14	15	10	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 15:11:23	P	25	8	14	15	11	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 15:12:23	P	25	8	14	15	12	1	20	0	130	50	1	5	0	0	0	6	
14.08.2025 15:13:23	P	25	8	14	15	13	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 15:14:23	P	25	8	14	15	14	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 15:15:23	P	25	8	14	15	15	1	20	0	130	50	1	5	0	0	0	6	
14.08.2025 15:16:23	P	25	8	14	15	16	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 15:17:23	P	25	8	14	15	17	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 15:18:23	P	25	8	14	15	18	1	20	0	130	46	1	5	0	0	0	6	
