<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
14.08.2025 14:29:23	121,6	17,7	8,5	4225,9	339,5	30,0
14.08.2025 14:29:29	132,8	18,0	8,9	1774,3	211,2	37,6
14.08.2025 14:29:35	154,3	19,5	8,9	1332,8	201,3	32,6
14.08.2025 14:29:41	227,8	17,0	8,6	4292,4	415,7	38,2
14.08.2025 14:29:47	123,7	16,7	8,5	2052,1	198,8	34,9
14.08.2025 14:29:53	91,5	15,4	7,8	1944,0	165,4	39,5
14.08.2025 14:29:59	123,3	16,7	9,1	3255,7	271,2	32,0
14.08.2025 14:30:05	280,5	19,4	9,2	4996,5	510,3	43,2
14.08.2025 14:30:11	128,2	16,4	8,1	2205,3	245,5	33,8
14.08.2025 14:30:17	286,4	20,0	8,8	6879,7	619,8	44,8
14.08.2025 14:30:23	336,3	19,4	9,2	3085,8	468,3	57,5
14.08.2025 14:30:29	86,3	16,4	8,2	4119,3	260,1	32,9
14.08.2025 14:30:35	254,2	19,3	8,5	6983,3	581,4	42,3
14.08.2025 14:30:41	83,1	19,0	8,4	4602,4	291,8	30,7
14.08.2025 14:30:47	153,0	18,6	8,9	3214,0	301,9	33,4
14.08.2025 14:30:53	289,6	15,6	8,2	2642,0	426,3	39,5
14.08.2025 14:30:59	213,9	17,7	8,2	4923,0	557,3	45,0
14.08.2025 14:31:05	136,4	18,0	8,5	2852,8	247,1	28,6
14.08.2025 14:31:11	173,1	17,5	9,2	2470,0	249,8	32,4
14.08.2025 14:31:17	130,2	19,7	8,8	3448,6	314,5	49,0
14.08.2025 14:31:23	124,9	17,1	8,6	2291,2	201,6	40,0
14.08.2025 14:31:29	64,1	18,0	8,9	3263,1	162,7	35,2
14.08.2025 14:31:35	183,7	17,3	8,6	2203,4	264,5	28,5
14.08.2025 14:31:41	65,1	14,7	7,9	3462,3	201,5	30,5
14.08.2025 14:31:47	202,4	16,9	7,7	1449,2	251,9	41,4
14.08.2025 14:31:53	33,6	18,0	8,0	2938,7	130,6	24,8
14.08.2025 14:31:59	249,9	17,8	8,8	2638,1	333,2	41,2
14.08.2025 14:32:05	100,8	15,4	6,8	3648,6	240,6	44,0
14.08.2025 14:32:11	258,8	17,5	7,7	5010,0	449,9	44,9
14.08.2025 14:32:17	142,6	20,4	8,0	4742,3	355,9	35,3
14.08.2025 14:32:23	173,3	12,2	6,4	1750,0	256,3	26,0
14.08.2025 14:32:29	93,5	14,4	7,2	2093,1	167,5	34,3
14.08.2025 14:32:35	174,8	19,1	7,8	6819,9	494,9	31,3
14.08.2025 14:32:41	226,9	15,7	7,2	2408,9	312,9	35,2
14.08.2025 14:32:47	168,6	13,8	6,9	3615,3	320,5	38,0
14.08.2025 14:32:53	60,5	12,5	5,9	1141,7	97,9	25,0
14.08.2025 14:32:59	117,2	13,0	5,9	2281,8	193,1	36,7
14.08.2025 14:33:05	49,2	13,0	6,3	1118,4	84,4	28,5
14.08.2025 14:33:11	93,0	12,4	5,5	1240,8	131,3	26,0
14.08.2025 14:33:17	93,4	10,6	5,5	2598,7	203,9	17,6
14.08.2025 14:33:23	64,7	12,3	5,5	3462,1	201,3	29,5
14.08.2025 14:33:29	127,1	11,8	6,0	2843,0	237,4	20,0
14.08.2025 14:33:35	197,0	15,1	6,0	3745,3	387,5	44,6
14.08.2025 14:33:41	222,7	12,4	5,6	2449,3	347,0	31,3
14.08.2025 14:33:47	94,5	14,5	5,3	2256,6	168,2	26,1
14.08.2025 14:33:53	163,2	10,6	5,2	5068,8	379,3	20,5
14.08.2025 14:33:59	177,4	10,4	5,0	3886,4	365,7	20,7
14.08.2025 14:34:05	26,9	10,1	4,7	661,1	63,5	14,6
14.08.2025 14:34:11	65,6	11,7	4,6	2401,1	172,1	25,8
14.08.2025 14:34:17	111,0	9,2	5,1	2466,8	224,9	24,8
14.08.2025 14:34:23	63,2	8,8	4,4	1922,5	135,2	16,0
14.08.2025 14:34:29	91,7	7,1	3,9	1097,8	132,3	13,8
