<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: log data
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
K-line: 

<Data>
[d&t31.12.2035 11:50:55]	P	Year	Mon	Day	Hr	Min	Sec	Loc	GF	Err	Qbatt	Im	Temp	rH	Velo	Pres	Dir	Rain	Iv	P_Weight	P_Vol[l]	rH_i	Temp_i	Latitude	Longitude	Height	Flow[%]	SFlow
14.08.2025 14:27:22	P	25	8	14	14	27	22	2	0	0	NA	10	NA	NA	NA	1016,8	NA	NA	6	1127,9	36602,7	42,4	31,0	NA	NA	NA	102,9A	NA
14.08.2025 14:27:29	P	25	8	14	14	27	29	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1127,9	36602,8	42,9	31,0	NA	NA	NA	102,9A	NA
14.08.2025 14:27:35	P	25	8	14	14	27	35	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1127,9	36603,0	43,1	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:27:41	P	25	8	14	14	27	41	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1127,9	36603,1	43,2	31,0	NA	NA	NA	102,9A	NA
14.08.2025 14:27:47	P	25	8	14	14	27	47	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,0	36603,2	43,4	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:27:53	P	25	8	14	14	27	53	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,0	36603,3	43,4	31,0	NA	NA	NA	102,9A	NA
14.08.2025 14:27:59	P	25	8	14	14	27	59	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36603,5	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:05	P	25	8	14	14	28	5	2	100	0	NA	27	NA	NA	NA	1016,8	NA	NA	6	1128,0	36603,6	43,4	31,0	NA	NA	NA	102,9A	NA
14.08.2025 14:28:11	P	25	8	14	14	28	11	2	100	0	NA	27	NA	NA	NA	1016,8	NA	NA	6	1128,0	36603,7	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:17	P	25	8	14	14	28	17	2	100	0	NA	27	NA	NA	NA	1016,8	NA	NA	6	1128,0	36603,8	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:23	P	25	8	14	14	28	23	2	100	0	NA	27	NA	NA	NA	1017,1	NA	NA	6	1128,0	36603,9	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:29	P	25	8	14	14	28	29	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,1	43,6	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:35	P	25	8	14	14	28	35	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,2	43,6	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:41	P	25	8	14	14	28	41	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,3	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:47	P	25	8	14	14	28	47	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,4	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:53	P	25	8	14	14	28	53	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,5	43,5	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:28:59	P	25	8	14	14	28	59	2	100	0	NA	27	NA	NA	NA	1016,8	NA	NA	6	1128,0	36604,7	43,6	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:29:05	P	25	8	14	14	29	5	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,8	43,7	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:29:11	P	25	8	14	14	29	11	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,0	36604,9	43,6	31,2	NA	NA	NA	102,9A	NA
14.08.2025 14:29:17	P	25	8	14	14	29	17	2	100	0	NA	27	NA	NA	NA	1016,8	NA	NA	6	1128,0	36605,0	43,6	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:29:23	P	25	8	14	14	29	23	2	100	0	NA	26	NA	NA	NA	1017,1	NA	NA	6	1128,0	36605,1	43,5	31,2	NA	NA	NA	102,9A	NA
14.08.2025 14:29:29	P	25	8	14	14	29	29	2	100	0	NA	26	NA	NA	NA	1016,8	NA	NA	6	1128,0	36605,3	43,6	31,1	NA	NA	NA	102,9A	NA
14.08.2025 14:29:35	P	25	8	14	14	29	35	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1128,0	36605,4	43,6	31,2	NA	NA	NA	102,9A	NA
14.08.2025 14:29:41	P	25	8	14	14	29	41	2	100	0	NA	26	NA	NA	NA	1016,8	NA	NA	6	1128,0	36605,5	43,4	31,2	NA	NA	NA	102,9A	NA
14.08.2025 14:29:47	P	25	8	14	14	29	47	2	100	0	NA	26	NA	NA	NA	1017,2	NA	NA	6	1128,1	36605,6	43,5	31,2	NA	NA	NA	102,9A	NA
