<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass, dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
14.08.2025 14:27:29	0,39	0,26	0,24	0,14	0,12	0,04	0,04	0,03	0,00	0,08	0,13	0,00	0,00	0,00	3,31	0,90	0,49	0,81	0,00	2,17	0,00	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:27:35	0,41	0,25	0,17	0,16	0,08	0,07	0,04	0,09	0,00	0,16	0,13	0,42	0,00	0,00	0,00	0,00	2,47	0,81	0,00	2,17	7,11	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:27:41	0,41	0,25	0,22	0,16	0,09	0,03	0,05	0,00	0,05	0,08	0,13	0,00	1,03	0,56	0,18	0,60	0,49	0,00	0,00	0,00	0,00	5,82	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:27:47	0,43	0,24	0,16	0,18	0,09	0,04	0,02	0,00	0,05	0,08	0,13	0,21	0,34	0,00	1,66	0,00	1,48	0,00	0,00	2,17	3,56	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:27:53	0,44	0,25	0,20	0,16	0,08	0,11	0,04	0,09	0,00	0,08	0,26	0,21	0,34	0,00	1,66	0,00	0,99	0,00	1,32	0,00	0,00	5,82	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:27:59	0,44	0,26	0,16	0,19	0,09	0,05	0,05	0,06	0,05	0,00	0,26	0,00	0,00	0,56	0,00	0,30	0,49	0,00	1,32	0,00	7,11	5,82	9,54	31,24	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:05	0,41	0,24	0,21	0,12	0,17	0,08	0,07	0,09	0,05	0,16	0,26	0,00	0,00	0,00	2,95	2,41	0,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:11	0,40	0,27	0,19	0,15	0,12	0,08	0,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,84	2,11	0,49	0,00	0,00	2,17	0,00	0,00	0,00	0,00	0,00	0,00	68,64	0,00	0,00	0,00	0,00
14.08.2025 14:28:17	0,41	0,24	0,22	0,15	0,06	0,09	0,07	0,03	0,00	0,08	0,00	0,21	0,00	0,56	0,92	0,60	0,49	0,00	1,32	0,00	0,00	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:23	0,41	0,27	0,19	0,14	0,09	0,01	0,04	0,03	0,14	0,00	0,26	0,00	0,34	1,12	2,95	2,41	0,00	0,00	0,00	0,00	0,00	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:29	0,41	0,24	0,19	0,17	0,09	0,07	0,05	0,03	0,00	0,00	0,00	0,21	0,34	0,56	0,55	1,21	0,49	0,00	0,00	0,00	0,00	0,00	9,54	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:35	0,41	0,24	0,20	0,16	0,05	0,04	0,07	0,06	0,00	0,00	0,00	0,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:41	0,40	0,25	0,24	0,15	0,11	0,03	0,04	0,00	0,05	0,00	0,00	0,21	0,00	0,00	1,66	0,60	1,48	0,81	1,32	2,17	3,56	0,00	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:47	0,41	0,23	0,22	0,13	0,11	0,04	0,05	0,09	0,00	0,08	0,26	0,42	0,34	1,12	1,10	0,60	1,48	0,00	3,97	0,00	0,00	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:53	0,40	0,23	0,20	0,23	0,11	0,03	0,07	0,06	0,05	0,00	0,00	0,21	0,00	0,56	1,47	0,30	0,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:28:59	0,38	0,26	0,18	0,17	0,09	0,04	0,02	0,15	0,05	0,00	0,26	0,21	0,00	0,56	0,00	0,00	0,99	0,00	0,00	4,34	0,00	0,00	0,00	0,00	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:05	0,42	0,27	0,18	0,17	0,09	0,08	0,05	0,06	0,05	0,08	0,13	0,21	0,34	0,00	0,18	0,00	0,00	1,62	0,00	0,00	3,56	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:11	0,39	0,26	0,22	0,16	0,07	0,07	0,07	0,03	0,10	0,00	0,00	0,00	1,03	2,25	0,00	0,30	0,99	2,43	0,00	2,17	3,56	0,00	9,54	0,00	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:17	0,46	0,24	0,19	0,19	0,08	0,04	0,04	0,12	0,05	0,23	0,13	0,00	0,34	0,56	1,47	1,21	0,00	1,62	3,97	4,34	0,00	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:23	0,37	0,26	0,19	0,13	0,11	0,05	0,02	0,00	0,19	0,00	0,00	0,21	0,69	0,56	0,00	0,00	2,47	1,62	2,65	0,00	0,00	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:29	0,42	0,29	0,20	0,15	0,11	0,08	0,04	0,03	0,05	0,08	0,13	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,65	2,17	0,00	0,00	9,54	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:35	0,40	0,25	0,21	0,16	0,07	0,13	0,02	0,12	0,00	0,08	0,00	0,00	0,00	0,56	0,00	0,00	0,00	0,81	1,32	0,00	10,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:41	0,41	0,26	0,19	0,19	0,09	0,05	0,02	0,06	0,00	0,00	0,26	0,42	0,34	0,56	0,37	1,51	0,99	0,81	2,65	0,00	3,56	5,82	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:47	0,37	0,25	0,19	0,15	0,13	0,08	0,12	0,00	0,24	0,00	0,00	0,21	0,00	0,56	0,00	1,51	1,48	1,62	1,32	2,17	0,00	5,82	0,00	31,24	0,00	0,00	0,00	0,00	0,00	0,00	0,00
