testo435-635-735;"DATE";"TIME";"[ppm] CO2";"mbar";"°C";"%rF"
1;"14.08.2025";"14:27:15";1133,40;1013,66;29,01;47,56
2;"14.08.2025";"14:27:16";1136,33;1013,68;29,01;47,56
3;"14.08.2025";"14:27:17";1136,33;1013,68;29,01;47,56
4;"14.08.2025";"14:27:18";1136,33;1013,68;29,01;47,56
5;"14.08.2025";"14:27:19";1136,33;1013,68;29,01;47,63
6;"14.08.2025";"14:27:20";1136,33;1013,68;29,01;47,63
7;"14.08.2025";"14:27:21";1137,49;1013,66;29,01;47,64
8;"14.08.2025";"14:27:22";1137,49;1013,66;29,01;47,64
9;"14.08.2025";"14:27:23";1137,49;1013,66;29,01;47,64
10;"14.08.2025";"14:27:24";1137,46;1013,68;29,02;47,65
11;"14.08.2025";"14:27:25";1137,46;1013,68;29,02;47,65
12;"14.08.2025";"14:27:26";1136,80;1013,68;29,00;47,59
13;"14.08.2025";"14:27:27";1136,80;1013,68;29,00;47,59
14;"14.08.2025";"14:27:28";1135,64;1013,66;29,00;47,63
15;"14.08.2025";"14:27:29";1135,64;1013,66;29,00;47,63
16;"14.08.2025";"14:27:30";1135,64;1013,66;29,00;47,63
17;"14.08.2025";"14:27:31";1136,28;1013,68;29,02;47,63
18;"14.08.2025";"14:27:32";1136,28;1013,68;29,02;47,63
19;"14.08.2025";"14:27:33";1136,28;1013,68;29,02;47,61
20;"14.08.2025";"14:27:34";1136,28;1013,68;29,02;47,61
21;"14.08.2025";"14:27:35";1136,28;1013,68;29,02;47,61
22;"14.08.2025";"14:27:36";1137,67;1013,66;29,00;47,62
23;"14.08.2025";"14:27:37";1137,67;1013,66;29,00;47,62
24;"14.08.2025";"14:27:38";1137,53;1013,68;29,00;47,64
25;"14.08.2025";"14:27:39";1137,53;1013,68;29,00;47,64
26;"14.08.2025";"14:27:40";1136,26;1013,68;29,01;47,70
27;"14.08.2025";"14:27:41";1136,26;1013,68;29,01;47,70
28;"14.08.2025";"14:27:42";1136,26;1013,68;29,01;47,70
29;"14.08.2025";"14:27:43";1136,04;1013,68;29,01;47,71
30;"14.08.2025";"14:27:44";1136,04;1013,68;29,01;47,71
31;"14.08.2025";"14:27:45";1135,54;1013,68;29,00;47,71
32;"14.08.2025";"14:27:46";1135,54;1013,68;29,00;47,71
33;"14.08.2025";"14:27:47";1135,54;1013,68;29,00;47,71
34;"14.08.2025";"14:27:48";1135,54;1013,68;29,00;47,70
35;"14.08.2025";"14:27:49";1135,54;1013,68;29,00;47,70
36;"14.08.2025";"14:27:50";1136,50;1013,68;29,02;47,73
37;"14.08.2025";"14:27:51";1136,50;1013,68;29,02;47,73
38;"14.08.2025";"14:27:52";1137,84;1013,68;29,01;47,73
39;"14.08.2025";"14:27:53";1137,84;1013,68;29,01;47,73
40;"14.08.2025";"14:27:54";1137,84;1013,68;29,01;47,73
41;"14.08.2025";"14:27:55";1137,37;1013,64;29,01;47,73
42;"14.08.2025";"14:27:56";1137,37;1013,64;29,01;47,73
43;"14.08.2025";"14:27:57";1138,25;1013,68;29,03;47,71
44;"14.08.2025";"14:27:58";1138,25;1013,68;29,03;47,71
45;"14.08.2025";"14:27:59";1138,25;1013,68;29,03;47,71
46;"14.08.2025";"14:28:00";1141,59;1013,68;29,03;47,71
47;"14.08.2025";"14:28:01";1141,59;1013,68;29,03;47,71
48;"14.08.2025";"14:28:02";1141,59;1013,68;29,02;47,71
49;"14.08.2025";"14:28:03";1141,59;1013,68;29,02;47,71
50;"14.08.2025";"14:28:04";1143,47;1013,68;29,02;47,73
51;"14.08.2025";"14:28:05";1143,47;1013,68;29,02;47,73
52;"14.08.2025";"14:28:06";1143,47;1013,68;29,02;47,73
53;"14.08.2025";"14:28:07";1144,92;1013,66;29,02;47,73
54;"14.08.2025";"14:28:08";1144,92;1013,66;29,02;47,73
55;"14.08.2025";"14:28:09";1145,55;1013,68;29,01;47,70
56;"14.08.2025";"14:28:10";1145,55;1013,68;29,01;47,70
57;"14.08.2025";"14:28:11";1146,21;1013,68;29,00;47,66
58;"14.08.2025";"14:28:12";1146,21;1013,68;29,00;47,66
59;"14.08.2025";"14:28:13";1146,21;1013,68;29,00;47,66
60;"14.08.2025";"14:28:14";1148,21;1013,68;29,02;47,66
61;"14.08.2025";"14:28:15";1148,21;1013,68;29,02;47,66
62;"14.08.2025";"14:28:16";1148,21;1013,68;29,02;47,65
63;"14.08.2025";"14:28:17";1148,21;1013,68;29,02;47,65
64;"14.08.2025";"14:28:18";1148,21;1013,68;29,02;47,65
65;"14.08.2025";"14:28:19";1146,67;1013,68;29,00;47,65
66;"14.08.2025";"14:28:20";1146,67;1013,68;29,00;47,65
67;"14.08.2025";"14:28:21";1143,56;1013,68;29,01;47,64
68;"14.08.2025";"14:28:22";1143,56;1013,68;29,01;47,64
69;"14.08.2025";"14:28:23";1142,89;1013,68;29,01;47,65
70;"14.08.2025";"14:28:24";1142,89;1013,68;29,01;47,65
71;"14.08.2025";"14:28:25";1142,89;1013,68;29,01;47,65
72;"14.08.2025";"14:28:26";1143,11;1013,68;29,02;47,69
73;"14.08.2025";"14:28:27";1143,11;1013,68;29,02;47,69
74;"14.08.2025";"14:28:28";1144,93;1013,68;29,02;47,69
75;"14.08.2025";"14:28:29";1144,93;1013,68;29,02;47,69
76;"14.08.2025";"14:28:30";1144,93;1013,68;29,02;47,69
77;"14.08.2025";"14:28:31";1144,93;1013,68;29,01;47,70
78;"14.08.2025";"14:28:32";1144,93;1013,68;29,01;47,70
79;"14.08.2025";"14:28:33";1146,45;1013,66;29,01;47,69
80;"14.08.2025";"14:28:34";1146,45;1013,66;29,01;47,69
81;"14.08.2025";"14:28:35";1147,22;1013,68;29,03;47,72
82;"14.08.2025";"14:28:36";1147,22;1013,68;29,03;47,72
83;"14.08.2025";"14:28:37";1147,22;1013,68;29,03;47,72
84;"14.08.2025";"14:28:38";1149,04;1013,68;29,03;47,72
85;"14.08.2025";"14:28:39";1149,04;1013,68;29,03;47,72
86;"14.08.2025";"14:28:40";1152,43;1013,68;29,02;47,75
87;"14.08.2025";"14:28:41";1152,43;1013,68;29,02;47,75
88;"14.08.2025";"14:28:42";1152,43;1013,68;29,02;47,75
89;"14.08.2025";"14:28:43";1155,28;1013,68;29,02;47,75
90;"14.08.2025";"14:28:44";1155,28;1013,68;29,02;47,75
91;"14.08.2025";"14:28:45";1155,28;1013,68;29,03;47,74
92;"14.08.2025";"14:28:46";1155,28;1013,68;29,03;47,74
93;"14.08.2025";"14:28:47";1156,63;1013,68;29,02;47,74
94;"14.08.2025";"14:28:48";1156,63;1013,68;29,02;47,74
95;"14.08.2025";"14:28:49";1156,63;1013,68;29,02;47,74
96;"14.08.2025";"14:28:50";1156,18;1013,68;29,00;47,70
97;"14.08.2025";"14:28:51";1156,18;1013,68;29,00;47,70
98;"14.08.2025";"14:28:52";1155,77;1013,68;29,02;47,71
99;"14.08.2025";"14:28:53";1155,77;1013,68;29,02;47,71
100;"14.08.2025";"14:28:54";1155,77;1013,68;29,02;47,71
101;"14.08.2025";"14:28:55";1156,76;1013,68;29,02;47,71
102;"14.08.2025";"14:28:56";1156,76;1013,68;29,02;47,71
103;"14.08.2025";"14:28:57";1158,92;1013,68;29,02;47,71
104;"14.08.2025";"14:28:58";1158,92;1013,68;29,02;47,71
105;"14.08.2025";"14:28:59";1158,92;1013,68;29,02;47,72
106;"14.08.2025";"14:29:00";1158,92;1013,68;29,02;47,72
107;"14.08.2025";"14:29:01";1158,92;1013,68;29,02;47,72
108;"14.08.2025";"14:29:02";1158,57;1013,68;29,02;47,68
109;"14.08.2025";"14:29:03";1158,57;1013,68;29,02;47,68
110;"14.08.2025";"14:29:04";1159,04;1013,68;29,03;47,67
111;"14.08.2025";"14:29:05";1159,04;1013,68;29,03;47,67
112;"14.08.2025";"14:29:06";1159,04;1013,68;29,03;47,67
113;"14.08.2025";"14:29:07";1160,59;1013,68;29,02;47,68
114;"14.08.2025";"14:29:08";1160,59;1013,68;29,02;47,68
115;"14.08.2025";"14:29:09";1160,65;1013,68;29,03;47,65
116;"14.08.2025";"14:29:10";1160,65;1013,68;29,03;47,65
117;"14.08.2025";"14:29:11";1160,10;1013,68;29,03;47,65
118;"14.08.2025";"14:29:12";1160,10;1013,68;29,03;47,65
119;"14.08.2025";"14:29:13";1160,10;1013,68;29,03;47,65
120;"14.08.2025";"14:29:14";1160,10;1013,68;29,04;47,64
121;"14.08.2025";"14:29:15";1160,10;1013,68;29,04;47,64
122;"14.08.2025";"14:29:16";1160,36;1013,68;29,02;47,68
123;"14.08.2025";"14:29:17";1160,36;1013,68;29,02;47,68
124;"14.08.2025";"14:29:18";1160,36;1013,68;29,02;47,68
125;"14.08.2025";"14:29:19";1161,24;1013,68;29,02;47,68
126;"14.08.2025";"14:29:20";1161,24;1013,68;29,02;47,68
127;"14.08.2025";"14:29:21";1162,23;1013,68;29,03;47,63
128;"14.08.2025";"14:29:22";1162,23;1013,68;29,03;47,63
129;"14.08.2025";"14:29:23";1161,35;1013,68;29,02;47,61
130;"14.08.2025";"14:29:24";1161,35;1013,68;29,02;47,61
131;"14.08.2025";"14:29:25";1161,35;1013,68;29,02;47,61
132;"14.08.2025";"14:29:26";1160,39;1013,68;29,02;47,61
133;"14.08.2025";"14:29:27";1160,39;1013,68;29,02;47,61
134;"14.08.2025";"14:29:28";1160,39;1013,68;29,02;47,58
135;"14.08.2025";"14:29:29";1160,39;1013,68;29,02;47,58
136;"14.08.2025";"14:29:30";1160,39;1013,68;29,02;47,58
137;"14.08.2025";"14:29:31";1161,78;1013,68;29,01;47,53
138;"14.08.2025";"14:29:32";1161,78;1013,68;29,01;47,53
139;"14.08.2025";"14:29:33";1163,87;1013,68;29,01;47,54
140;"14.08.2025";"14:29:34";1163,87;1013,68;29,01;47,54
141;"14.08.2025";"14:29:35";1162,66;1013,68;29,02;47,57
142;"14.08.2025";"14:29:36";1162,66;1013,68;29,02;47,57
143;"14.08.2025";"14:29:37";1162,66;1013,68;29,02;47,57
144;"14.08.2025";"14:29:38";1159,91;1013,68;29,03;47,60
145;"14.08.2025";"14:29:39";1159,91;1013,68;29,03;47,60
146;"14.08.2025";"14:29:40";1159,93;1013,68;29,03;47,60
147;"14.08.2025";"14:29:41";1159,93;1013,68;29,03;47,60
148;"14.08.2025";"14:29:42";1159,93;1013,68;29,03;47,60
149;"14.08.2025";"14:29:43";1159,93;1013,68;29,03;47,63
150;"14.08.2025";"14:29:44";1159,93;1013,68;29,03;47,63
151;"14.08.2025";"14:29:45";1161,92;1013,68;29,03;47,64
152;"14.08.2025";"14:29:46";1161,92;1013,68;29,03;47,64
153;"14.08.2025";"14:29:47";1163,98;1013,68;29,03;47,63
154;"14.08.2025";"14:29:48";1163,98;1013,68;29,03;47,63
155;"14.08.2025";"14:29:49";1163,98;1013,68;29,03;47,63
156;"14.08.2025";"14:29:50";1164,45;1013,68;29,05;47,56
157;"14.08.2025";"14:29:51";1164,45;1013,68;29,05;47,56
158;"14.08.2025";"14:29:52";1162,75;1013,68;29,02;47,52
159;"14.08.2025";"14:29:53";1162,75;1013,68;29,02;47,52
160;"14.08.2025";"14:29:54";1162,75;1013,68;29,02;47,52
161;"14.08.2025";"14:29:55";1162,56;1013,68;29,02;47,52
162;"14.08.2025";"14:29:56";1162,56;1013,68;29,02;47,52
163;"14.08.2025";"14:29:57";1162,56;1013,68;29,04;47,53
164;"14.08.2025";"14:29:58";1162,56;1013,68;29,04;47,53
165;"14.08.2025";"14:29:59";1163,86;1013,68;29,04;47,60
166;"14.08.2025";"14:30:00";1163,86;1013,68;29,04;47,60
