<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: ug/m3
C-factor: 1,00
Comment: test room aersol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
14.08.2025 14:28:08	15,3	3,6	2,7	53,4	21,3	5,4
14.08.2025 14:28:14	15,5	5,1	2,9	37,6	20,5	6,2
14.08.2025 14:28:20	23,9	6,2	2,9	24,3	21,2	8,6
14.08.2025 14:28:26	20,9	2,7	2,6	26,3	18,3	4,1
14.08.2025 14:28:32	6,8	4,6	2,9	6,8	6,7	5,2
14.08.2025 14:28:38	22,5	3,3	2,7	22,5	20,6	6,3
14.08.2025 14:28:44	29,9	6,6	3,0	39,9	27,1	7,7
14.08.2025 14:28:50	32,9	5,6	2,9	43,3	29,2	7,1
14.08.2025 14:28:56	15,2	4,5	2,6	15,6	13,5	6,1
14.08.2025 14:29:02	3,5	3,5	3,0	3,5	3,5	3,5
14.08.2025 14:29:08	18,0	5,6	2,8	23,0	17,1	7,2
14.08.2025 14:29:14	13,7	6,2	2,7	35,4	19,5	7,3
14.08.2025 14:29:20	30,5	5,0	2,6	35,6	27,3	7,9
14.08.2025 14:29:26	9,9	5,5	2,7	9,9	9,8	7,1
14.08.2025 14:29:32	8,3	4,5	2,7	8,3	8,2	5,8
14.08.2025 14:29:38	14,9	3,6	2,6	15,2	12,9	4,9
14.08.2025 14:29:44	24,1	4,3	2,8	24,4	20,7	6,5
14.08.2025 14:29:50	9,9	6,1	2,6	9,9	9,8	7,4
14.08.2025 14:29:56	17,7	2,9	2,8	39,5	22,4	4,2
14.08.2025 14:30:02	11,0	3,5	2,7	11,0	10,5	5,1
14.08.2025 14:30:08	11,9	6,3	2,6	11,9	11,7	8,1
14.08.2025 14:30:14	26,5	5,0	2,9	31,5	24,6	8,2
14.08.2025 14:30:20	62,8	4,2	2,8	217,2	73,3	9,7
14.08.2025 14:30:26	59,8	4,0	2,9	70,5	51,6	8,6
14.08.2025 14:30:32	17,1	5,5	3,0	17,1	16,7	8,9
14.08.2025 14:30:38	20,9	5,4	2,8	25,9	19,2	6,9
14.08.2025 14:30:44	17,8	3,7	2,8	39,9	22,5	5,7
