<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
11.09.2025 08:32:31	25450,0	21200,0	13700,0	6950,0	2550,0	750,0	200,0	600,0	0,0	100,0	0,0	0,0	0,0	70,0	80,0
11.09.2025 08:32:37	24250,0	23200,0	12150,0	6900,0	2100,0	950,0	250,0	200,0	100,0	50,0	50,0	0,0	0,0	0,0	0,0
11.09.2025 08:32:43	26500,0	22100,0	14200,0	6600,0	2600,0	850,0	550,0	100,0	50,0	50,0	100,0	50,0	0,0	0,0	0,0
11.09.2025 08:32:49	26900,0	22850,0	12350,0	6450,0	1600,0	1000,0	700,0	300,0	150,0	100,0	0,0	0,0	100,0	30,0	70,0
11.09.2025 08:32:55	26250,0	22350,0	12850,0	7200,0	2200,0	600,0	400,0	100,0	150,0	0,0	200,0	50,0	50,0	20,0	30,0
11.09.2025 08:33:01	24800,0	22650,0	11600,0	5800,0	2050,0	550,0	500,0	200,0	50,0	50,0	100,0	50,0	50,0	0,0	0,0
11.09.2025 08:33:07	26500,0	22750,0	12200,0	8200,0	1800,0	300,0	500,0	350,0	0,0	100,0	50,0	50,0	0,0	20,0	80,0
11.09.2025 08:33:13	24300,0	24350,0	11600,0	7150,0	2300,0	700,0	500,0	250,0	250,0	150,0	0,0	100,0	0,0	0,0	50,0
11.09.2025 08:33:19	25650,0	24450,0	13200,0	7800,0	1750,0	650,0	200,0	450,0	150,0	50,0	50,0	0,0	0,0	60,0	90,0
11.09.2025 08:33:25	27600,0	22500,0	13700,0	6900,0	2850,0	650,0	800,0	450,0	300,0	50,0	0,0	50,0	50,0	60,0	40,0
11.09.2025 08:33:31	26750,0	21200,0	12650,0	6650,0	2200,0	1000,0	350,0	350,0	0,0	200,0	50,0	0,0	100,0	80,0	120,0
11.09.2025 08:33:37	24800,0	20900,0	12400,0	7900,0	1900,0	700,0	300,0	250,0	100,0	100,0	0,0	0,0	0,0	10,0	40,0
11.09.2025 08:33:43	26150,0	23000,0	12200,0	6200,0	2000,0	450,0	550,0	500,0	50,0	0,0	0,0	0,0	0,0	30,0	170,0
