<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	542	839	1694	0	0	31	80	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
11.09.2025 08:32:25	P	68	1	1	18	9	1	0	0	130	22	1	5	0	0	0	6	
11.09.2025 08:33:31	P	68	1	1	18	10	1	20	0	130	53	1	5	0	0	0	6	
11.09.2025 08:34:31	P	68	1	1	18	11	1	20	0	130	51	1	5	0	0	0	6	
11.09.2025 08:35:31	P	68	1	1	18	12	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:36:31	P	68	1	1	18	13	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:37:31	P	68	1	1	18	14	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:38:31	P	68	1	1	18	15	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:39:31	P	68	1	1	18	16	1	20	0	130	49	1	5	0	0	0	6	
11.09.2025 08:40:31	P	68	1	1	18	17	1	20	0	130	48	1	5	0	0	0	6	
11.09.2025 08:41:31	P	68	1	1	18	18	1	20	0	130	51	1	5	0	0	0	6	
11.09.2025 08:42:31	P	68	1	1	18	19	1	20	0	130	49	1	5	0	0	0	6	
11.09.2025 08:43:31	P	68	1	1	18	20	1	20	0	130	49	0	5	0	0	0	6	
11.09.2025 08:44:31	P	68	1	1	18	21	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:45:31	P	68	1	1	18	22	1	20	0	130	49	1	5	0	0	0	6	
11.09.2025 08:46:31	P	68	1	1	18	23	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:47:31	P	68	1	1	18	24	1	20	0	130	50	1	5	0	0	0	6	
11.09.2025 08:48:31	P	68	1	1	18	25	1	20	0	130	53	1	5	0	0	0	6	
11.09.2025 08:49:31	P	68	1	1	18	26	1	20	0	130	49	1	5	0	0	0	6	
11.09.2025 08:50:31	P	68	1	1	18	27	1	20	0	130	48	1	5	0	0	0	6	
11.09.2025 08:51:31	P	68	1	1	18	28	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 08:52:31	P	68	1	1	18	29	1	20	0	130	48	1	5	0	0	0	6	
11.09.2025 08:53:31	P	68	1	1	18	30	1	20	0	130	48	1	5	0	0	0	6	
11.09.2025 08:54:31	P	68	1	1	18	31	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 08:55:31	P	68	1	1	18	32	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 08:56:31	P	68	1	1	18	33	1	20	0	130	48	1	5	0	0	0	6	
11.09.2025 08:57:31	P	68	1	1	18	34	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 08:58:31	P	68	1	1	18	35	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 08:59:31	P	68	1	1	18	36	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:00:31	P	68	1	1	18	37	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:01:31	P	68	1	1	18	38	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 09:02:31	P	68	1	1	18	39	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 09:03:31	P	68	1	1	18	40	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:04:31	P	68	1	1	18	41	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:05:31	P	68	1	1	18	42	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 09:06:31	P	68	1	1	18	43	1	20	0	130	47	1	5	0	0	0	6	
11.09.2025 09:07:31	P	68	1	1	18	44	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:08:31	P	68	1	1	18	45	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:09:31	P	68	1	1	18	46	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:10:31	P	68	1	1	18	47	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:11:31	P	68	1	1	18	48	1	20	0	130	46	0	5	0	0	0	6	
11.09.2025 09:12:31	P	68	1	1	18	49	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:13:31	P	68	1	1	18	50	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:14:31	P	68	1	1	18	51	1	20	0	130	46	1	5	0	0	0	6	
11.09.2025 09:15:31	P	68	1	1	18	52	1	20	0	130	46	1	5	0	0	0	6	
