<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
11.09.2025 08:32:31	68,7	26,5	14,9	2257,7	174,9	37,0
11.09.2025 08:32:37	48,7	22,7	14,2	53,2	52,1	33,4
11.09.2025 08:32:43	90,8	24,5	15,2	113,6	100,5	37,2
11.09.2025 08:32:49	165,9	27,3	14,7	2025,1	243,2	41,7
11.09.2025 08:32:55	176,1	22,6	14,5	1061,1	227,6	42,3
11.09.2025 08:33:01	142,9	22,5	13,5	245,5	156,7	36,5
11.09.2025 08:33:07	90,0	24,6	14,6	1950,7	163,3	37,5
11.09.2025 08:33:13	117,0	25,5	14,4	1215,1	160,3	48,0
11.09.2025 08:33:19	77,8	25,1	14,8	2413,1	184,2	39,8
11.09.2025 08:33:25	160,9	31,1	15,9	1525,8	243,9	50,7
11.09.2025 08:33:31	199,8	25,2	14,8	3472,5	349,4	43,0
11.09.2025 08:33:37	45,2	23,2	14,2	967,5	79,7	34,2
11.09.2025 08:33:43	44,4	26,3	14,2	3869,6	173,9	32,4
11.09.2025 08:33:49	134,3	25,5	14,5	1541,7	253,6	32,7
11.09.2025 08:33:55	84,7	26,9	14,6	4260,2	256,0	39,8
11.09.2025 08:34:01	68,3	26,5	14,9	996,0	106,2	39,3
11.09.2025 08:34:07	162,3	23,4	14,7	3553,0	390,8	39,0
11.09.2025 08:34:13	102,5	25,0	14,3	2443,5	212,5	44,5
11.09.2025 08:34:19	240,4	24,6	15,6	2617,8	321,8	43,4
11.09.2025 08:34:25	145,7	25,9	14,7	2079,8	265,1	46,7
