<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
11.09.2025 08:32:31	1,49	2,63	3,55	3,61	2,53	2,24	1,59	12,76	0,00	12,41	0,00	0,00	0,00	510,72	1701,70
11.09.2025 08:32:37	1,42	2,88	3,14	3,58	2,08	2,84	1,98	4,25	5,84	6,20	16,62	0,00	0,00	0,00	0,00
11.09.2025 08:32:43	1,55	2,74	3,68	3,42	2,58	2,54	4,37	2,13	2,92	6,20	33,24	45,60	0,00	0,00	0,00
11.09.2025 08:32:49	1,57	2,83	3,20	3,35	1,59	2,99	5,56	6,38	8,76	12,41	0,00	0,00	265,89	218,88	1488,98
11.09.2025 08:32:55	1,53	2,77	3,33	3,74	2,18	1,79	3,18	2,13	8,76	0,00	66,47	45,60	132,95	145,92	638,14
11.09.2025 08:33:01	1,45	2,81	3,00	3,01	2,03	1,64	3,97	4,25	2,92	6,20	33,24	45,60	132,95	0,00	0,00
11.09.2025 08:33:07	1,55	2,82	3,16	4,25	1,79	0,90	3,97	7,44	0,00	12,41	16,62	45,60	0,00	145,92	1701,70
11.09.2025 08:33:13	1,42	3,02	3,00	3,71	2,28	2,09	3,97	5,32	14,59	18,61	0,00	91,20	0,00	0,00	1063,56
11.09.2025 08:33:19	1,50	3,03	3,42	4,05	1,74	1,94	1,59	9,57	8,76	6,20	16,62	0,00	0,00	437,76	1914,41
11.09.2025 08:33:25	1,61	2,79	3,55	3,58	2,83	1,94	6,35	9,57	17,51	6,20	0,00	45,60	132,95	437,76	850,85
11.09.2025 08:33:31	1,56	2,63	3,27	3,45	2,18	2,99	2,78	7,44	0,00	24,81	16,62	0,00	265,89	583,68	2552,54
11.09.2025 08:33:37	1,45	2,59	3,21	4,10	1,89	2,09	2,38	5,32	5,84	12,41	0,00	0,00	0,00	72,96	850,85
11.09.2025 08:33:43	1,53	2,85	3,16	3,22	1,98	1,35	4,37	10,64	2,92	0,00	0,00	0,00	0,00	218,88	3616,10
11.09.2025 08:33:49	1,45	2,96	3,21	3,55	2,08	1,94	3,97	7,44	5,84	0,00	0,00	0,00	132,95	948,48	425,42
11.09.2025 08:33:55	1,46	2,70	3,26	3,61	2,18	1,79	7,15	4,25	8,76	6,20	16,62	0,00	0,00	583,68	3616,10
11.09.2025 08:34:01	1,44	3,03	3,29	3,86	2,08	1,79	5,56	6,38	2,92	6,20	33,24	0,00	0,00	72,96	850,85
11.09.2025 08:34:07	1,56	2,77	3,21	3,97	2,08	1,64	5,16	0,00	8,76	12,41	16,62	45,60	0,00	1532,16	1914,41
11.09.2025 08:34:13	1,41	3,08	3,40	3,29	1,94	2,09	3,97	5,32	14,59	0,00	49,85	0,00	0,00	437,76	1914,41
11.09.2025 08:34:19	1,60	2,97	3,39	4,25	2,28	2,39	2,78	4,25	2,92	12,41	49,85	0,00	398,84	0,00	2127,12
11.09.2025 08:34:25	1,47	2,74	3,34	3,76	2,33	1,94	3,18	7,44	14,59	12,41	0,00	91,20	0,00	656,64	1276,27
11.09.2025 08:34:31	1,61	2,74	3,30	3,84	2,53	1,64	5,95	5,32	11,67	0,00	0,00	45,60	0,00	145,92	2765,26
11.09.2025 08:34:37	1,48	3,04	3,38	3,58	2,53	1,05	3,18	4,25	2,92	6,20	16,62	0,00	132,95	145,92	1701,70
11.09.2025 08:34:43	1,58	2,82	3,24	3,32	1,74	2,39	5,16	8,51	11,67	6,20	16,62	45,60	132,95	218,88	1488,98
11.09.2025 08:34:49	1,37	3,01	3,65	3,81	1,79	1,79	3,57	7,44	0,00	6,20	33,24	45,60	0,00	0,00	1063,56
11.09.2025 08:34:55	1,56	2,81	2,82	3,32	1,89	2,39	3,57	4,25	11,67	0,00	66,47	45,60	0,00	0,00	1063,56
11.09.2025 08:35:01	1,59	2,79	3,24	3,94	1,98	2,39	2,38	2,13	2,92	12,41	33,24	0,00	0,00	72,96	850,85
11.09.2025 08:35:07	1,52	2,75	3,39	3,71	2,53	3,59	5,16	5,32	2,92	6,20	0,00	0,00	0,00	0,00	1063,56
11.09.2025 08:35:13	1,39	2,75	3,44	4,18	2,08	2,84	5,16	12,76	5,84	0,00	0,00	0,00	398,84	875,52	2765,26
11.09.2025 08:35:19	1,53	2,77	3,26	3,27	2,03	2,09	2,38	8,51	5,84	12,41	16,62	0,00	132,95	72,96	850,85
11.09.2025 08:35:25	1,47	2,69	3,65	3,81	2,08	1,50	3,57	9,57	5,84	6,20	49,85	0,00	0,00	0,00	0,00
11.09.2025 08:35:31	1,52	2,71	3,09	3,81	2,08	1,50	3,97	10,64	2,92	12,41	16,62	0,00	0,00	291,84	1276,27
11.09.2025 08:35:37	1,38	2,98	3,66	3,55	1,39	1,64	6,75	5,32	2,92	18,61	16,62	0,00	0,00	364,80	3190,68
11.09.2025 08:35:43	1,58	2,81	3,46	3,86	2,38	2,39	3,57	2,13	0,00	6,20	0,00	91,20	132,95	72,96	1914,41
11.09.2025 08:35:49	1,48	3,05	3,62	3,50	1,69	1,94	3,57	4,25	2,92	6,20	66,47	0,00	265,89	145,92	638,14
11.09.2025 08:35:55	1,52	2,81	3,22	4,02	2,38	1,79	2,38	2,13	11,67	12,41	0,00	0,00	0,00	145,92	1701,70
11.09.2025 08:36:01	1,51	2,75	3,20	3,35	1,79	2,54	5,95	6,38	5,84	0,00	33,24	0,00	0,00	72,96	2977,97
11.09.2025 08:36:07	1,43	2,79	3,35	3,53	2,18	1,05	7,15	4,25	8,76	12,41	0,00	45,60	0,00	729,60	2127,12
11.09.2025 08:36:13	1,58	3,19	3,12	3,42	1,84	2,69	3,57	6,38	5,84	0,00	0,00	0,00	265,89	291,84	2339,83
11.09.2025 08:36:19	1,48	2,61	3,05	4,02	2,18	1,35	3,97	4,25	2,92	6,20	16,62	45,60	0,00	437,76	850,85
11.09.2025 08:36:25	1,50	2,82	3,24	3,66	2,28	3,29	4,76	5,32	11,67	6,20	16,62	0,00	0,00	510,72	2765,26
11.09.2025 08:36:31	1,51	2,93	3,30	3,22	2,48	2,54	5,56	5,32	11,67	24,81	16,62	0,00	132,95	218,88	425,42
11.09.2025 08:36:37	1,58	2,80	2,95	3,92	2,33	2,69	3,97	4,25	17,51	12,41	33,24	0,00	398,84	364,80	1063,56
11.09.2025 08:36:43	1,51	2,83	2,74	3,29	2,43	2,39	3,18	3,19	5,84	0,00	33,24	45,60	132,95	510,72	1701,70
11.09.2025 08:36:49	1,39	2,87	3,00	4,15	1,74	1,64	3,97	5,32	2,92	12,41	33,24	45,60	132,95	0,00	0,00
11.09.2025 08:36:55	1,38	2,49	2,95	3,32	1,64	0,90	6,75	7,44	5,84	6,20	16,62	0,00	0,00	218,88	2552,54
11.09.2025 08:37:01	1,49	2,82	3,13	3,53	1,59	2,39	3,97	6,38	5,84	0,00	33,24	0,00	265,89	510,72	1701,70
11.09.2025 08:37:07	1,39	2,65	3,53	3,84	2,08	1,64	4,37	10,64	5,84	12,41	0,00	91,20	265,89	364,80	2127,12
11.09.2025 08:37:13	1,38	2,72	3,30	3,66	2,28	2,24	2,78	5,32	11,67	0,00	0,00	45,60	132,95	0,00	2127,12
11.09.2025 08:37:19	1,43	2,76	3,42	3,42	1,79	1,20	6,35	4,25	2,92	6,20	0,00	0,00	265,89	145,92	1701,70
11.09.2025 08:37:25	1,57	2,71	3,27	3,37	2,18	2,24	2,78	3,19	2,92	18,61	0,00	0,00	265,89	0,00	1063,56
11.09.2025 08:37:31	1,39	3,03	3,33	3,45	2,38	2,24	5,16	10,64	0,00	0,00	0,00	0,00	0,00	583,68	1488,98
11.09.2025 08:37:37	1,45	2,54	3,35	3,53	2,13	1,35	5,95	4,25	5,84	6,20	33,24	91,20	265,89	583,68	1488,98
11.09.2025 08:37:43	1,40	2,91	3,21	3,37	2,28	0,90	4,37	6,38	2,92	24,81	0,00	45,60	132,95	729,60	1063,56
11.09.2025 08:37:49	1,37	2,67	3,30	3,66	1,84	2,09	3,97	10,64	8,76	12,41	33,24	45,60	265,89	0,00	1063,56
11.09.2025 08:37:55	1,41	2,81	3,52	4,02	2,53	2,09	5,16	5,32	0,00	6,20	0,00	0,00	132,95	364,80	1063,56
11.09.2025 08:38:01	1,54	2,67	3,14	3,71	1,98	2,24	3,97	11,70	2,92	12,41	16,62	45,60	265,89	583,68	2552,54
11.09.2025 08:38:07	1,48	2,72	3,30	3,27	1,94	1,50	4,37	5,32	14,59	6,20	16,62	0,00	0,00	145,92	1701,70
11.09.2025 08:38:13	1,49	2,74	3,11	3,16	2,58	2,39	5,95	3,19	11,67	6,20	0,00	45,60	265,89	729,60	3190,68
11.09.2025 08:38:19	1,47	2,86	3,09	3,32	1,59	2,99	3,97	6,38	11,67	6,20	0,00	0,00	0,00	875,52	1701,70
11.09.2025 08:38:25	1,42	2,76	3,49	3,19	1,84	1,50	5,16	4,25	5,84	18,61	49,85	0,00	0,00	0,00	0,00
11.09.2025 08:38:31	1,51	2,82	2,90	3,24	2,33	2,09	4,76	5,32	0,00	6,20	0,00	45,60	0,00	437,76	2977,97
11.09.2025 08:38:37	1,43	2,52	3,18	3,29	1,79	0,90	3,57	1,06	2,92	6,20	0,00	45,60	132,95	218,88	425,42
11.09.2025 08:38:43	1,46	2,85	2,99	2,83	1,94	1,64	3,97	7,44	11,67	12,41	33,24	45,60	132,95	364,80	1063,56
11.09.2025 08:38:49	1,49	2,69	2,94	3,03	1,59	2,39	3,97	4,25	5,84	12,41	0,00	45,60	132,95	364,80	2127,12
11.09.2025 08:38:55	1,53	2,54	3,07	3,24	1,54	2,54	3,18	7,44	2,92	18,61	0,00	0,00	132,95	0,00	1063,56
11.09.2025 08:39:01	1,45	2,61	3,27	3,55	1,98	1,64	2,78	9,57	5,84	0,00	16,62	0,00	0,00	291,84	1276,27
11.09.2025 08:39:07	1,40	3,03	3,30	3,24	1,59	1,64	4,37	10,64	8,76	0,00	49,85	45,60	0,00	510,72	2765,26
11.09.2025 08:39:13	1,47	2,76	3,31	3,71	2,83	2,69	2,38	11,70	2,92	12,41	16,62	45,60	398,84	1167,36	2977,97
11.09.2025 08:39:19	1,52	2,46	3,55	3,35	1,84	2,24	4,76	5,32	5,84	6,20	66,47	0,00	265,89	364,80	1063,56
11.09.2025 08:39:25	1,48	2,54	3,24	4,25	2,28	1,94	6,75	7,44	2,92	6,20	0,00	45,60	0,00	218,88	1488,98
11.09.2025 08:39:31	1,49	2,55	3,38	3,48	1,84	1,94	3,57	5,32	14,59	24,81	0,00	45,60	0,00	437,76	1914,41
11.09.2025 08:39:37	1,36	2,57	3,27	3,53	1,74	1,94	1,59	8,51	2,92	6,20	49,85	45,60	132,95	0,00	1063,56
11.09.2025 08:39:43	1,40	2,46	2,87	3,42	1,98	1,20	5,95	3,19	0,00	12,41	16,62	91,20	132,95	510,72	1701,70
11.09.2025 08:39:49	1,40	2,83	2,81	3,58	1,74	1,79	3,57	5,32	2,92	18,61	33,24	0,00	132,95	291,84	1276,27
11.09.2025 08:39:55	1,38	2,61	2,69	3,58	1,74	2,54	3,57	4,25	0,00	12,41	0,00	0,00	398,84	291,84	2339,83
11.09.2025 08:40:01	1,34	2,89	3,56	3,99	1,69	1,94	5,56	9,57	8,76	0,00	16,62	0,00	0,00	72,96	850,85
11.09.2025 08:40:07	1,54	2,64	2,83	3,50	1,94	1,64	4,37	9,57	2,92	6,20	16,62	0,00	132,95	948,48	2552,54
11.09.2025 08:40:13	1,34	2,67	3,25	3,24	1,29	1,35	1,59	7,44	8,76	6,20	16,62	0,00	265,89	364,80	2127,12
11.09.2025 08:40:19	1,42	3,09	3,05	3,79	2,08	1,05	6,35	5,32	2,92	6,20	33,24	182,40	0,00	0,00	0,00
11.09.2025 08:40:25	1,69	2,92	3,51	3,86	1,74	1,50	5,95	5,32	14,59	24,81	49,85	0,00	0,00	0,00	1063,56
11.09.2025 08:40:31	1,56	2,74	3,46	2,98	2,03	0,90	6,75	3,19	5,84	6,20	16,62	45,60	132,95	948,48	2552,54
11.09.2025 08:40:37	1,39	2,80	3,35	3,74	2,18	0,90	3,97	3,19	14,59	0,00	0,00	45,60	132,95	364,80	2127,12
11.09.2025 08:40:43	1,52	2,72	2,87	3,09	1,59	1,64	4,37	8,51	5,84	6,20	66,47	91,20	0,00	145,92	1701,70
11.09.2025 08:40:49	1,47	2,83	2,86	3,37	1,98	1,94	5,16	8,51	0,00	6,20	16,62	0,00	132,95	656,64	3403,39
11.09.2025 08:40:55	1,27	2,72	2,80	2,93	1,69	2,24	2,78	4,25	0,00	0,00	49,85	0,00	265,89	364,80	2127,12
11.09.2025 08:41:01	1,57	3,04	2,83	3,22	2,13	2,39	5,56	5,32	2,92	6,20	0,00	0,00	132,95	583,68	3616,10
11.09.2025 08:41:07	1,63	2,65	3,04	4,18	2,48	0,90	3,97	6,38	2,92	0,00	33,24	91,20	265,89	0,00	2127,12
11.09.2025 08:41:13	1,42	2,67	3,25	3,40	2,08	2,54	5,16	6,38	5,84	6,20	33,24	45,60	0,00	1094,40	2127,12
11.09.2025 08:41:19	1,52	2,72	3,16	3,66	1,79	2,39	4,76	4,25	11,67	0,00	33,24	0,00	132,95	1459,20	3190,68
11.09.2025 08:41:25	1,55	2,98	2,81	3,55	2,03	3,14	4,37	4,25	8,76	18,61	16,62	45,60	132,95	802,56	4041,53
11.09.2025 08:41:31	1,48	2,75	3,08	3,61	2,03	1,05	4,76	4,25	17,51	6,20	33,24	45,60	132,95	218,88	2552,54
11.09.2025 08:41:37	1,38	2,85	2,89	2,96	1,89	2,24	4,76	9,57	5,84	6,20	16,62	0,00	132,95	583,68	2552,54
11.09.2025 08:41:43	1,55	2,65	3,65	3,68	2,28	1,50	2,38	11,70	2,92	0,00	49,85	45,60	0,00	1459,20	5317,80
11.09.2025 08:41:49	1,32	2,73	2,76	3,24	2,38	1,94	5,16	5,32	8,76	12,41	16,62	0,00	0,00	0,00	2127,12
11.09.2025 08:41:55	1,52	2,74	3,00	3,16	1,84	2,39	1,98	9,57	0,00	12,41	16,62	0,00	265,89	729,60	3190,68
11.09.2025 08:42:01	1,54	2,70	2,82	3,27	1,94	2,09	2,78	9,57	2,92	6,20	16,62	45,60	132,95	948,48	2552,54
