<Header>
User name: 
Location: cabin
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: 
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
11.09.2025 08:38:19	0,48	0,43	0,37	0,35	0,12	0,09	0,04	0,08	0,03	0,04	0,06	0,13	0,13	0,26	0,40	1,83	0,30	0,46	4,01	3,34	6,03	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:25	0,49	0,45	0,40	0,30	0,11	0,09	0,06	0,06	0,03	0,07	0,00	0,00	0,27	0,00	0,90	0,18	1,21	0,93	0,00	0,00	3,02	4,50	6,96	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:31	0,56	0,41	0,34	0,33	0,15	0,10	0,07	0,05	0,01	0,06	0,00	0,00	0,00	0,26	0,00	0,00	0,00	0,93	0,80	0,00	3,02	0,00	0,00	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:37	0,57	0,46	0,45	0,31	0,16	0,08	0,10	0,06	0,03	0,06	0,03	0,20	0,13	0,51	0,00	0,00	1,81	0,46	0,80	1,67	3,02	13,51	0,00	12,52	22,87	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:43	0,55	0,41	0,33	0,33	0,11	0,05	0,09	0,04	0,03	0,07	0,03	0,13	0,27	0,51	1,10	2,74	0,91	0,93	1,60	0,00	0,00	4,50	0,00	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:49	0,52	0,43	0,38	0,37	0,10	0,07	0,08	0,08	0,03	0,06	0,13	0,27	0,27	0,00	0,80	0,91	0,60	1,86	0,80	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:38:55	0,49	0,37	0,36	0,30	0,10	0,06	0,15	0,08	0,01	0,09	0,03	0,07	0,13	0,00	1,30	0,37	1,21	0,46	0,80	5,02	0,00	0,00	0,00	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:39:01	0,56	0,46	0,39	0,33	0,18	0,04	0,06	0,08	0,03	0,07	0,00	0,13	0,40	0,51	0,00	0,00	0,00	0,00	2,40	1,67	3,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:39:07	0,51	0,42	0,41	0,34	0,16	0,07	0,08	0,05	0,04	0,11	0,06	0,07	0,13	0,51	1,30	2,56	0,00	0,93	3,21	3,34	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:39:13	0,53	0,43	0,39	0,34	0,13	0,08	0,04	0,05	0,01	0,09	0,03	0,07	0,00	0,51	0,80	0,18	1,21	0,93	3,21	0,00	0,00	0,00	6,96	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:39:19	0,54	0,38	0,37	0,34	0,10	0,06	0,13	0,06	0,01	0,09	0,00	0,13	0,13	0,00	0,50	1,10	2,11	0,46	0,00	1,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:39:25	0,52	0,47	0,37	0,26	0,13	0,07	0,10	0,03	0,00	0,07	0,10	0,00	0,00	0,00	0,00	0,00	0,60	0,93	0,00	1,67	0,00	0,00	6,96	12,52	22,87	37,75	57,98	0,00	0,00	0,00	0,00
11.09.2025 08:39:31	0,57	0,41	0,40	0,31	0,11	0,05	0,15	0,06	0,03	0,07	0,03	0,20	0,13	0,00	0,70	0,37	0,60	0,46	0,80	0,00	3,02	0,00	0,00	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
