<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: log data
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	773	802	1276	0	0	62	118

<Data>
[d&t31.12.2035 11:50:55]	P	Year	Mon	Day	Hr	Min	Sec	Loc	GF	Err	Qbatt	Im	Temp	rH	Velo	Pres	Dir	Rain	Iv	P_Weight	P_Vol[l]	rH_i	Temp_i	Latitude	Longitude	Height	Flow[%]	SFlow
11.09.2025 08:35:33	P	25	9	11	8	35	33	2	0	0	NA	13	NA	NA	NA	1004,5	NA	NA	6	1128,4	36663,9	55,5	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:35:40	P	25	9	11	8	35	40	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,4	36664,0	55,0	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:35:46	P	25	9	11	8	35	46	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,4	36664,1	54,6	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:35:52	P	25	9	11	8	35	52	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,4	36664,2	54,4	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:35:58	P	25	9	11	8	35	58	2	100	0	NA	30	NA	NA	NA	1004,1	NA	NA	6	1128,5	36664,4	54,2	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:04	P	25	9	11	8	36	4	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36664,5	54,2	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:10	P	25	9	11	8	36	10	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36664,6	54,1	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:16	P	25	9	11	8	36	16	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36664,7	53,9	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:22	P	25	9	11	8	36	22	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36664,8	53,9	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:28	P	25	9	11	8	36	28	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36665,0	53,9	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:34	P	25	9	11	8	36	34	2	100	0	NA	30	NA	NA	NA	1004,3	NA	NA	6	1128,5	36665,1	53,9	25,4	NA	NA	NA	100,6A	NA
11.09.2025 08:36:40	P	25	9	11	8	36	40	2	100	0	NA	30	NA	NA	NA	1004,1	NA	NA	6	1128,5	36665,2	53,9	25,5	NA	NA	NA	100,6A	NA
11.09.2025 08:36:46	P	25	9	11	8	36	46	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36665,3	53,8	25,5	NA	NA	NA	100,6A	NA
11.09.2025 08:36:52	P	25	9	11	8	36	52	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36665,5	53,7	25,5	NA	NA	NA	100,6A	NA
11.09.2025 08:36:58	P	25	9	11	8	36	58	2	100	0	NA	30	NA	NA	NA	1004,5	NA	NA	6	1128,5	36665,6	53,7	25,5	NA	NA	NA	100,6A	NA
