<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
11.09.2025 08:35:40	22,8	16,2	8,5	6,7	6,4	9,6	21,0	17,9	7,4	18,4	5,4	5,2
11.09.2025 08:35:46	8,2	8,2	8,2	7,8	6,4	0,4	6,5	6,5	6,5	6,5	6,2	5,2
11.09.2025 08:35:52	34,4	21,5	8,7	7,3	6,5	14,2	32,1	26,1	7,9	26,9	5,9	5,2
11.09.2025 08:35:58	33,4	15,4	10,0	7,9	6,3	7,5	25,9	18,5	8,1	15,7	6,3	5,1
11.09.2025 08:36:04	51,3	27,1	15,6	10,1	6,9	17,0	42,0	31,9	13,1	29,3	8,0	5,6
11.09.2025 08:36:10	73,3	24,5	12,9	8,4	6,9	16,1	54,7	34,3	10,9	27,1	6,7	5,6
11.09.2025 08:36:16	35,2	17,0	10,4	8,3	6,9	8,7	28,4	20,7	8,7	18,2	6,6	5,6
11.09.2025 08:36:22	13,3	13,3	12,7	10,2	7,5	3,1	10,4	10,4	9,9	10,4	8,0	6,0
11.09.2025 08:36:28	73,8	25,7	17,8	11,1	6,7	14,6	52,1	32,4	14,1	24,4	8,7	5,4
11.09.2025 08:36:34	35,6	23,0	11,3	9,0	6,7	14,0	31,8	26,2	9,6	26,7	7,1	5,4
11.09.2025 08:36:40	96,5	17,2	13,2	8,8	6,9	8,4	57,6	23,9	10,8	15,7	7,0	5,6
11.09.2025 08:36:46	28,4	20,6	11,0	8,5	6,6	12,1	26,1	22,3	9,5	23,4	6,8	5,3
11.09.2025 08:36:52	33,8	32,1	24,4	13,7	7,0	18,4	29,1	28,0	19,4	29,0	10,7	5,7
11.09.2025 08:36:58	25,0	18,8	12,8	9,0	6,5	9,8	21,1	18,4	10,4	18,6	7,2	5,3
11.09.2025 08:37:04	41,3	23,0	14,7	9,6	6,4	13,3	33,3	25,5	11,9	23,1	7,6	5,2
11.09.2025 08:37:10	181,3	24,1	10,4	7,2	6,7	16,9	100,3	35,1	9,3	28,9	5,8	5,4
11.09.2025 08:37:16	76,2	16,5	11,6	8,5	6,7	8,0	50,9	26,8	9,1	15,7	6,7	5,4
11.09.2025 08:37:22	56,4	20,7	12,5	9,6	6,5	11,1	41,6	27,0	9,9	21,3	7,6	5,3
11.09.2025 08:37:28	39,1	26,2	13,0	9,1	6,1	17,0	34,9	28,9	10,8	29,7	7,2	5,0
11.09.2025 08:37:34	14,1	14,0	11,9	8,9	6,2	5,1	12,6	12,5	9,8	12,6	7,0	5,0
11.09.2025 08:37:40	506,7	11,2	10,7	8,7	6,8	2,5	192,9	11,9	8,4	8,8	6,9	5,5
11.09.2025 08:37:46	13,4	13,4	12,5	9,6	6,4	3,8	10,4	10,4	9,8	10,4	7,6	5,2
11.09.2025 08:37:52	20,3	20,3	17,6	10,5	6,1	9,8	16,2	16,2	13,8	16,2	8,2	4,9
11.09.2025 08:37:58	26,9	20,7	14,5	9,6	6,6	11,1	22,5	19,8	11,7	20,0	7,6	5,3
11.09.2025 08:38:04	20,8	20,7	17,0	9,8	5,6	11,0	17,6	17,4	13,6	17,6	7,6	4,5
11.09.2025 08:38:10	16,4	16,4	14,6	10,0	6,7	6,4	13,3	13,3	11,6	13,3	7,9	5,4
11.09.2025 08:38:16	116,1	19,3	13,9	8,9	6,2	10,4	69,6	29,0	10,8	17,5	7,0	5,0
11.09.2025 08:38:22	7,0	7,0	7,0	6,8	6,1	0,3	5,6	5,6	5,6	5,6	5,5	4,9
11.09.2025 08:38:28	58,6	22,4	11,0	8,5	6,8	14,0	46,4	31,4	9,5	26,1	6,7	5,5
11.09.2025 08:38:34	56,6	14,4	10,2	8,2	6,5	6,1	40,0	22,6	8,8	14,9	6,6	5,2
11.09.2025 08:38:40	8,5	8,5	8,5	8,1	6,4	0,4	6,8	6,8	6,8	6,8	6,5	5,2
11.09.2025 08:38:46	3,9	3,9	3,9	3,8	3,6	0,0	3,1	3,1	3,1	3,1	3,1	2,9
11.09.2025 08:38:52	15,4	13,8	9,2	6,2	4,5	7,6	13,5	12,5	7,3	13,4	4,9	3,6
