<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass, dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
11.09.2025 08:35:40	0,83	0,54	0,39	0,21	0,09	0,04	0,05	0,09	0,00	0,00	0,13	0,00	0,00	0,00	0,00	0,00	0,49	0,81	1,32	0,00	3,56	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:35:46	0,82	0,54	0,45	0,26	0,11	0,04	0,04	0,03	0,05	0,08	0,00	0,00	0,69	0,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:35:52	0,81	0,57	0,41	0,29	0,11	0,10	0,09	0,03	0,00	0,08	0,38	0,00	0,34	0,00	0,00	0,00	0,00	0,00	1,32	2,17	3,56	0,00	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:35:58	0,81	0,57	0,41	0,21	0,09	0,09	0,07	0,00	0,05	0,16	0,00	0,42	0,69	0,00	0,00	0,00	0,99	0,81	0,00	2,17	0,00	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:04	0,86	0,56	0,40	0,22	0,12	0,14	0,05	0,03	0,05	0,08	0,26	0,42	0,34	0,56	1,10	1,51	1,48	0,81	2,65	2,17	0,00	0,00	9,54	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:10	0,87	0,55	0,39	0,25	0,15	0,08	0,04	0,06	0,00	0,08	0,00	0,00	0,00	0,56	0,18	1,81	0,49	1,62	0,00	2,17	7,11	0,00	9,54	0,00	25,59	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:16	0,86	0,52	0,43	0,22	0,11	0,08	0,02	0,03	0,05	0,00	0,13	0,42	0,00	0,00	0,74	0,60	0,49	0,00	1,32	0,00	3,56	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:22	0,87	0,50	0,43	0,27	0,15	0,05	0,12	0,00	0,00	0,16	0,51	0,42	0,00	0,56	0,55	1,81	0,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:28	0,83	0,52	0,44	0,31	0,13	0,07	0,05	0,00	0,05	0,00	0,00	0,21	0,69	0,56	2,76	2,71	0,00	2,43	0,00	2,17	0,00	0,00	9,54	0,00	25,59	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:34	0,85	0,55	0,35	0,24	0,13	0,11	0,09	0,00	0,00	0,00	0,26	0,21	0,69	1,12	0,00	0,00	0,00	0,81	0,00	4,34	0,00	0,00	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:40	0,85	0,53	0,41	0,25	0,14	0,11	0,09	0,03	0,05	0,08	0,13	0,00	0,00	0,56	0,92	0,30	2,47	0,81	1,32	0,00	3,56	0,00	0,00	0,00	0,00	41,93	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:46	0,82	0,52	0,39	0,28	0,10	0,03	0,07	0,03	0,05	0,08	0,00	0,21	0,00	1,69	0,00	0,00	0,00	0,81	2,65	0,00	0,00	5,82	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:52	0,84	0,48	0,37	0,27	0,16	0,12	0,02	0,03	0,14	0,00	0,00	0,42	0,00	1,12	4,60	5,13	1,98	0,81	1,32	2,17	0,00	5,82	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:36:58	0,84	0,55	0,37	0,24	0,07	0,01	0,04	0,06	0,00	0,23	0,13	0,42	0,34	0,00	0,92	1,81	0,49	0,81	1,32	0,00	0,00	0,00	9,54	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:37:04	0,80	0,53	0,40	0,28	0,12	0,08	0,05	0,06	0,05	0,08	0,00	0,42	0,34	0,56	1,66	0,90	1,98	0,81	0,00	2,17	3,56	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
11.09.2025 08:37:10	0,80	0,45	0,40	0,24	0,17	0,05	0,02	0,06	0,05	0,00	0,13	0,00	0,00	0,00	0,00	0,00	1,48	0,81	2,65	0,00	0,00	11,65	9,54	0,00	0,00	0,00	68,64	0,00	0,00	0,00	0,00
11.09.2025 08:37:16	0,85	0,54	0,37	0,25	0,11	0,09	0,07	0,00	0,00	0,16	0,26	0,00	0,00	0,00	1,29	0,90	0,99	0,81	0,00	0,00	0,00	0,00	0,00	15,62	25,59	0,00	0,00	0,00	0,00	0,00	0,00
