<Header>
User name: 
Location: cabin
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: ug/m3
C-factor: 1,00
Comment: 
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
11.09.2025 08:38:19	21,6	7,2	4,8	21,6	20,8	10,9
11.09.2025 08:38:25	29,9	6,8	4,8	35,2	26,3	8,4
11.09.2025 08:38:31	17,7	5,8	5,2	22,8	16,6	6,8
11.09.2025 08:38:37	36,3	7,4	5,6	63,0	39,3	10,0
11.09.2025 08:38:43	25,4	9,9	5,3	30,4	23,8	11,8
11.09.2025 08:38:49	10,7	7,9	5,3	10,7	10,6	9,2
11.09.2025 08:38:55	21,7	7,2	4,9	26,7	20,6	9,3
11.09.2025 08:39:01	13,4	6,4	5,5	13,4	13,0	8,1
11.09.2025 08:39:07	17,1	9,1	5,1	17,1	16,9	11,9
11.09.2025 08:39:13	18,5	7,3	5,1	18,9	16,9	9,6
11.09.2025 08:39:19	11,2	7,8	5,2	11,2	11,2	9,0
11.09.2025 08:39:25	23,5	5,6	5,0	146,3	42,3	6,8
11.09.2025 08:39:31	19,2	7,1	5,5	24,2	18,0	8,2
11.09.2025 08:39:37	11,9	7,8	5,1	11,9	11,9	9,7
11.09.2025 08:39:43	13,0	7,8	5,0	13,0	12,9	9,4
11.09.2025 08:39:49	23,7	6,1	5,2	45,7	27,7	8,3
11.09.2025 08:39:55	12,6	5,8	4,9	12,6	11,8	7,1
11.09.2025 08:40:01	29,4	7,0	5,3	34,7	26,0	8,9
11.09.2025 08:40:07	29,6	7,9	5,2	34,6	27,0	10,1
11.09.2025 08:40:13	15,2	5,4	5,1	20,2	14,3	6,5
11.09.2025 08:40:19	18,7	6,7	5,1	19,0	16,7	7,9
11.09.2025 08:40:25	17,8	8,6	5,0	17,8	17,1	10,3
11.09.2025 08:40:31	21,5	8,7	5,4	21,8	19,4	10,3
11.09.2025 08:40:37	12,3	5,9	5,2	12,3	12,1	8,0
11.09.2025 08:40:43	34,3	8,3	5,2	40,0	30,0	10,4
11.09.2025 08:40:49	31,0	7,9	5,2	31,7	27,3	10,9
11.09.2025 08:40:55	10,0	6,4	5,1	68,0	16,9	7,6
11.09.2025 08:41:01	9,5	6,8	5,4	9,5	9,5	8,0
11.09.2025 08:41:07	20,9	9,0	4,8	21,3	19,2	11,2
11.09.2025 08:41:13	19,0	6,3	5,5	19,3	17,2	8,4
11.09.2025 08:41:19	15,9	9,3	5,1	15,9	15,7	11,5
11.09.2025 08:41:25	23,6	6,8	5,3	50,4	29,0	8,9
11.09.2025 08:41:31	23,4	7,4	5,0	23,8	21,4	10,5
11.09.2025 08:41:37	10,8	8,9	5,1	10,8	10,8	9,7
11.09.2025 08:41:43	15,8	7,8	5,4	15,8	15,4	10,0
11.09.2025 08:41:49	20,1	5,8	4,7	20,4	18,3	8,7
11.09.2025 08:41:55	22,3	5,4	3,7	23,0	19,0	7,1
11.09.2025 08:42:01	26,2	6,6	3,8	31,5	23,3	7,9
11.09.2025 08:42:07	15,1	5,2	3,4	15,5	13,4	6,9
11.09.2025 08:42:13	14,6	5,5	3,3	14,9	12,9	6,8
11.09.2025 08:42:19	10,0	4,8	3,2	10,0	9,7	6,1
11.09.2025 08:42:25	17,2	4,3	2,9	22,2	15,5	5,1
11.09.2025 08:42:31	17,9	3,8	2,5	17,9	16,6	6,6
11.09.2025 08:42:37	2,5	2,5	2,5	2,5	2,5	2,5
11.09.2025 08:42:43	8,9	2,6	2,3	8,9	8,5	4,1
11.09.2025 08:42:49	6,0	3,2	2,1	6,0	5,9	4,1
11.09.2025 08:42:55	12,4	3,5	2,0	75,4	18,5	4,2
11.09.2025 08:43:01	4,0	3,6	1,9	4,0	4,0	3,8
11.09.2025 08:43:07	4,9	2,6	1,7	26,6	11,5	3,1
11.09.2025 08:43:13	2,0	2,0	1,6	60,0	9,0	2,0
11.09.2025 08:43:19	2,9	2,0	1,5	2,9	2,8	2,4
11.09.2025 08:43:25	6,9	1,7	1,2	6,9	6,1	2,3
11.09.2025 08:43:31	2,7	2,5	1,3	2,7	2,7	2,5
11.09.2025 08:43:37	1,0	1,0	1,0	1,0	1,0	1,0
11.09.2025 08:43:43	4,1	2,0	1,3	4,1	4,0	2,5
11.09.2025 08:43:49	3,5	2,1	1,0	25,2	10,1	2,2
11.09.2025 08:43:55	2,4	1,5	1,0	2,4	2,4	1,9
11.09.2025 08:44:01	1,4	1,4	0,8	1,4	1,4	1,4
11.09.2025 08:44:07	3,1	1,1	0,8	103,3	8,3	2,0
11.09.2025 08:44:13	0,7	0,7	0,7	0,7	0,7	0,7
11.09.2025 08:44:19	0,7	0,7	0,7	0,7	0,7	0,7
11.09.2025 08:44:25	0,7	0,7	0,7	0,7	0,7	0,7
11.09.2025 08:44:31	1,2	1,1	0,6	1,2	1,2	1,1
11.09.2025 08:44:37	1,0	1,0	0,5	1,0	1,0	1,0
11.09.2025 08:44:43	0,5	0,5	0,5	0,5	0,5	0,5
