<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Counts, dN [1/l]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
11.09.2025 08:35:40	45010,0	17980,0	7810,0	2550,0	650,0	200,0	150,0	150,0	0,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	10,0	10,0	10,0	0,0	10,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:35:46	44420,0	17830,0	9020,0	3250,0	850,0	200,0	100,0	50,0	50,0	50,0	0,0	0,0	100,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:35:52	44120,0	18740,0	8320,0	3650,0	800,0	450,0	250,0	50,0	0,0	50,0	150,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	10,0	10,0	10,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:35:58	44270,0	18830,0	8370,0	2650,0	700,0	400,0	200,0	0,0	50,0	100,0	0,0	100,0	100,0	0,0	0,0	0,0	20,0	10,0	0,0	10,0	0,0	0,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:04	46600,0	18480,0	8170,0	2700,0	900,0	650,0	150,0	50,0	50,0	50,0	100,0	100,0	50,0	50,0	60,0	50,0	30,0	10,0	20,0	10,0	0,0	0,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:10	47510,0	18280,0	7970,0	3100,0	1150,0	350,0	100,0	100,0	0,0	50,0	0,0	0,0	0,0	50,0	10,0	60,0	10,0	20,0	0,0	10,0	20,0	0,0	10,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:16	46540,0	17220,0	8720,0	2700,0	850,0	350,0	50,0	50,0	50,0	0,0	50,0	100,0	0,0	0,0	40,0	20,0	10,0	0,0	10,0	0,0	10,0	0,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:22	47520,0	16520,0	8670,0	3400,0	1100,0	250,0	350,0	0,0	0,0	100,0	200,0	100,0	0,0	50,0	30,0	60,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:28	45240,0	17380,0	8820,0	3800,0	950,0	300,0	150,0	0,0	50,0	0,0	0,0	50,0	100,0	50,0	150,0	90,0	0,0	30,0	0,0	10,0	0,0	0,0	10,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
11.09.2025 08:36:34	46090,0	18220,0	7120,0	3000,0	1000,0	500,0	250,0	0,0	0,0	0,0	100,0	50,0	100,0	100,0	0,0	0,0	0,0	10,0	0,0	20,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
