"Gerät";;"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30";"30"
"Messstelle";;"0";"1";"2";"3";"10";"11";"12";"13";"20";"21";"22";"23";"30";"31";"40";"41";"50";"51";"60";"61";"62";"63";"70";"71";"72";"73";"80";"90"
"Kommentar";;"T,t";"RH,Uw";"DT,td";"AP,p mbar";"T,t";"RH,Uw";"DT,td";"AP,p mbar";"T,t";"RH,Uw";"DT,td";"AP,p mbar";"v 1,0 m/s";"p    mbar";"v 1,0 m/s";"p    mbar";"v 1,0 m/s";"p    mbar";"CO2ppm avg";"CO2ppm";"AP,p mbar";"Tp,t °C";"CO2ppm avg";"CO2ppm";"AP,p mbar";"Tp,t °C";"";""
"Sensor";;"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"DIGI";"P204";"P204"
"Einheit";;"°C";"%H";"°C";"mb";"°C";"%H";"°C";"mb";"°C";"%H";"°C";"mb";"ms";"mb";"ms";"mb";"ms";"mb";"pp";"pp";"mb";"°C";"pp";"pp";"mb";"°C";"°C";"°C"
"Grenzwerte";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

"11.09.2025";"08:33:48";22,98;59,5;14,7;1001,5;22,68;58,4;14,2;1000,2;22,46;59,3;14,2;1002,5;0;1000,3;0;1000,4;0,087;1000,7;678;619;999,8;27,6;477;477;1001,8;27,3;23,01;22,42
"11.09.2025";"08:33:57";22,99;60,5;15;1001,5;22,68;58,2;14,1;1000,2;22,45;59,1;14,1;1002,5;0;1000,3;0;1000,4;0,075;1000,7;675;631;999,8;27,6;477;461;1001,8;27,3;23,03;22,44
"11.09.2025";"08:34:09";22,98;61,8;15,3;1001,5;22,68;58,3;14,1;1000,2;22,45;59,2;14,1;1002,5;0,001;1000,4;0;1000,4;0,069;1000,7;678;643;999,8;27,6;477;469;1001,8;27,3;23,04;22,44
"11.09.2025";"08:34:17";22,98;62,3;15,4;1001,5;22,68;58,2;14,1;1000,2;22,44;59,1;14,1;1002,5;0;1000,3;0;1000,4;0,096;1000,8;678;643;999,8;27,6;477;469;1001,8;27,3;23,04;22,45
"11.09.2025";"08:34:26";22,97;62,5;15,5;1001,5;22,68;59,3;14,4;1000,2;22,44;59,1;14,1;1002,5;0;1000,4;0;1000,5;0,07;1000,8;675;637;999,9;27,7;461;451;1001,7;27,3;23,05;22,45
"11.09.2025";"08:34:37";22,97;62,2;15,4;1001,4;22,69;60,8;14,8;1000,3;22,43;59,1;14,1;1002,5;0;1000,3;0;1000,4;0,064;1000,7;675;677;999,8;27,7;467;465;1001,8;27,4;23,05;22,46
"11.09.2025";"08:34:46";22,97;61,7;15,3;1001,5;22,69;61,1;14,9;1000,2;22,43;59,2;14,1;1002,5;0,027;1000,3;0;1000,4;0,075;1000,8;675;677;999,8;27,7;467;465;1001,8;27,4;23,06;22,46
"11.09.2025";"08:34:58";22,95;62,3;15,4;1001,5;22,69;59,8;14,5;1000,1;22,42;59,2;14,1;1002,5;0;1000,3;0;1000,4;0,072;1000,7;675;683;999,8;27,7;469;469;1001,8;27,4;23,06;22,46
"11.09.2025";"08:35:07";22,95;62;15,3;1001,4;22,69;60,7;14,8;1000,2;22,42;59,1;14,1;1002,4;0;1000,4;0,044;1000,4;0,055;1000,7;720;741;999,8;27,7;469;465;1001,8;27,4;23,07;22,46
"11.09.2025";"08:35:18";22,95;62;15,3;1001,4;22,68;60,1;14,6;1000,1;22,42;59,3;14,1;1002,4;0;1000,3;0;1000,4;0,031;1000,8;720;741;999,8;27,7;469;465;1001,8;27,4;23,07;22,47
"11.09.2025";"08:35:27";22,94;62;15,3;1001,4;22,69;61;14,8;1000,2;22,42;59,1;14,1;1002,5;0;1000,3;0;1000,4;0,053;1000,7;677;679;999,9;27,7;469;473;1001,7;27,4;23,07;22,47
"11.09.2025";"08:35:38";22,95;61,8;15,3;1001,4;22,68;58,5;14,2;1000,1;22,41;59,1;14,1;1002,5;0;1000,3;0;1000,4;0,052;1000,8;677;689;999,8;27,7;465;451;1001,8;27,4;23,07;22,48
"11.09.2025";"08:35:47";22,94;61,9;15,3;1001,4;22,69;57,9;14;1000,1;22,41;59,1;14,1;1002,5;0;1000,3;0,051;1000,4;0,085;1000,7;677;689;999,7;27,7;465;451;1001,8;27,4;23,07;22,48
"11.09.2025";"08:35:56";22,94;61,8;15,3;1001,5;22,69;59,4;14,4;1000,2;22,4;59,2;14,1;1002,4;0;1000,3;0;1000,4;0,058;1000,7;662;641;999,8;27,7;469;487;1001,8;27,4;23,08;22,48
"11.09.2025";"08:36:07";22,93;60,6;15;1001,4;22,69;59,4;14,4;1000,2;22,41;59,3;14,1;1002,4;0;1000,3;0;1000,3;0;1000,7;683;707;999,8;27,8;473;479;1001,8;27,4;23,08;22,48
"11.09.2025";"08:36:16";22,94;60,3;14,9;1001,4;22,69;59,1;14,3;1000,1;22,41;59,3;14,1;1002,5;0;1000,2;0;1000,3;0;1000,7;683;707;999,7;27,8;473;479;1001,8;27,4;23,08;22,48
"11.09.2025";"08:36:28";22,93;60,6;15;1001,4;22,69;59,9;14,6;1000,1;22,4;59,3;14,1;1002,4;0;1000,3;0;1000,4;0;1000,8;689;725;999,7;27,8;469;473;1001,8;27,5;23,08;22,49
"11.09.2025";"08:36:36";22,93;60,3;14,9;1001,4;22,7;60,7;14,8;1000,2;22,41;59,4;14,2;1002,4;0;1000,3;0,041;1000,4;0;1000,7;683;724;999,8;27,8;473;488;1001,8;27,5;23,09;22,49
"11.09.2025";"08:36:48";22,94;60,4;14,9;1001,4;22,7;60,7;14,8;1000,1;22,41;59,4;14,2;1002,4;0;1000,3;0;1000,3;0;1000,7;683;724;999,7;27,8;473;488;1001,7;27,5;23,09;22,49
"11.09.2025";"08:36:57";22,94;60,2;14,9;1001,5;22,7;60,3;14,7;1000,1;22,41;59,7;14,2;1002,5;0;1000,3;0;1000,3;0;1000,8;683;656;999,8;27,8;473;483;1001,8;27,5;23,09;22,49
"11.09.2025";"08:37:08";22,94;60;14,8;1001,4;22,7;60,3;14,7;1000,1;22,41;59,9;14,3;1002,4;0;1000,3;0;1000,3;0;1000,6;683;673;999,8;27,8;473;483;1001,7;27,5;23,09;22,49
