testo435-635-735;"DATE";"TIME";"[ppm] CO2";"mbar";"°C";"%rF"
1;"11.09.2025";"08:38:34";685,39;1000,88;23,86;58,69
2;"11.09.2025";"08:38:35";684,27;1000,81;23,87;58,66
3;"11.09.2025";"08:38:36";684,27;1000,81;23,87;58,66
4;"11.09.2025";"08:38:37";684,27;1000,81;23,87;58,66
5;"11.09.2025";"08:38:38";682,98;1000,69;23,88;58,63
6;"11.09.2025";"08:38:39";682,98;1000,69;23,88;58,63
7;"11.09.2025";"08:38:40";682,99;1000,86;23,87;58,62
8;"11.09.2025";"08:38:41";682,99;1000,86;23,87;58,62
9;"11.09.2025";"08:38:42";684,70;1000,73;23,88;58,62
10;"11.09.2025";"08:38:43";684,70;1000,73;23,88;58,62
11;"11.09.2025";"08:38:44";684,70;1000,73;23,88;58,62
12;"11.09.2025";"08:38:45";685,11;1000,75;23,88;58,59
13;"11.09.2025";"08:38:46";685,11;1000,75;23,88;58,59
14;"11.09.2025";"08:38:47";685,11;1000,75;23,88;58,59
15;"11.09.2025";"08:38:48";685,11;1000,75;23,88;58,59
16;"11.09.2025";"08:38:49";685,11;1000,75;23,88;58,59
17;"11.09.2025";"08:38:50";684,22;1000,77;23,90;58,66
18;"11.09.2025";"08:38:51";684,22;1000,77;23,90;58,66
19;"11.09.2025";"08:38:52";684,18;1000,79;23,88;58,72
20;"11.09.2025";"08:38:53";684,18;1000,79;23,88;58,72
21;"11.09.2025";"08:38:54";684,45;1000,83;23,89;58,72
22;"11.09.2025";"08:38:55";684,45;1000,83;23,89;58,72
23;"11.09.2025";"08:38:56";684,45;1000,83;23,89;58,72
24;"11.09.2025";"08:38:57";684,87;1000,77;23,89;58,77
25;"11.09.2025";"08:38:58";684,87;1000,77;23,89;58,77
26;"11.09.2025";"08:38:59";685,65;1000,60;23,89;58,82
27;"11.09.2025";"08:39:00";685,65;1000,60;23,89;58,82
28;"11.09.2025";"08:39:01";685,65;1000,60;23,89;58,82
29;"11.09.2025";"08:39:02";685,65;1000,60;23,89;58,82
