Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N)
0,9.8420028686523438,3.2466964721679688
0.5,9.4459762573242188,3.0371856689453125
1,9.0959396362304688,2.8813323974609375
1.5,11.063285827636719,5.6100692749023438
2,14.522758483886719,11.064994812011719
2.5,18.357814788818359,16.798416137695312
3,18.881587982177734,18.816864013671875
3.5,14.709274291992188,14.279182434082031
4,11.267692565917969,8.4180145263671875
4.5,10.051506042480469,5.2881393432617188
5,9.3591079711914062,3.6171722412109375
5.5,8.8787612915039062,2.7152557373046875
6,8.54150390625,2.3013458251953125
6.5,8.8327713012695312,2.518524169921875
7,10.008071899414062,3.4485397338867188
7.5,10.590614318847656,3.990203857421875
8,9.7781219482421875,3.1955947875976562
8.5,8.8736572265625,2.38055419921875
9,8.7050247192382812,2.2579116821289062
9.5,9.8164520263671875,2.9477615356445312
10,10.955978393554688,3.831787109375
10.5,10.25335693359375,3.4255447387695312
11,8.8889846801757812,2.444427490234375
11.5,8.4444122314453125,2.1710433959960938
12,9.4229812622070312,2.8327865600585938
12.5,10.575286865234375,3.81390380859375
13,10.023406982421875,3.5124130249023438
13.5,8.7918930053710938,2.5287399291992188
14,8.4648513793945312,2.2579116821289062
14.5,9.6197128295898438,3.0601806640625
15,10.692817687988281,3.9850921630859375
15.5,10.025962829589844,3.6197280883789062
16,8.8327713012695312,2.6897048950195312
16.5,9.0448379516601562,2.656494140625
17,10.580390930175781,3.675933837890625
17.5,11.058181762695312,4.1026229858398438
18,9.8496627807617188,3.162384033203125
18.5,8.6411514282226562,2.2068099975585938
19,8.421417236328125,2.130157470703125
19.5,9.4664154052734375,2.9349822998046875
20,11.009635925292969,4.337677001953125
20.5,10.667266845703125,4.18182373046875
21,9.065277099609375,2.8430023193359375
21.5,8.22979736328125,2.2272491455078125
22,8.5159530639648438,2.3498916625976562
22.5,9.8445510864257812,3.2799072265625
23,10.266128540039062,3.7474746704101562
23.5,9.16748046875,2.9809722900390625
24,8.19146728515625,2.222137451171875
24.5,8.2093582153320312,2.1889266967773438
25,9.691253662109375,3.141937255859375
25.5,11.183372497558594,4.3555679321289062
26,10.585502624511719,4.0285263061523438
26.5,9.0320663452148438,2.794464111328125
27,8.1684722900390625,2.1710433959960938
27.5,8.70758056640625,2.5798416137695312
28,10.411766052246094,3.9186630249023438
28.5,11.022407531738281,4.6749420166015625
29,9.7781219482421875,3.831787109375
29.5,8.385650634765625,2.738250732421875
30,8.2527923583984375,2.4750823974609375
30.5,9.9569778442382812,3.456207275390625
31,11.221702575683594,4.5446319580078125
31.5,10.161376953125,3.9493179321289062
32,8.5747222900390625,2.664154052734375
32.5,8.063720703125,2.2553558349609375
33,9.0703887939453125,3.0525131225585938
33.5,10.386215209960938,4.3044662475585938
34,10.025962829589844,4.153717041015625
34.5,8.6462631225585938,2.9298782348632812
35,7.999847412109375,2.4367599487304688
35.5,8.9503021240234375,3.1547164916992188
36,10.488410949707031,4.5982894897460938
36.5,10.225250244140625,4.4730987548828125
37,8.7765655517578125,2.9656448364257812
37.5,8.2962265014648438,2.3933258056640625
38,9.563507080078125,3.4306564331054688
38.5,10.588058471679688,4.5522994995117188
39,9.6784820556640625,3.8931121826171875
39.5,8.3626556396484375,2.5977249145507812
40,8.4444122314453125,2.5670623779296875
40.5,10.243133544921875,4.358123779296875
41,10.98919677734375,5.3392410278320312
41.5,9.673370361328125,3.9288787841796875
42,8.2706756591796875,2.4290924072265625
42.5,8.2885589599609375,2.4495391845703125
43,9.8803253173828125,3.8496780395507812
43.5,10.421981811523438,4.5395278930664062
44,9.0959396362304688,3.3897781372070312
44.5,8.0407257080078125,2.3856582641601562
45,8.6845855712890625,2.9145431518554688
45.5,10.21502685546875,4.4168853759765625
46,10.074501037597656,4.4807586669921875
46.5,8.5440597534179688,3.0295181274414062
47,7.961517333984375,2.3933258056640625
47.5,9.3028945922851562,3.4408721923828125
48,10.626380920410156,4.7515869140625
48.5,9.8036727905273438,4.08984375
49,8.2221298217773438,2.5312957763671875
49.5,8.2604522705078125,2.30645751953125
50,10.416877746582031,3.951873779296875
50.5,11.489974975585938,5.1195144653320312
51,10.17926025390625,3.9391021728515625
51.5,8.6769180297851562,2.4750823974609375
52,8.2502365112304688,2.1761474609375
52.5,9.5762786865234375,3.1828231811523438
53,11.1910400390625,4.7388153076171875
53.5,10.659599304199219,4.521636962890625
54,8.8685455322265625,2.9554290771484375
54.5,8.0790481567382812,2.2144775390625
55,9.2798995971679688,3.032073974609375
55.5,10.812896728515625,4.3990020751953125
56,10.258460998535156,4.1946029663085938
56.5,8.6692581176757812,2.89410400390625
57,8.1301498413085938,2.406097412109375
57.5,9.3437728881835938,3.44598388671875
58,10.63916015625,4.9943161010742188
58.5,10.169036865234375,4.7592544555664062
59,8.9349746704101562,3.0678482055664062
59.5,8.1710281372070312,2.168487548828125
60,8.9477462768554688,3.3769989013671875
60.5,10.248245239257812,5.2881393432617188
61,9.6222686767578125,4.8946685791015625
61.5,7.9921798706054688,3.2594680786132812
62,7.7060165405273438,2.922210693359375
62.5,8.96563720703125,3.9825363159179688
63,10.140937805175781,5.1527252197265625
63.5,9.9876327514648438,4.9764328002929688
64,8.8251113891601562,3.8445663452148438
64.5,7.593597412109375,2.876220703125
65,7.575714111328125,2.7970123291015625
65.5,8.9911880493164062,3.842010498046875
66,9.875213623046875,4.8972244262695312
66.5,9.489410400390625,4.8282394409179688
67,9.0218429565429688,4.347900390625
67.5,8.8864288330078125,4.1690521240234375
68,9.0422821044921875,4.2252578735351562
68.5,9.7909011840820312,4.4143295288085938
69,11.433761596679688,5.2472610473632812
69.5,13.339797973632812,7.3065872192382812
70,14.154838562011719,8.9877777099609375
70.5,13.27081298828125,8.3107070922851562
71,11.17315673828125,6.049530029296875
71.5,9.3131179809570312,3.9569854736328125
72,8.1991348266601562,2.6845932006835938
72.5,7.427520751953125,2.1173858642578125
73,7.0161666870117188,1.97430419921875
73.5,7.9666290283203125,2.5159683227539062
74,10.217582702636719,3.8496780395507812
74.5,12.11083984375,5.5359725952148438
75,13.135391235351562,7.485443115234375
75.5,13.771591186523438,9.1921768188476562
76,14.162506103515625,10.403251647949219
76.5,14.274925231933594,11.351158142089844
77,14.405227661132812,12.219856262207031
77.5,14.660728454589844,12.848388671875
78,14.893234252929688,13.068115234375
78.5,14.474212646484375,12.176422119140625
79,12.706153869628906,9.5498809814453125
79.5,10.549736022949219,6.3740158081054688
80,9.44342041015625,4.2814712524414062
80.5,8.9937362670898438,3.2237014770507812
81,8.2911148071289062,2.4316482543945312
81.5,7.63958740234375,2.1352691650390625
82,7.4019775390625,2.1991424560546875
82.5,7.2946624755859375,2.1787033081054688
83,8.9962921142578125,3.5456314086914062
