Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N)
0,5.3937454223632812,3.6810455322265625
0.5,5.8894119262695312,3.6171722412109375
1,6.68402099609375,4.192047119140625
1.5,6.7862167358398438,4.3683395385742188
2,6.3212127685546875,3.6784896850585938
2.5,5.9430694580078125,3.2875747680664062
3,5.6747970581054688,3.1777114868164062
3.5,5.460174560546875,3.1138381958007812
4,5.6952362060546875,3.916107177734375
4.5,6.8986358642578125,6.1926116943359375
5,8.5823822021484375,8.762939453125
5.5,8.845550537109375,9.4272384643554688
6,7.7928924560546875,6.9207839965820312
6.5,7.4505157470703125,3.2696914672851562
7,7.1924667358398438,1.4300918579101562
7.5,6.4131927490234375,1.0008544921875
8,4.9849472045898438,1.2256927490234375
8.5,3.6972274780273438,1.3662185668945312
9,3.4315032958984375,0.86798858642578125
9.5,3.2500991821289062,0.71724700927734375
10,3.22454833984375,0.56905364990234375
10.5,3.4161758422851562,0.2139129638671875
11,3.50048828125,0.0836029052734375
11.5,3.4902725219726562,-0.003265380859375
12,3.5771408081054688,-0.08246612548828125
12.5,3.6410140991210938,-0.0722503662109375
13,3.5950241088867188,-0.021148681640625
13.5,3.546478271484375,0.02484130859375
14,3.4902725219726562,0.07338714599609375
14.5,3.4774932861328125,0.12448883056640625
15,3.492828369140625,0.18325042724609375
15.5,3.5771408081054688,0.30333709716796875
16,4.642578125,1.2589035034179688
16.5,6.454071044921875,4.14605712890625
17,8.2272415161132812,8.5687637329101562
17.5,10.217582702636719,12.426811218261719
18,13.1788330078125,14.698204040527344
18.5,16.640853881835938,16.742202758789062
19,20.731407165527344,19.557815551757812
19.5,27.141902923583984,21.964626312255859
20,36.431884765625,22.455184936523438
20.5,45.162319183349609,22.958518981933594
21,49.814971923828125,24.414871215820312
21.5,50.343856811523438,24.741909027099609
22,47.722427368164062,23.530841827392578
22.5,43.889926910400391,21.011611938476562
23,37.571414947509766,17.304306030273438
23.5,29.898750305175781,13.650657653808594
24,24.129558563232422,11.598991394042969
24.5,19.750289916992188,10.789054870605469
25,15.033760070800781,10.375144958496094
25.5,10.851226806640625,7.75115966796875
26,9.1342620849609375,3.35400390625
26.5,7.795440673828125,1.1822586059570312
27,6.2292327880859375,0.7044677734375
27.5,5.3196487426757812,0.2420196533203125
28,4.5838088989257812,-0.06969451904296875
28.5,4.1187973022460938,-0.16678619384765625
29,3.8632965087890625,-0.279205322265625
29.5,3.77642822265625,-0.33286285400390625
30,3.9220657348632812,-0.28942108154296875
30.5,4.12646484375,-0.1821136474609375
31,4.40240478515625,-0.1080169677734375
31.5,4.6706771850585938,0.0376129150390625
32,5.4755020141601562,0.99318695068359375
32.5,9.3156661987304688,4.3632278442382812
33,16.622970581054688,10.487564086914062
33.5,26.927284240722656,16.054908752441406
34,35.642387390136719,18.686561584472656
34.5,44.112213134765625,19.003379821777344
35,55.622489929199219,18.050365447998047
35.5,63.82403564453125,16.346183776855469
36,65.459236145019531,15.076347351074219
36.5,62.122406005859375,14.710983276367188
37,57.697147369384766,14.268966674804688
37.5,54.301551818847656,12.845832824707031
38,50.456275939941406,11.358818054199219
38.5,44.096881866455078,11.080322265625
39,35.882556915283203,11.486572265625
39.5,27.808757781982422,12.109992980957031
40,21.03289794921875,11.739517211914062
40.5,15.319915771484375,10.799278259277344
41,10.886993408203125,9.3633651733398438
41.5,8.3728713989257812,6.8875732421875
42,7.2921066284179688,5.1782760620117188
42.5,6.7044601440429688,4.595733642578125
43,6.3748626708984375,4.061737060546875
43.5,5.966064453125,3.325897216796875
44,5.2685470581054688,2.8787765502929688
44.5,4.7498855590820312,2.7126998901367188
45,4.5020523071289062,2.3856582641601562
45.5,4.3947372436523438,2.0228500366210938
46,4.1596832275390625,1.6779251098632812
46.5,3.92462158203125,1.3917694091796875
47,3.7457733154296875,1.2359085083007812
47.5,3.77642822265625,0.9676361083984375
48,3.8658523559570312,0.72491455078125
48.5,3.8530807495117188,0.69425201416015625
49,3.9118423461914062,0.732574462890625
49.5,4.4739456176757812,1.3100051879882812
50,5.4014129638671875,3.9442138671875
50.5,6.1142578125,7.815032958984375
51,7.080047607421875,10.666412353515625
51.5,8.2093582153320312,12.843276977539062
52,8.6028213500976562,13.857612609863281
52.5,8.0611648559570312,12.194305419921875
53,7.1132583618164062,9.8104934692382812
53.5,6.2036819458007812,8.7578277587890625
54,5.3835220336914062,7.6949539184570312
54.5,5.4192962646484375,6.6882781982421875
55,6.2087860107421875,6.381683349609375
55.5,7.3483200073242188,6.6525115966796875
56,9.599273681640625,8.0194320678710938
56.5,11.551292419433594,8.6632919311523438
57,9.6657028198242188,7.439453125
57.5,6.6073684692382812,6.7444915771484375
58,5.7233428955078125,6.5911941528320312
58.5,5.3758621215820312,5.9371109008789062
59,5.442291259765625,5.8527984619140625
59.5,6.029937744140625,7.6898422241210938
60,7.3764266967773438,10.921913146972656
60.5,8.7024688720703125,13.114105224609375
61,8.3703231811523438,12.155982971191406
61.5,6.9344100952148438,8.8472518920898438
62,6.029937744140625,6.5809707641601562
62.5,5.8664169311523438,5.6202926635742188
63,6.0503768920898438,4.797576904296875
63.5,6.1295852661132812,4.3402328491210938
64,6.0989227294921875,4.2405929565429688
64.5,6.075927734375,4.209930419921875
65,6.0197219848632812,4.2022628784179688
65.5,5.994171142578125,4.6391677856445312
66,6.3365402221679688,5.589630126953125
66.5,6.1423568725585938,5.6841659545898438
67,5.2992095947265625,5.2268218994140625
67.5,4.8393096923828125,4.927886962890625
68,4.320648193359375,4.9125595092773438
68.5,4.3640823364257812,5.5666351318359375
69,6.20623779296875,6.3484649658203125
69.5,7.7290115356445312,5.7352676391601562
70,7.6753616333007812,4.9483261108398438
70.5,7.5322799682617188,5.1092910766601562
71,7.5092849731445312,4.82568359375
71.5,7.4965057373046875,4.6315078735351562
72,7.1081466674804688,4.5982894897460938
72.5,6.8322067260742188,5.1501693725585938
73,7.5884857177734375,6.3382492065429688
73.5,7.5782699584960938,5.6228485107421875
74,6.4208526611328125,4.3095779418945312
74.5,6.7172317504882812,5.5385284423828125
75,9.029510498046875,8.4818878173828125
75.5,9.5967178344726562,8.8344802856445312
76,7.2537841796875,6.0750808715820312
76.5,5.3247604370117188,4.5446319580078125
77,5.39630126953125,5.037750244140625
77.5,7.218017578125,6.987213134765625
78,7.6217041015625,7.3219223022460938
78.5,8.1965789794921875,7.0229873657226562
79,11.280464172363281,8.6607437133789062
79.5,19.017002105712891,12.230072021484375
80,34.301013946533203,20.482723236083984
80.5,47.776084899902344,16.39727783203125
81,34.2601318359375,4.567626953125
