Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-01-08 11:13:32.00	201.306781	1.003814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0	0	26.900000	50.600000	1.000000	0.000000	253.223068	36.470001	36.139999	0.002179	201.306781	5998.993466
2026-01-08 11:13:32.01	200.400549																						0					253.212494			0.002179	200.400549	5997.317420
2026-01-08 11:13:32.02	200.400549																						0					253.201904			0.002179	200.400549	5995.311904
2026-01-08 11:13:32.03	200.400549																						0					253.182861			0.002179	200.400549	5993.307899
2026-01-08 11:13:32.04	200.400549																						0					253.163818			-0.000084	200.400549	5991.303893
2026-01-08 11:13:32.05	201.734397																						0					253.168549			-0.000084	201.734397	5989.297665
2026-01-08 11:13:32.06	201.734397																						0					253.173279			-0.000084	201.734397	5987.282544
2026-01-08 11:13:32.07	201.734397																						0					253.130188			-0.000084	201.734397	5985.265200
2026-01-08 11:13:32.08	201.734397																						0					253.087097			0.000003	201.734397	5983.247856
2026-01-08 11:13:32.09	201.531897																						0					253.030823			0.000003	201.531897	5981.230849
2026-01-08 11:13:32.10	201.531897																						0					252.974533			0.000003	201.531897	5979.215193
2026-01-08 11:13:32.11	201.531897																						0					253.023163			0.000003	201.531897	5977.199874
2026-01-08 11:13:32.12	201.531897																						0					253.071808			0.000003	201.531897	5975.184555
2026-01-08 11:13:32.13	201.531897																						0					253.128906			0.000094	201.531897	5973.169236
2026-01-08 11:13:32.14	202.276345																						0					253.186005			0.000094	202.276345	5971.152676
2026-01-08 11:13:32.15	202.276345																						0					253.243103			0.000094	202.276345	5969.131153
2026-01-08 11:13:32.16	202.276345																						0					253.233353			0.000094	202.276345	5967.108390
2026-01-08 11:13:32.17	202.276345																						0					253.271423			-0.004025	202.276345	5965.085627
2026-01-08 11:13:32.18	199.741750																						0					253.309494			-0.004025	199.741750	5963.067087
2026-01-08 11:13:32.19	199.741750																						0					253.347565			-0.004025	199.741750	5961.065446
2026-01-08 11:13:32.20	201.474190																						0					252.238251			-0.005684	201.474190	5959.065141
2026-01-08 11:13:32.21	202.436348																						0					252.041183			-0.005684	202.436348	5957.051683
2026-01-08 11:13:32.22	202.436348																						0					251.844101			-0.005684	202.436348	5955.028923
2026-01-08 11:13:32.23	202.436348																						0					251.607666			-0.005684	202.436348	5953.004559
2026-01-08 11:13:32.24	202.436348																						0					251.371231			0.001123	202.436348	5950.980196
2026-01-08 11:13:32.25	201.991913																						0					251.239563			0.001123	201.991913	5948.956573
2026-01-08 11:13:32.26	201.991913																						0					251.107880			0.001123	201.991913	5946.935913
2026-01-08 11:13:32.27	201.991913																						0					251.115463			0.001123	201.991913	5944.915994
2026-01-08 11:13:32.28	201.991913																						0					251.123047			-0.004668	201.991913	5942.896075
2026-01-08 11:13:32.29	201.435881																						0					251.222961			-0.004668	201.435881	5940.877082
2026-01-08 11:13:32.30	201.991913																						0					251.239563			0.001123	201.991913	5938.860870
2026-01-08 11:13:32.31	201.991913																						0					251.107880			0.001123	201.991913	5936.841878
2026-01-08 11:13:32.32	201.991913																						0					251.115463			0.001123	201.991913	5934.821959
2026-01-08 11:13:32.33	201.991913																						0					251.123047			-0.004668	201.991913	5932.802040
2026-01-08 11:13:32.34	201.435881																						0					251.222961			-0.004668	201.435881	5930.783047
2026-01-08 11:13:32.35	201.435881																						0					251.322861			-0.004668	201.435881	5928.767762
2026-01-08 11:13:32.36	201.435881																						0					251.436798			-0.004668	201.435881	5926.753403
2026-01-08 11:13:32.37	201.435881																						0					251.550735			-0.007774	201.435881	5924.739044
2026-01-08 11:13:32.38	203.352763																						0					251.704010			-0.007774	203.352763	5922.721490
2026-01-08 11:13:32.39	203.352763																						0					251.857300			-0.007774	203.352763	5920.691158
2026-01-08 11:13:32.40	203.378583	0.964067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.080671	0	0	26.900000	50.600000	1.000000	0.000000	251.854416	36.470001	36.119999	-0.004555	203.378583	5918.657587
2026-01-08 11:13:32.41	202.849410																						0					251.774124			-0.004555	202.849410	5916.624726
2026-01-08 11:13:32.42	202.849410																						0					251.693832			-0.004555	202.849410	5914.595350
2026-01-08 11:13:32.43	202.849410																						0					251.519608			-0.004555	202.849410	5912.566856
