Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
0,8.4086456298828125,14.331210136413574,3.2007064819335938,0
0.25,9.7142486572265625,,4.0745162963867188,
0.5,11.783798217773438,,6.1542892456054688,
0.75,12.749588012695312,,8.1522979736328125,
1,12.547744750976562,,8.7220611572265625,
1.25,11.260025024414062,,7.1865081787109375,
1.5,9.8138961791992188,,5.001983642578125,
1.75,8.8302230834960938,,3.658050537109375,
2,8.145477294921875,,2.9937515258789062,
2.25,7.7622299194335938,,2.67437744140625,
2.5,7.4709625244140625,,2.3652191162109375,
2.75,7.2665557861328125,,2.2476882934570312,
3,7.16180419921875,,2.30645751953125,
3.25,7.1388092041015625,,2.3473358154296875,
3.5,7.1030426025390625,,2.250244140625,
3.75,7.3202133178710938,,2.2630233764648438,
4,8.0892715454101562,,2.7178115844726562,
4.25,8.8889846801757812,,3.4332122802734375,
4.5,9.51751708984375,,4.1588287353515625,
4.75,9.9007644653320312,,4.6928253173828125,
5,9.8675460815429688,,4.9815444946289062,
5.25,9.305450439453125,,4.6263961791992188,
5.5,8.5261764526367188,,3.7525863647460938,
5.75,7.9640731811523438,,3.0090789794921875,
6,7.611480712890625,,2.6232757568359375,
6.25,7.447967529296875,,2.5236282348632812,
6.5,7.335540771484375,,2.4853057861328125,
6.75,7.3840866088867188,,2.4342041015625,
7,7.9206390380859375,,2.6028366088867188,
7.25,8.367767333984375,,3.11639404296875,
7.5,8.127593994140625,,3.4638671875,
7.75,7.4505157470703125,,3.0295181274414062,
8,6.436187744140625,,2.2093658447265625,
8.25,5.7821044921875,,1.64471435546875,
8.5,5.8689727783203125,,1.0596160888671875,
8.75,6.196014404296875,,0.66103363037109375,
9,6.4106369018554688,,0.44641876220703125,
9.25,6.489837646484375,,0.2956695556640625,
9.5,6.5383834838867188,,0.17047882080078125,
9.75,6.5767059326171875,,0.08615875244140625,
