Objekt;X (cm);Y (cm);Z (cm);L (cm);B (cm);H (cm);Uhrzeit
laboratory;0;0;0;588;330;276;03.07.2026 11:26:41
cabin;169;299;0;250;162;260;03.07.2026 11:34:28
cabin, measurement room;169;299;0;150;162;260;03.07.2026 11:36:40
cabin, airlock;169;449;0;100;162;260;03.07.2026 11:43:59
ergometer;213;349;0;40;90;127;03.07.2026 14:22:32
cupboard;278;0;0;300;66;276;03.07.2026 14:27:24
washbasin;0;62;0;80;64;110;03.07.2026 14:30:06
corner;0;0;0;62;117;276;03.07.2026 14:31:44
PExA table;25;182;0;85;50;82;03.07.2026 14:35:31
PExA Instrument;25;182;82;51;45;50;03.07.2026 14:37:21
chair 1;50;200;0;35;28;73;03.07.2026 14:40:09
desk;0;470;112;80;120;3;03.07.2026 14:46:17
laboratory door;125;0;0;2;100;210;03.07.2026 14:48:34
participant table;0;324;0;80;80;76;03.07.2026 14:50:22
participant chair 1;0;281;0;45;45;45;03.07.2026 14:52:30
window;20;587;106;1;283;155;03.07.2026 14:56:38
door airlock;169;455;5;85;0;194;03.07.2026 14:59:48
door exit cabin;169;341;5;85;0;194;03.07.2026 15:02:18
door cabin;190;455;5;0;85;194;03.07.2026 15:03:31
examination table;194;95;54;185;68;10;03.07.2026 15:07:15
desk position 2;0;428;112;120;80;3;03.07.2026 15:16:48
