Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-08-27 14:33:57.32	0.929057	0.999918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0	0	25.600000	56.100000	1.000000	0.000000	251.832428	32.810001	35.509998	-0.079017	0.929057	5999.995355
2026-08-27 14:33:57.33	0.929057																						0					251.590729			-0.079017	0.929057	5999.987613
2026-08-27 14:33:57.34	0.929057																						0					251.394745			-0.000276	0.929057	5999.978322
2026-08-27 14:33:57.35	0.929057																						0					251.198746			-0.000276	0.929057	5999.969031
2026-08-27 14:33:57.36	-0.001350																						0					251.009613			-0.000276	-0.001350	5999.961292
2026-08-27 14:33:57.37	-0.001350																						0					250.820496			-0.000276	-0.001350	5999.959754
2026-08-27 14:33:57.38	-0.001350																						0					250.555481			-0.044809	-0.001350	5999.959768
2026-08-27 14:33:57.39	-0.001350																						0					250.290482			-0.044809	-0.001350	5999.959781
2026-08-27 14:33:57.40	1.824823																						0					250.260300			-0.044809	1.824823	5999.956751
2026-08-27 14:33:57.41	1.824823																						0					250.230118			-0.044809	1.824823	5999.941547
2026-08-27 14:33:57.42	1.657666																						0					250.904465			-0.005465	1.657666	5999.923577
2026-08-27 14:33:57.43	1.187273																						0					251.337067			-0.005465	1.187273	5999.907506
2026-08-27 14:33:57.44	1.187273																						0					251.769684			-0.005465	1.187273	5999.894849
2026-08-27 14:33:57.45	1.187273																						0					252.122360			-0.005465	1.187273	5999.882976
2026-08-27 14:33:57.46	1.187273																						0					252.475052			-0.014943	1.187273	5999.871104
2026-08-27 14:33:57.47	0.559022																						0					252.784485			-0.014943	0.559022	5999.860278
2026-08-27 14:33:57.48	0.559022																						0					253.093933			-0.014943	0.559022	5999.853641
2026-08-27 14:33:57.49	0.559022																						0					253.790268			-0.014943	0.559022	5999.848050
2026-08-27 14:33:57.50	0.559022																						0					254.486618			-0.076318	0.559022	5999.842460
2026-08-27 14:33:57.51	1.573819																						0					254.793594			-0.076318	1.573819	5999.835179
2026-08-27 14:33:57.52	1.573819																						0					255.100586			-0.076318	1.573819	5999.821132
2026-08-27 14:33:57.53	1.573819																						0					255.136230			-0.076318	1.573819	5999.805394
2026-08-27 14:33:57.54	1.573819																						0					255.171875			-0.000825	1.573819	5999.789655
2026-08-27 14:33:57.55	-0.340772																						0					255.287430			-0.000825	-0.340772	5999.777108
2026-08-27 14:33:57.56	-0.340772																						0					255.403000			-0.000825	-0.340772	5999.777325
2026-08-27 14:33:57.57	-0.340772																						0					255.700302			-0.000825	-0.340772	5999.780733
2026-08-27 14:33:57.58	-0.340772																						0					255.997589			0.000399	-0.340772	5999.784140
2026-08-27 14:33:57.59	0.032598																						0					255.907990			0.000399	0.032598	5999.786926
2026-08-27 14:33:57.60	0.032598																						0					255.818390			0.000399	0.032598	5999.787222
2026-08-27 14:33:57.61	0.032598																						0					255.445465			0.000399	0.032598	5999.786896
2026-08-27 14:33:57.62	0.032598																						0					255.072556			-0.041019	0.032598	5999.786570
2026-08-27 14:33:57.63	0.265173																						0					254.970978			-0.041019	0.265173	5999.785857
2026-08-27 14:33:57.64	0.265173																						0					254.869400			-0.041019	0.265173	5999.783592
2026-08-27 14:33:57.65	0.265173																						0					254.767822			-0.041019	0.265173	5999.780941
2026-08-27 14:33:57.66	0.265173																						0					254.495026			0.000646	0.265173	5999.778289
2026-08-27 14:33:57.67	0.265173																						0					254.040497			0.000646	0.265173	5999.775637
2026-08-27 14:33:57.68	0.777421																						0					253.585968			0.000646	0.777421	5999.772132
2026-08-27 14:33:57.69	0.777421																						0					253.131439			0.000646	0.777421	5999.765211
2026-08-27 14:33:57.70	0.777421																						0					252.180511			0.002831	0.777421	5999.757437
2026-08-27 14:33:57.71	0.777421																						0					251.512878			0.002831	0.777421	5999.749663
2026-08-27 14:33:57.72	0.777421	0.999716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000255	0	0	25.600000	56.100000	1.000000	0.000000	253.585968	32.820000	35.509998	0.000646	0.777421	5999.741889
2026-08-27 14:33:57.73	0.777421																						0					253.131439			0.000646	0.777421	5999.734114
2026-08-27 14:33:57.74	0.777421																						0					252.180511			0.002831	0.777421	5999.726340
2026-08-27 14:33:57.75	0.777421																						0					251.512878			0.002831	0.777421	5999.718566
2026-08-27 14:33:57.76	3.086275																						0					250.845245			0.002831	3.086275	5999.706944
2026-08-27 14:33:57.77	3.086275																						0					250.177612			0.002831	3.086275	5999.679929
2026-08-27 14:33:57.78	3.086275																						0					250.082733			-0.048561	3.086275	5999.649066
2026-08-27 14:33:57.79	3.086275																						0					249.987869			-0.048561	3.086275	5999.618204
2026-08-27 14:33:57.80	2.152173																						0					250.064224			-0.048561	2.152173	5999.588898
2026-08-27 14:33:57.81	2.152173																						0					250.140564			-0.048561	2.152173	5999.565819
2026-08-27 14:33:57.82	1.334958																						0					249.572052			-0.011299	1.334958	5999.545659
2026-08-27 14:33:57.83	1.334958																						0					250.112717			-0.011299	1.334958	5999.530948
2026-08-27 14:33:57.84	3.318286																						0					250.080612			-0.011299	3.318286	5999.514293
2026-08-27 14:33:57.85	3.318286																						0					250.048523			-0.011299	3.318286	5999.484415
2026-08-27 14:33:57.86	3.318286																						0					249.938828			-0.035214	3.318286	5999.451233
2026-08-27 14:33:57.87	3.318286																						0					249.829147			-0.035214	3.318286	5999.418050
2026-08-27 14:33:57.88	0.408915																						0					250.321304			-0.035214	0.408915	5999.389716
2026-08-27 14:33:57.89	0.408915																						0					250.813477			-0.035214	0.408915	5999.380778
2026-08-27 14:33:57.90	0.408915																						0					251.240082			-0.069802	0.408915	5999.376689
