Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-09-03 15:29:46.08	0.322118	1.001757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0	0	30.200000	45.400000	0.000000	0.000000	249.085724	36.500000	36.090000	-0.000209	0.322118	5999.998389
2026-09-03 15:29:46.09	0.322118																						0					248.923721			-0.000209	0.322118	5999.995705
2026-09-03 15:29:46.10	0.322118																						0					248.543091			-0.000209	0.322118	5999.992484
2026-09-03 15:29:46.11	0.322118																						0					248.162445			-0.011680	0.322118	5999.989263
2026-09-03 15:29:46.12	5.874268																						0					248.271469			-0.011680	5.874268	5999.976788
2026-09-03 15:29:46.13	5.874268																						0					248.380478			-0.011680	5.874268	5999.927299
2026-09-03 15:29:46.14	5.874268																						0					248.750122			-0.011680	5.874268	5999.868556
2026-09-03 15:29:46.15	5.874268																						0					249.119766			0.002585	5.874268	5999.809814
2026-09-03 15:29:46.16	5.874268																						0					249.161728			0.002585	5.874268	5999.751071
2026-09-03 15:29:46.17	2.073654																						0					249.203705			0.002585	2.073654	5999.698663
2026-09-03 15:29:46.18	2.073654																						0					249.245682			0.002585	2.073654	5999.671592
2026-09-03 15:29:46.19	2.073654																						0					249.133911			0.014696	2.073654	5999.650855
2026-09-03 15:29:46.20	2.073654																						0					249.240784			0.014696	2.073654	5999.630119
2026-09-03 15:29:46.21	2.494535																						0					249.347656			0.014696	2.494535	5999.608681
2026-09-03 15:29:46.22	2.494535																						0					249.454529			0.014696	2.494535	5999.584437
2026-09-03 15:29:46.23	2.494535																						0					249.120956			-0.001570	2.494535	5999.559491
2026-09-03 15:29:46.24	2.494535																						0					248.526779			-0.001570	2.494535	5999.534546
2026-09-03 15:29:46.25	0.410880																						0					247.932587			-0.001570	0.410880	5999.513073
2026-09-03 15:29:46.26	0.410880																						0					247.338409			-0.001570	0.410880	5999.505492
2026-09-03 15:29:46.27	0.410880																						0					246.998032			-0.011649	0.410880	5999.501383
2026-09-03 15:29:46.28	0.410880																						0					246.657654			-0.011649	0.410880	5999.497274
2026-09-03 15:29:46.29	6.016756																						0					246.471024			-0.011649	6.016756	5999.483822
2026-09-03 15:29:46.30	6.016756																						0					246.284393			-0.011649	6.016756	5999.432998
2026-09-03 15:29:46.31	6.016756																						0					246.026718			0.019312	6.016756	5999.372830
2026-09-03 15:29:46.32	6.016756																						0					245.769058			0.019312	6.016756	5999.312663
2026-09-03 15:29:46.33	3.224715																						0					245.951828			0.019312	3.224715	5999.257149
2026-09-03 15:29:46.34	3.224715																						0					246.134598			0.019312	3.224715	5999.220248
2026-09-03 15:29:46.35	3.224715																						0					246.756210			0.000048	3.224715	5999.188001
2026-09-03 15:29:46.36	3.224715																						0					247.377823			0.000048	3.224715	5999.155754
2026-09-03 15:29:46.37	4.397787																						0					247.745621			0.000048	4.397787	5999.121551
2026-09-03 15:29:46.38	4.397787																						0					248.113419			0.000048	4.397787	5999.079529
2026-09-03 15:29:46.39	4.397787																						0					248.423798			0.007507	4.397787	5999.035551
2026-09-03 15:29:46.40	4.397787																						0					248.734177			0.007507	4.397787	5998.991573
2026-09-03 15:29:46.41	1.420088																						0					249.115585			0.007507	1.420088	5998.952558
2026-09-03 15:29:46.42	1.420088																						0					249.496994			0.007507	1.420088	5998.933394
2026-09-03 15:29:46.43	1.420088																						0					249.693787			0.006941	1.420088	5998.919193
2026-09-03 15:29:46.44	1.420088																						0					249.890579			0.006941	1.420088	5998.904992
2026-09-03 15:29:46.45	0.093017																						0					249.648544			0.006941	0.093017	5998.893003
2026-09-03 15:29:46.46	0.093017																						0					249.406494			0.006941	0.093017	5998.889861
2026-09-03 15:29:46.47	0.093017																						0					249.470016			0.004760	0.093017	5998.888931
2026-09-03 15:29:46.48	0.093017																						0					249.533539			0.004760	0.093017	5998.888001
2026-09-03 15:29:46.49	-0.643729																						0					249.654495			0.004760	-0.643729	5998.888299
2026-09-03 15:29:46.50	-0.643729																						0					249.775436			0.004760	-0.643729	5998.893508
2026-09-03 15:29:46.51	-0.643729																						0					250.071259			-0.015624	-0.643729	5998.899945
2026-09-03 15:29:46.52	-0.643729																						0					250.367096			-0.015624	-0.643729	5998.906383
2026-09-03 15:29:46.53	0.080153																						0					250.847534			-0.015624	0.080153	5998.911614
2026-09-03 15:29:46.54	0.080153																						0					251.327957			-0.015624	0.080153	5998.912019
2026-09-03 15:29:46.55	0.080153																						0					252.052872			0.014625	0.080153	5998.911217
2026-09-03 15:29:46.56	0.080153																						0					252.777771			0.014625	0.080153	5998.910415
2026-09-03 15:29:46.57	0.157727																						0					253.197113			0.014625	0.157727	5998.909485
2026-09-03 15:29:46.58	0.226516																						0					254.363434			0.019667	0.226516	5998.907922
2026-09-03 15:29:46.59	0.226516																						0					254.336639			0.019667	0.226516	5998.905772
