<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: participant test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
17.09.2026 10:58:04	15850,0	8300,0	4600,0	2250,0	950,0	400,0	350,0	500,0	200,0	300,0	400,0	250,0	100,0	100,0	0,0	30,0	150,0	40,0	300,0	100,0	50,0	40,0	30,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:10	14850,0	7200,0	3850,0	2750,0	1150,0	350,0	500,0	400,0	250,0	250,0	50,0	350,0	100,0	150,0	220,0	50,0	100,0	130,0	170,0	60,0	40,0	20,0	30,0	20,0	0,0	0,0	10,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:16	14850,0	7000,0	5000,0	1500,0	1200,0	500,0	750,0	550,0	150,0	200,0	200,0	150,0	0,0	100,0	0,0	0,0	20,0	110,0	160,0	120,0	40,0	20,0	20,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:22	13800,0	8350,0	4700,0	2450,0	700,0	550,0	900,0	450,0	200,0	300,0	100,0	150,0	100,0	200,0	50,0	160,0	140,0	120,0	110,0	130,0	30,0	10,0	10,0	30,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:28	14000,0	7950,0	5350,0	2150,0	1550,0	500,0	700,0	250,0	300,0	750,0	300,0	200,0	50,0	100,0	260,0	170,0	170,0	80,0	200,0	120,0	70,0	10,0	30,0	40,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:34	15400,0	7650,0	4450,0	2250,0	1150,0	800,0	300,0	650,0	300,0	350,0	100,0	200,0	150,0	50,0	140,0	20,0	150,0	40,0	150,0	100,0	30,0	20,0	40,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:40	15700,0	7600,0	4950,0	2750,0	1500,0	350,0	400,0	350,0	100,0	600,0	350,0	150,0	250,0	50,0	300,0	220,0	150,0	110,0	230,0	70,0	20,0	0,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:46	14300,0	6850,0	4500,0	2100,0	950,0	550,0	600,0	300,0	350,0	500,0	50,0	250,0	50,0	200,0	0,0	0,0	130,0	120,0	90,0	110,0	30,0	40,0	40,0	10,0	20,0	0,0	10,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:52	13600,0	8150,0	4700,0	2750,0	850,0	700,0	700,0	550,0	100,0	650,0	450,0	200,0	100,0	100,0	20,0	120,0	120,0	100,0	160,0	90,0	90,0	20,0	30,0	30,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0
17.09.2026 10:58:58	14350,0	8250,0	4750,0	2250,0	950,0	450,0	500,0	500,0	250,0	300,0	0,0	150,0	0,0	250,0	60,0	120,0	140,0	140,0	120,0	140,0	60,0	20,0	20,0	10,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0
