<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: log data
C-factor: 1,00
Comment: participant test
online data
K-line: 
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV	
17.09.2026 10:57:58	P	6	9	17	10	57	3	0	0	130	20	21	4	0	0	0	6	
17.09.2026 10:59:04	P	6	9	17	10	58	3	20	0	130	33	21	4	0	0	0	6	
17.09.2026 11:00:04	P	6	9	17	10	59	3	20	0	130	33	21	4	0	0	0	6	
17.09.2026 11:01:04	P	6	9	17	11	0	3	20	0	130	33	21	4	0	0	0	6	
17.09.2026 11:02:04	P	6	9	17	11	1	3	20	0	130	33	21	4	0	0	0	6	
17.09.2026 11:03:04	P	6	9	17	11	2	3	20	0	130	32	21	4	0	0	0	6	
17.09.2026 11:04:04	P	6	9	17	11	3	3	20	0	130	32	5	4	0	0	0	6	
17.09.2026 11:05:04	P	6	9	17	11	4	3	20	0	130	32	21	4	0	0	0	6	
17.09.2026 11:06:04	P	6	9	17	11	5	3	20	0	130	32	21	4	0	0	0	6	
17.09.2026 11:07:04	P	6	9	17	11	6	3	20	0	130	32	21	4	0	0	0	6	
17.09.2026 11:08:04	P	6	9	17	11	7	3	20	0	130	32	21	4	0	0	0	6	
17.09.2026 11:09:04	P	6	9	17	11	8	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:10:04	P	6	9	17	11	9	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:11:04	P	6	9	17	11	10	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:12:04	P	6	9	17	11	11	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:13:04	P	6	9	17	11	12	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:14:04	P	6	9	17	11	13	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:15:04	P	6	9	17	11	14	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:16:04	P	6	9	17	11	15	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:17:04	P	6	9	17	11	16	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:18:04	P	6	9	17	11	17	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:19:04	P	6	9	17	11	18	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:20:04	P	6	9	17	11	19	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:21:04	P	6	9	17	11	20	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:22:04	P	6	9	17	11	21	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:23:04	P	6	9	17	11	22	3	20	0	130	31	21	4	0	0	0	6	
17.09.2026 11:24:04	P	6	9	17	11	23	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:25:04	P	6	9	17	11	24	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:26:04	P	6	9	17	11	25	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:27:04	P	6	9	17	11	26	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:28:04	P	6	9	17	11	27	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:29:04	P	6	9	17	11	28	3	20	0	130	30	5	4	0	0	0	6	
17.09.2026 11:30:04	P	6	9	17	11	29	3	20	0	130	30	21	4	0	0	0	6	
17.09.2026 11:31:04	P	6	9	17	11	30	3	20	0	130	30	21	4	0	0	0	6	
