<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: ug/m3
C-factor: 1,00
Comment: participant test
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
17.09.2026 10:58:04	112,1	7,2	3,1	118,2	100,7	26,8
17.09.2026 10:58:10	95,8	10,0	2,8	164,8	92,7	23,8
17.09.2026 10:58:16	83,7	5,1	2,7	89,4	75,8	19,5
17.09.2026 10:58:22	91,6	10,4	2,7	128,7	91,4	24,2
17.09.2026 10:58:28	129,9	12,0	3,0	151,0	117,6	30,2
17.09.2026 10:58:34	92,5	8,0	2,9	98,9	81,8	21,3
17.09.2026 10:58:40	94,4	13,5	3,1	119,5	88,9	28,9
17.09.2026 10:58:46	102,4	7,6	2,8	210,3	110,3	20,8
17.09.2026 10:58:52	123,2	8,9	3,0	182,7	123,9	25,1
17.09.2026 10:58:58	100,6	10,2	2,6	149,8	105,2	26,2
17.09.2026 10:59:04	77,9	13,3	3,0	78,5	71,6	27,2
17.09.2026 10:59:10	92,6	9,7	3,1	94,0	81,9	24,2
17.09.2026 10:59:16	99,3	12,1	2,7	109,6	91,0	27,9
17.09.2026 10:59:22	118,6	5,5	2,5	232,0	131,6	18,2
17.09.2026 10:59:28	79,1	11,1	3,2	80,2	71,4	24,2
17.09.2026 10:59:34	114,8	12,8	3,2	162,2	112,0	28,4
17.09.2026 10:59:40	86,1	7,7	2,8	96,8	77,8	20,5
17.09.2026 10:59:46	52,9	13,9	3,0	74,6	58,2	26,8
17.09.2026 10:59:52	101,9	11,7	2,8	113,0	91,4	25,8
17.09.2026 10:59:58	65,5	9,9	2,9	66,2	59,9	21,6
17.09.2026 11:00:04	70,4	10,0	2,5	75,7	65,2	22,2
17.09.2026 11:00:10	79,9	16,0	3,2	90,2	74,5	28,4
17.09.2026 11:00:16	78,1	7,4	2,8	88,8	71,4	20,3
