<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: participant test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
17.09.2026 10:58:04	0,26	0,18	0,14	0,10	0,06	0,04	0,05	0,11	0,05	0,11	0,26	0,33	0,27	0,51	0,00	0,55	4,53	1,86	24,05	16,72	15,09	18,02	20,89	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:10	0,24	0,16	0,12	0,13	0,08	0,03	0,07	0,09	0,07	0,09	0,03	0,47	0,27	0,77	2,20	0,91	3,02	6,03	13,63	10,03	12,07	9,01	20,89	25,05	0,00	0,00	57,98	0,00	0,00	0,00	0,00
17.09.2026 10:58:16	0,24	0,15	0,15	0,07	0,08	0,05	0,11	0,12	0,04	0,07	0,13	0,20	0,00	0,51	0,00	0,00	0,60	5,10	12,83	20,07	12,07	9,01	13,92	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:22	0,23	0,18	0,14	0,11	0,05	0,05	0,13	0,10	0,05	0,11	0,06	0,20	0,27	1,03	0,50	2,93	4,23	5,57	8,82	21,74	9,05	4,50	6,96	37,57	22,87	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:28	0,23	0,18	0,16	0,10	0,10	0,05	0,10	0,05	0,08	0,28	0,19	0,27	0,13	0,51	2,61	3,11	5,13	3,71	16,03	20,07	21,12	4,50	20,89	50,10	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:34	0,25	0,17	0,13	0,10	0,08	0,08	0,04	0,14	0,08	0,13	0,06	0,27	0,40	0,26	1,40	0,37	4,53	1,86	12,02	16,72	9,05	9,01	27,85	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:40	0,26	0,17	0,15	0,13	0,10	0,03	0,06	0,08	0,03	0,22	0,22	0,20	0,67	0,26	3,01	4,02	4,53	5,10	18,44	11,71	6,03	0,00	0,00	62,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:46	0,23	0,15	0,14	0,10	0,06	0,05	0,09	0,06	0,09	0,19	0,03	0,33	0,13	1,03	0,00	0,00	3,93	5,57	7,21	18,40	9,05	18,02	27,85	12,52	45,73	0,00	57,98	0,00	0,00	0,00	0,00
17.09.2026 10:58:52	0,22	0,18	0,14	0,13	0,06	0,07	0,10	0,12	0,03	0,24	0,29	0,27	0,27	0,51	0,20	2,20	3,62	4,64	12,83	15,05	27,15	9,01	20,89	37,57	45,73	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:58:58	0,23	0,18	0,14	0,10	0,06	0,04	0,07	0,11	0,07	0,11	0,00	0,20	0,00	1,28	0,60	2,20	4,23	6,49	9,62	23,41	18,10	9,01	13,92	12,52	45,73	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:04	0,26	0,15	0,13	0,14	0,08	0,05	0,12	0,11	0,05	0,13	0,19	0,13	0,40	0,00	3,11	6,59	2,11	3,71	14,43	11,71	15,09	4,50	13,92	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:10	0,26	0,16	0,14	0,11	0,08	0,02	0,06	0,08	0,09	0,17	0,13	0,47	0,27	0,51	1,40	1,10	4,53	4,64	12,83	15,05	9,05	13,51	27,85	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:16	0,24	0,16	0,13	0,10	0,07	0,04	0,10	0,03	0,03	0,11	0,19	0,13	0,13	0,51	2,61	4,21	3,93	4,17	16,03	11,71	18,10	13,51	6,96	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:22	0,24	0,16	0,11	0,11	0,04	0,06	0,10	0,10	0,07	0,07	0,10	0,00	0,00	0,77	0,00	0,00	1,21	5,57	12,02	8,36	15,09	4,50	27,85	62,62	91,47	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:28	0,25	0,16	0,14	0,09	0,07	0,07	0,10	0,12	0,11	0,19	0,13	0,33	0,67	1,03	1,70	1,65	3,93	5,10	10,42	15,05	12,07	4,50	20,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:34	0,24	0,19	0,14	0,16	0,10	0,04	0,10	0,15	0,04	0,11	0,26	0,40	0,67	0,26	2,40	4,39	3,62	4,64	12,83	21,74	9,05	0,00	13,92	62,62	22,87	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:40	0,23	0,14	0,11	0,13	0,07	0,07	0,11	0,09	0,05	0,17	0,10	0,20	0,54	1,28	0,70	1,65	1,51	1,86	12,83	16,72	9,05	9,01	13,92	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:46	0,22	0,19	0,16	0,13	0,06	0,04	0,10	0,05	0,14	0,19	0,16	0,33	0,67	1,80	1,60	2,74	3,62	10,67	13,63	5,02	9,05	0,00	0,00	0,00	22,87	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:52	0,23	0,19	0,16	0,11	0,08	0,02	0,08	0,11	0,05	0,20	0,16	0,27	0,27	0,77	1,50	3,84	4,53	4,17	13,63	8,36	18,10	9,01	20,89	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:59:58	0,25	0,14	0,16	0,11	0,06	0,02	0,05	0,05	0,05	0,15	0,06	0,54	0,27	1,03	0,80	2,93	4,23	1,86	11,22	13,38	9,05	4,50	13,92	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 11:00:04	0,23	0,17	0,13	0,10	0,06	0,08	0,04	0,04	0,05	0,15	0,06	0,13	0,13	1,03	1,80	3,11	1,81	4,64	11,22	13,38	12,07	4,50	6,96	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 11:00:10	0,27	0,18	0,15	0,16	0,06	0,05	0,08	0,08	0,09	0,24	0,16	0,33	0,27	0,51	4,81	6,04	3,62	4,17	12,02	8,36	15,09	0,00	6,96	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 11:00:16	0,23	0,18	0,16	0,10	0,05	0,03	0,10	0,12	0,07	0,07	0,13	0,47	0,00	0,77	0,50	0,73	3,93	2,32	12,83	16,72	9,05	0,00	13,92	25,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 11:00:22	0,25	0,19	0,16	0,10	0,06	0,08	0,04	0,10	0,14	0,17	0,19	0,20	0,13	0,00	2,20	4,02	3,62	6,03	13,63	11,71	6,03	4,50	20,89	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
17.09.2026 11:00:28	0,22	0,16	0,13	0,14	0,05	0,04	0,12	0,08	0,07	0,07	0,16	0,13	0,54	0,26	0,40	0,00	3,32	2,78	20,84	16,72	9,05	4,50	20,89	12,52	0,00	0,00	0,00	0,00	0,00	0,00	0,00
