<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: log data
C-factor: 1,00
location factor: 1,00
Comment: participant test
online data
K-line: 

<Data>
[d&t31.12.2035 11:50:55]	P	Year	Mon	Day	Hr	Min	Sec	Loc	GF	Err	Qbatt	Im	Temp	rH	Velo	Pres	Dir	Rain	Iv	P_Weight	P_Vol[l]	rH_i	Temp_i	Latitude	Longitude	Height	Flow[%]	SFlow
17.09.2026 10:47:31	P	26	9	17	10	47	31	2	0	0	NA	15	NA	NA	NA	1014,1	NA	NA	6	1149,1	37099,9	56,3	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:47:38	P	26	9	17	10	47	38	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1149,4	37100,1	55,0	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:47:44	P	26	9	17	10	47	44	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1149,7	37100,2	53,5	24,7	NA	NA	NA	102,4A	NA
17.09.2026 10:47:50	P	26	9	17	10	47	50	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1150,1	37100,3	52,8	24,7	NA	NA	NA	102,4A	NA
17.09.2026 10:47:56	P	26	9	17	10	47	56	2	100	0	NA	32	NA	NA	NA	1013,7	NA	NA	6	1150,6	37100,4	52,4	24,7	NA	NA	NA	102,4A	NA
17.09.2026 10:48:02	P	26	9	17	10	48	2	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1150,8	37100,5	52,0	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:08	P	26	9	17	10	48	8	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1151,1	37100,7	51,8	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:14	P	26	9	17	10	48	14	2	100	0	NA	32	NA	NA	NA	1013,7	NA	NA	6	1151,4	37100,8	51,5	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:20	P	26	9	17	10	48	20	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1151,8	37100,9	51,3	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:26	P	26	9	17	10	48	26	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1152,1	37101,0	51,1	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:32	P	26	9	17	10	48	32	2	100	0	NA	33	NA	NA	NA	1014,0	NA	NA	6	1152,4	37101,1	51,0	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:38	P	26	9	17	10	48	38	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1152,6	37101,3	50,9	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:44	P	26	9	17	10	48	44	2	100	0	NA	33	NA	NA	NA	1013,7	NA	NA	6	1152,9	37101,4	50,7	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:50	P	26	9	17	10	48	50	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1153,1	37101,5	50,5	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:48:56	P	26	9	17	10	48	56	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1153,3	37101,6	50,5	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:49:02	P	26	9	17	10	49	2	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1153,6	37101,8	50,4	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:08	P	26	9	17	10	49	8	2	100	0	NA	33	NA	NA	NA	1013,7	NA	NA	6	1154,0	37101,9	50,3	24,8	NA	NA	NA	102,4A	NA
17.09.2026 10:49:14	P	26	9	17	10	49	14	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1154,3	37102,0	50,3	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:20	P	26	9	17	10	49	20	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1154,5	37102,1	50,2	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:26	P	26	9	17	10	49	26	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1154,8	37102,2	50,1	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:32	P	26	9	17	10	49	32	2	100	0	NA	32	NA	NA	NA	1014,1	NA	NA	6	1155,0	37102,4	49,9	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:38	P	26	9	17	10	49	38	2	100	0	NA	33	NA	NA	NA	1013,7	NA	NA	6	1155,2	37102,5	50,0	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:44	P	26	9	17	10	49	44	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1155,5	37102,6	49,7	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:50	P	26	9	17	10	49	50	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1155,7	37102,7	49,7	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:49:56	P	26	9	17	10	49	56	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1156,0	37102,8	49,8	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:02	P	26	9	17	10	50	2	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1156,2	37103,0	49,7	24,9	NA	NA	NA	102,4A	NA
17.09.2026 10:50:08	P	26	9	17	10	50	8	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1156,4	37103,1	49,6	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:14	P	26	9	17	10	50	14	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1156,7	37103,2	49,6	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:20	P	26	9	17	10	50	20	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1156,9	37103,3	49,4	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:26	P	26	9	17	10	50	26	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1157,2	37103,4	49,4	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:32	P	26	9	17	10	50	32	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1157,4	37103,6	49,4	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:38	P	26	9	17	10	50	38	2	100	0	NA	33	NA	NA	NA	1013,7	NA	NA	6	1157,6	37103,7	49,3	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:44	P	26	9	17	10	50	44	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1158,0	37103,8	49,2	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:50	P	26	9	17	10	50	50	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1158,2	37103,9	49,2	25,0	NA	NA	NA	102,4A	NA
17.09.2026 10:50:56	P	26	9	17	10	50	56	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1158,5	37104,1	49,2	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:02	P	26	9	17	10	51	2	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1158,8	37104,2	49,2	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:08	P	26	9	17	10	51	8	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1159,0	37104,3	49,1	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:14	P	26	9	17	10	51	14	2	100	0	NA	33	NA	NA	NA	1013,7	NA	NA	6	1159,2	37104,4	49,0	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:20	P	26	9	17	10	51	20	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1159,4	37104,5	49,0	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:26	P	26	9	17	10	51	26	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1159,6	37104,7	48,9	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:32	P	26	9	17	10	51	32	2	100	0	NA	33	NA	NA	NA	1014,2	NA	NA	6	1159,8	37104,8	48,9	25,1	NA	NA	NA	102,4A	NA
17.09.2026 10:51:38	P	26	9	17	10	51	38	2	100	0	NA	33	NA	NA	NA	1014,1	NA	NA	6	1160,0	37104,9	48,8	25,1	NA	NA	NA	102,4A	NA
