<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: participant test
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
17.09.2026 10:47:38	3071,2	906,3	364,9	95,7	6,2	810,6	2127,1	1224,7	327,2	1072,2	72,2	4,9
17.09.2026 10:47:44	2598,1	922,9	341,6	79,0	6,6	843,8	2007,5	1293,4	323,7	1130,6	60,0	5,2
17.09.2026 10:47:50	3205,6	1027,1	369,4	82,3	5,1	944,8	2298,3	1384,8	346,0	1260,3	62,3	4,0
17.09.2026 10:47:56	3653,1	1061,8	402,2	101,4	5,7	960,4	2550,7	1462,2	362,2	1275,6	76,5	4,5
17.09.2026 10:48:02	2304,2	914,8	345,6	76,9	6,1	837,9	1773,9	1181,6	323,5	1110,0	58,3	4,8
17.09.2026 10:48:08	2436,3	961,0	339,7	79,4	5,3	881,6	1932,2	1298,8	310,9	1175,1	60,0	4,2
17.09.2026 10:48:14	2515,9	1028,0	362,3	81,6	5,5	946,4	1984,0	1345,4	337,7	1264,8	61,7	4,4
17.09.2026 10:48:20	3016,9	950,1	339,2	77,2	6,2	872,9	2011,3	1251,2	319,6	1169,6	58,6	4,9
17.09.2026 10:48:26	2600,1	972,3	335,4	82,4	5,7	889,9	1991,7	1297,1	313,7	1208,7	62,4	4,5
17.09.2026 10:48:32	2603,5	652,3	257,0	72,5	5,8	579,7	1738,2	939,4	231,0	781,8	54,7	4,5
17.09.2026 10:48:38	1899,8	745,2	229,6	45,3	4,7	700,0	1533,5	1028,2	227,0	954,9	34,5	3,7
17.09.2026 10:48:44	1834,3	813,4	303,9	70,5	5,2	742,8	1522,1	1076,1	279,9	985,9	53,4	4,1
17.09.2026 10:48:50	1570,5	858,7	310,7	69,2	5,9	789,5	1390,9	1065,5	289,4	1047,7	52,4	4,6
17.09.2026 10:48:56	2250,7	832,4	312,8	76,6	5,5	755,8	1724,0	1116,6	290,5	1011,6	58,0	4,4
17.09.2026 10:49:02	2712,3	860,2	317,9	72,8	5,6	787,4	1957,4	1170,7	296,4	1047,0	55,1	4,4
17.09.2026 10:49:08	2956,7	936,7	355,3	91,5	5,8	845,2	2107,0	1256,7	322,6	1131,1	69,1	4,5
17.09.2026 10:49:14	2362,6	716,3	257,6	60,0	5,3	656,3	1711,0	1006,5	242,8	880,3	45,5	4,2
17.09.2026 10:49:20	1989,7	735,9	280,4	73,2	5,6	662,7	1557,0	1019,4	255,9	887,3	55,3	4,4
17.09.2026 10:49:26	2611,0	758,6	278,4	72,3	5,3	686,3	1807,2	1041,9	256,6	927,7	54,7	4,2
17.09.2026 10:49:32	1473,7	697,3	259,4	62,3	5,5	635,0	1229,5	889,0	240,9	847,9	47,2	4,4
17.09.2026 10:49:38	1876,9	707,9	227,2	46,9	5,7	660,9	1467,1	973,1	217,1	888,9	35,8	4,5
17.09.2026 10:49:44	1826,9	752,7	270,0	63,8	5,7	688,8	1481,7	1013,6	251,1	921,4	48,4	4,5
17.09.2026 10:49:50	1861,3	711,3	244,1	50,3	5,7	661,0	1472,6	975,8	238,8	890,9	38,4	4,5
17.09.2026 10:49:56	2441,8	731,6	276,3	68,8	5,3	662,8	1672,6	961,1	254,5	886,8	52,0	4,2
17.09.2026 10:50:02	1951,3	707,9	258,6	60,1	5,2	647,8	1498,0	977,1	238,2	862,7	45,6	4,1
17.09.2026 10:50:08	1918,0	721,2	246,2	53,6	5,4	667,6	1489,5	972,0	232,7	894,3	40,7	4,3
17.09.2026 10:50:14	2385,8	751,4	287,6	76,6	5,5	674,9	1700,3	1017,8	265,0	912,9	57,9	4,3
17.09.2026 10:50:20	1844,6	634,7	223,2	51,8	4,8	582,9	1428,1	912,5	211,3	786,6	39,3	3,8
17.09.2026 10:50:26	1750,2	733,7	239,8	45,9	5,1	687,8	1444,0	996,6	234,2	924,9	35,0	4,0
17.09.2026 10:50:32	2244,8	768,7	249,2	55,4	5,4	713,4	1739,8	1106,9	241,0	973,8	42,1	4,3
17.09.2026 10:50:38	1591,0	690,2	228,5	54,8	5,3	635,4	1312,0	913,4	221,0	873,4	41,6	4,2
17.09.2026 10:50:44	3516,2	747,6	242,9	53,4	5,1	694,2	2093,0	1047,9	233,1	942,8	40,6	4,0
17.09.2026 10:50:50	1733,8	741,7	246,7	57,1	5,1	684,6	1428,5	995,7	234,3	930,9	43,3	4,0
17.09.2026 10:50:56	1776,8	597,2	221,7	53,2	4,8	544,0	1352,0	850,5	205,1	727,1	40,2	3,8
17.09.2026 10:51:02	2442,9	741,0	237,9	51,8	5,3	689,3	1748,3	1038,4	227,4	935,1	39,4	4,2
17.09.2026 10:51:08	1907,5	676,6	235,4	54,2	5,1	622,3	1452,6	922,3	220,9	836,1	41,1	4,0
17.09.2026 10:51:14	2116,9	647,2	223,3	48,8	4,5	598,4	1553,0	929,4	212,3	804,9	37,1	3,6
17.09.2026 10:51:20	1301,6	512,5	192,6	44,7	5,3	467,8	1029,6	688,9	183,1	627,5	34,1	4,2
17.09.2026 10:51:26	1597,0	535,3	215,9	54,4	4,6	480,9	1154,5	701,5	196,1	634,0	41,2	3,6
17.09.2026 10:51:32	1900,2	599,0	229,2	52,2	5,1	546,8	1288,7	762,3	217,5	729,2	39,6	4,1
17.09.2026 10:51:38	1539,1	654,0	244,9	64,6	5,5	589,4	1240,2	852,1	224,2	794,4	48,9	4,3
17.09.2026 10:51:44	1562,7	561,6	174,2	33,6	4,9	528,1	1153,3	726,9	168,6	709,0	25,6	3,9
17.09.2026 10:51:50	1836,4	500,0	207,5	55,1	5,1	444,9	1188,4	645,3	188,7	590,4	41,6	4,0
17.09.2026 10:51:56	844,6	457,0	175,4	42,3	4,7	414,7	739,6	564,3	161,2	549,2	32,1	3,7
17.09.2026 10:52:02	1125,3	475,1	174,1	42,4	4,7	432,7	890,7	605,0	161,3	579,6	32,1	3,8
17.09.2026 10:52:08	2196,3	540,5	210,2	55,6	5,1	484,9	1386,9	715,7	192,1	650,4	42,0	4,0
17.09.2026 10:52:14	1184,2	504,2	172,1	39,2	5,2	465,0	945,6	656,4	168,0	633,9	29,9	4,1
17.09.2026 10:52:20	1574,2	537,3	186,0	43,3	4,5	494,0	1207,3	764,6	177,6	670,2	33,0	3,6
17.09.2026 10:52:26	1516,5	517,3	198,1	49,2	4,6	468,1	1103,8	681,8	181,9	621,9	37,3	3,6
