<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass, dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: participant test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
17.09.2026 10:47:38	0,44	0,23	0,15	0,14	0,12	0,16	0,25	0,26	0,43	1,09	1,43	3,15	7,21	16,30	37,56	51,26	68,67	87,38	98,04	143,24	145,76	133,92	229,02	296,82	230,29	209,67	137,29	224,84	0,00	0,00	0,00
17.09.2026 10:47:44	0,46	0,24	0,15	0,12	0,07	0,30	0,32	0,26	0,48	1,03	1,92	2,52	7,89	10,68	30,20	31,36	57,80	96,28	140,43	173,63	159,98	145,56	209,93	312,44	358,23	125,80	137,29	0,00	0,00	0,00	0,00
17.09.2026 10:47:50	0,39	0,24	0,17	0,10	0,09	0,15	0,23	0,17	0,33	0,72	1,79	2,31	5,15	15,18	27,62	41,61	70,64	101,14	131,16	171,46	213,31	139,74	314,90	296,82	204,70	125,80	205,93	224,84	0,00	0,00	0,00
17.09.2026 10:47:56	0,43	0,25	0,17	0,12	0,15	0,11	0,23	0,29	0,19	0,78	1,92	3,35	7,96	15,74	38,49	58,80	77,56	97,90	111,29	119,37	234,64	163,03	305,35	328,06	332,64	125,80	411,87	112,42	0,00	0,00	0,00
17.09.2026 10:48:02	0,45	0,22	0,15	0,11	0,10	0,17	0,18	0,29	0,49	0,70	1,66	3,15	5,83	9,56	24,67	42,22	66,20	94,66	133,81	145,41	199,09	139,74	229,02	203,09	179,12	41,93	137,29	112,42	0,00	0,00	0,00
17.09.2026 10:48:08	0,41	0,22	0,14	0,14	0,09	0,16	0,11	0,12	0,62	0,62	1,02	2,52	4,81	12,93	31,49	37,69	67,68	93,85	95,39	128,05	195,53	174,68	305,35	281,20	358,23	0,00	137,29	0,00	0,00	0,00	0,00
17.09.2026 10:48:14	0,42	0,28	0,17	0,12	0,16	0,10	0,32	0,12	0,52	0,56	1,54	3,98	6,86	11,24	27,62	36,79	78,55	95,47	116,59	160,60	231,08	163,03	305,35	296,82	179,12	83,87	68,64	112,42	0,00	0,00	0,00
17.09.2026 10:48:20	0,45	0,22	0,17	0,09	0,13	0,13	0,27	0,29	0,49	0,86	1,28	3,15	6,18	14,05	24,31	32,27	63,73	95,47	135,13	151,92	177,76	122,27	295,81	343,69	153,53	83,87	0,00	0,00	0,00	301,55	0,00
17.09.2026 10:48:26	0,42	0,24	0,17	0,14	0,10	0,14	0,21	0,23	0,38	0,64	2,05	3,35	5,15	14,05	31,49	44,03	57,30	77,67	116,59	128,05	223,97	163,03	305,35	328,06	153,53	83,87	137,29	112,42	0,00	0,00	0,00
17.09.2026 10:48:32	0,45	0,25	0,15	0,10	0,05	0,18	0,23	0,26	0,33	1,09	1,28	2,94	4,46	7,42	31,86	57,90	25,19	54,21	68,89	93,32	117,32	98,98	181,30	218,71	307,06	209,67	68,64	0,00	184,14	0,00	0,00
17.09.2026 10:48:38	0,42	0,21	0,14	0,09	0,08	0,07	0,14	0,12	0,38	0,39	0,79	0,84	4,46	8,99	10,86	14,17	46,93	63,92	96,71	134,56	177,76	168,85	229,02	156,22	179,12	167,73	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:48:44	0,43	0,24	0,14	0,13	0,07	0,16	0,16	0,09	0,33	0,55	1,28	3,15	3,78	8,99	25,78	41,31	62,25	75,24	99,36	106,35	199,09	145,56	171,76	234,33	255,88	83,87	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:48:50	0,45	0,20	0,13	0,13	0,09	0,12	0,38	0,26	0,57	0,47	1,02	1,68	6,52	13,04	19,89	27,44	63,23	93,85	103,34	121,54	213,31	180,50	219,47	109,35	127,94	83,87	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:48:56	0,40	0,22	0,18	0,12	0,09	0,20	0,20	0,36	0,24	0,86	0,90	4,40	5,15	15,74	25,41	31,36	63,23	77,67	112,61	132,39	156,43	139,74	209,93	249,95	204,70	83,87	205,93	0,00	0,00	0,00	0,00
17.09.2026 10:49:02	0,44	0,25	0,16	0,10	0,07	0,08	0,23	0,26	0,43	1,02	1,02	3,15	5,49	10,68	25,41	36,19	53,85	93,85	107,31	147,58	181,31	151,39	209,93	203,09	179,12	293,53	137,29	112,42	0,00	0,00	0,00
17.09.2026 10:49:08	0,42	0,23	0,17	0,10	0,08	0,17	0,30	0,26	0,38	0,62	1,94	2,52	7,21	12,37	37,01	60,31	56,81	81,72	99,36	121,54	223,97	157,21	219,47	296,82	179,12	251,60	68,64	224,84	0,00	0,00	0,00
17.09.2026 10:49:14	0,38	0,19	0,14	0,13	0,14	0,15	0,25	0,29	0,29	0,39	1,41	2,73	6,59	14,61	11,05	18,70	58,79	68,77	99,36	104,18	170,65	122,27	171,76	203,09	153,53	293,53	205,93	0,00	0,00	0,00	0,00
17.09.2026 10:49:20	0,40	0,24	0,19	0,07	0,13	0,22	0,21	0,20	0,43	0,70	1,92	3,56	5,15	15,29	22,46	37,39	46,93	72,01	87,44	104,18	142,21	110,63	209,93	218,71	307,06	167,73	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:49:26	0,42	0,22	0,15	0,08	0,09	0,10	0,20	0,29	0,43	0,23	1,28	2,73	6,86	10,79	28,91	37,69	46,93	63,11	87,44	123,71	124,43	139,74	200,39	296,82	127,94	251,60	68,64	0,00	184,14	0,00	0,00
17.09.2026 10:49:32	0,44	0,21	0,15	0,12	0,07	0,13	0,30	0,29	0,19	0,62	0,64	2,94	3,43	13,04	20,07	28,35	45,94	72,01	91,41	115,03	120,88	116,45	209,93	171,84	102,35	41,93	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:49:38	0,42	0,19	0,14	0,12	0,07	0,17	0,25	0,23	0,52	0,47	1,69	3,15	2,75	10,12	5,34	15,98	45,94	76,05	95,39	97,66	110,21	151,39	238,56	265,58	230,29	0,00	0,00	112,42	0,00	0,00	0,00
17.09.2026 10:49:44	0,43	0,19	0,15	0,13	0,09	0,10	0,18	0,26	0,29	0,94	1,54	2,73	3,43	11,35	22,10	30,15	40,51	83,34	94,06	102,01	167,09	151,39	133,59	312,44	153,53	167,73	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:49:50	0,43	0,21	0,12	0,13	0,08	0,16	0,21	0,44	0,29	0,47	1,54	1,68	6,93	8,99	7,73	16,89	45,94	74,44	107,31	143,24	181,31	104,81	190,85	124,98	230,29	83,87	137,29	0,00	0,00	0,00	0,00
17.09.2026 10:49:56	0,41	0,21	0,18	0,10	0,07	0,15	0,20	0,26	0,24	0,94	0,90	1,68	5,49	10,79	27,25	36,79	46,93	68,77	91,41	119,37	120,88	116,45	248,10	156,22	102,35	83,87	205,93	224,84	0,00	0,00	0,00
17.09.2026 10:50:02	0,41	0,20	0,14	0,09	0,16	0,20	0,11	0,29	0,29	0,78	0,90	1,68	3,09	7,98	20,26	40,41	48,41	64,73	87,44	102,01	131,54	98,98	152,68	390,55	230,29	0,00	0,00	112,42	0,00	0,00	0,00
17.09.2026 10:50:08	0,44	0,19	0,12	0,11	0,11	0,20	0,25	0,06	0,33	0,55	1,02	2,94	5,22	8,99	8,47	29,85	41,50	77,67	94,06	102,01	142,21	157,21	209,93	187,47	153,53	125,80	137,29	0,00	0,00	0,00	0,00
17.09.2026 10:50:14	0,42	0,19	0,17	0,10	0,08	0,12	0,09	0,35	0,29	0,86	1,15	2,94	4,12	12,37	33,70	46,14	42,48	59,06	104,66	106,35	117,32	145,56	219,47	203,09	204,70	167,73	0,00	224,84	0,00	0,00	0,00
17.09.2026 10:50:20	0,40	0,19	0,17	0,10	0,06	0,12	0,07	0,29	0,24	0,39	1,02	2,14	2,75	8,43	19,52	24,73	36,56	59,87	80,82	115,03	127,99	104,81	162,22	218,71	307,06	83,87	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:50:26	0,39	0,21	0,12	0,13	0,10	0,13	0,23	0,26	0,19	0,47	1,15	3,61	5,15	6,75	4,60	12,67	61,26	68,77	103,34	132,39	170,65	145,56	162,22	249,95	102,35	209,67	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:50:32	0,43	0,21	0,14	0,10	0,12	0,12	0,21	0,38	0,14	0,55	1,15	2,52	4,53	6,75	17,86	30,46	39,52	63,92	107,31	119,37	167,09	98,98	286,27	281,20	230,29	209,67	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:50:38	0,41	0,22	0,15	0,11	0,14	0,17	0,21	0,15	0,52	0,55	1,15	2,10	4,53	11,24	17,86	22,62	36,56	54,21	88,76	123,71	145,76	180,50	181,30	140,60	102,35	125,80	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:50:44	0,43	0,20	0,16	0,10	0,07	0,16	0,09	0,20	0,43	0,47	0,90	0,84	5,90	10,12	13,26	25,03	43,97	66,34	92,74	121,54	142,21	180,50	219,47	218,71	102,35	293,53	137,29	112,42	0,00	301,55	0,00
17.09.2026 10:50:50	0,41	0,18	0,17	0,09	0,10	0,17	0,11	0,23	0,33	0,47	1,54	1,05	5,56	7,87	18,60	33,47	38,53	63,11	84,79	121,54	156,43	139,74	286,27	124,98	230,29	41,93	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:50:56	0,40	0,22	0,11	0,11	0,11	0,16	0,20	0,38	0,14	0,23	0,77	2,35	2,40	7,31	19,33	35,58	34,58	56,64	70,22	102,01	131,54	58,23	152,68	249,95	230,29	125,80	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:51:02	0,44	0,22	0,13	0,08	0,12	0,17	0,23	0,32	0,14	0,31	1,15	1,30	3,43	7,87	16,76	27,44	38,53	67,96	95,39	99,84	156,43	133,92	219,47	343,69	153,53	83,87	68,64	224,84	0,00	0,00	0,00
17.09.2026 10:51:08	0,41	0,22	0,13	0,10	0,06	0,12	0,18	0,35	0,29	0,55	1,28	1,26	5,22	8,99	16,02	26,54	39,52	68,77	80,82	106,35	138,65	128,10	190,85	203,09	127,94	167,73	137,29	0,00	0,00	0,00	0,00
17.09.2026 10:51:14	0,43	0,25	0,14	0,11	0,11	0,09	0,11	0,15	0,14	0,62	0,79	1,05	1,37	12,93	12,52	21,71	47,42	57,44	86,11	112,86	120,88	98,98	209,93	203,09	230,29	125,80	205,93	0,00	0,00	0,00	0,00
17.09.2026 10:51:20	0,45	0,20	0,12	0,12	0,08	0,14	0,18	0,24	0,33	0,23	1,02	2,10	3,43	10,68	5,52	21,71	42,98	44,50	91,41	73,79	99,54	93,16	114,51	140,60	127,94	83,87	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:51:26	0,39	0,22	0,15	0,11	0,11	0,12	0,16	0,20	0,33	0,55	0,54	1,26	5,15	6,75	23,75	26,84	34,09	61,49	66,24	86,81	103,10	64,05	152,68	109,35	76,76	125,80	205,93	0,00	0,00	0,00	0,00
17.09.2026 10:51:32	0,43	0,20	0,13	0,09	0,08	0,20	0,16	0,20	0,33	0,62	0,38	1,72	6,18	9,56	11,97	23,82	45,45	59,87	79,49	151,92	110,21	104,81	133,59	62,49	102,35	83,87	0,00	112,42	184,14	0,00	0,00
17.09.2026 10:51:38	0,42	0,20	0,18	0,12	0,07	0,20	0,14	0,12	0,29	1,25	1,15	2,10	3,50	13,49	21,54	38,60	36,56	58,25	79,49	91,15	106,65	128,10	190,85	203,09	51,18	209,67	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:51:44	0,40	0,18	0,11	0,08	0,07	0,16	0,09	0,29	0,33	0,55	0,90	1,89	5,83	6,75	0,00	0,00	41,00	67,15	71,54	78,13	117,32	133,92	219,47	62,49	51,18	41,93	137,29	112,42	0,00	0,00	0,00
17.09.2026 10:51:50	0,43	0,21	0,15	0,10	0,10	0,04	0,14	0,23	0,33	0,47	0,92	1,68	6,52	8,99	18,41	24,43	41,99	47,74	59,62	97,66	99,54	64,05	104,97	109,35	51,18	125,80	137,29	0,00	184,14	0,00	0,00
17.09.2026 10:51:56	0,41	0,19	0,12	0,11	0,07	0,13	0,07	0,03	0,19	0,70	1,15	2,10	2,75	5,62	12,89	22,62	29,15	51,78	55,64	69,45	99,54	87,34	114,51	62,49	76,76	41,93	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:52:02	0,42	0,20	0,16	0,13	0,07	0,13	0,09	0,00	0,29	0,55	0,51	1,89	3,78	6,18	12,34	22,01	31,62	46,12	51,67	91,15	67,55	110,63	143,13	78,11	25,59	125,80	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:52:08	0,40	0,23	0,13	0,12	0,07	0,13	0,23	0,20	0,19	1,09	1,30	2,10	3,78	10,12	18,23	31,06	35,57	48,54	62,27	93,32	103,10	69,87	162,22	140,60	25,59	209,67	68,64	112,42	184,14	0,00	0,00
17.09.2026 10:52:14	0,41	0,20	0,14	0,06	0,09	0,13	0,25	0,20	0,19	0,47	0,77	3,98	3,43	7,31	6,63	12,06	32,11	46,93	80,82	91,15	113,76	75,69	152,68	124,98	76,76	0,00	0,00	112,42	0,00	0,00	0,00
17.09.2026 10:52:20	0,39	0,22	0,13	0,14	0,09	0,07	0,18	0,21	0,14	0,55	1,02	1,05	4,12	7,87	11,97	19,60	35,57	45,31	80,82	84,64	95,99	69,87	200,39	171,84	179,12	125,80	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:52:26	0,37	0,19	0,13	0,11	0,08	0,13	0,27	0,00	0,38	0,72	0,38	2,10	4,46	9,56	14,55	22,01	33,59	58,25	68,89	73,79	92,43	75,69	162,22	124,98	76,76	167,73	0,00	112,42	0,00	0,00	0,00
17.09.2026 10:52:32	0,40	0,24	0,14	0,13	0,07	0,21	0,16	0,32	0,10	0,47	1,66	1,89	2,75	5,62	18,05	19,90	41,00	57,44	54,32	82,47	85,32	75,69	181,30	140,60	281,47	83,87	0,00	0,00	0,00	0,00	0,00
17.09.2026 10:52:38	0,37	0,22	0,14	0,12	0,09	0,11	0,20	0,32	0,38	0,39	0,51	1,47	4,12	5,06	9,21	17,79	37,54	49,35	66,24	91,15	92,43	145,56	124,05	140,60	127,94	125,80	68,64	0,00	0,00	0,00	0,00
17.09.2026 10:52:44	0,39	0,21	0,14	0,10	0,13	0,04	0,21	0,17	0,24	0,47	0,90	2,31	1,37	6,75	9,21	17,19	34,58	44,50	54,32	69,45	71,10	46,58	114,51	140,60	76,76	41,93	68,64	112,42	0,00	0,00	0,00
17.09.2026 10:52:50	0,41	0,20	0,14	0,13	0,07	0,14	0,21	0,20	0,30	0,94	1,02	3,15	1,72	7,31	10,31	14,47	34,09	57,44	59,62	82,47	117,32	81,52	171,76	171,84	179,12	41,93	137,29	112,42	184,14	0,00	0,00
17.09.2026 10:52:56	0,40	0,18	0,13	0,07	0,09	0,20	0,32	0,15	0,10	0,47	0,38	2,52	3,78	3,93	3,87	17,79	31,12	48,54	87,44	75,96	106,65	110,63	124,05	78,11	102,35	125,80	0,00	112,42	184,14	0,00	0,00
17.09.2026 10:53:02	0,37	0,20	0,13	0,12	0,10	0,04	0,07	0,20	0,38	0,25	0,77	2,73	4,81	8,99	11,97	23,22	39,52	49,35	68,89	86,81	113,76	87,34	124,05	218,71	153,53	41,93	205,93	0,00	184,14	0,00	0,00
17.09.2026 10:53:08	0,38	0,22	0,10	0,10	0,07	0,18	0,16	0,17	0,19	0,95	0,38	2,52	2,75	8,99	16,20	26,54	36,06	49,35	68,89	78,13	117,32	93,16	133,59	187,47	127,94	167,73	205,93	0,00	0,00	0,00	0,00
