<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
17.09.2026 10:49:10	13400,0	9300,0	3950,0	2150,0	750,0	350,0	450,0	300,0	250,0	250,0	100,0	50,0	50,0	130,0	120,0
17.09.2026 10:49:16	11450,0	8950,0	4200,0	2000,0	600,0	500,0	650,0	100,0	200,0	50,0	50,0	0,0	100,0	0,0	100,0
17.09.2026 10:49:22	13750,0	8950,0	4550,0	2500,0	450,0	300,0	200,0	200,0	150,0	100,0	100,0	0,0	150,0	10,0	40,0
17.09.2026 10:49:28	11500,0	8950,0	3700,0	2600,0	500,0	300,0	550,0	100,0	200,0	50,0	100,0	50,0	50,0	0,0	50,0
17.09.2026 10:49:34	11700,0	8600,0	4900,0	2650,0	700,0	350,0	150,0	200,0	250,0	100,0	150,0	100,0	200,0	20,0	80,0
17.09.2026 10:49:40	10650,0	7650,0	3650,0	2150,0	750,0	300,0	400,0	350,0	200,0	100,0	150,0	100,0	150,0	0,0	100,0
17.09.2026 10:49:46	12050,0	8050,0	4250,0	1600,0	600,0	450,0	50,0	450,0	100,0	50,0	150,0	0,0	50,0	30,0	120,0
17.09.2026 10:49:52	12200,0	9500,0	4650,0	1900,0	800,0	400,0	700,0	450,0	250,0	150,0	100,0	0,0	200,0	0,0	50,0
17.09.2026 10:49:58	12700,0	8700,0	4050,0	2000,0	600,0	350,0	500,0	250,0	300,0	200,0	100,0	50,0	0,0	10,0	40,0
17.09.2026 10:50:04	12950,0	9850,0	4300,0	2250,0	900,0	200,0	300,0	300,0	50,0	200,0	200,0	50,0	200,0	170,0	230,0
17.09.2026 10:50:10	13500,0	8650,0	4250,0	2500,0	700,0	350,0	400,0	300,0	0,0	50,0	100,0	0,0	150,0	40,0	110,0
17.09.2026 10:50:16	12050,0	7950,0	3800,0	2000,0	800,0	100,0	350,0	400,0	100,0	50,0	100,0	100,0	100,0	0,0	0,0
17.09.2026 10:50:22	13050,0	9250,0	4850,0	2350,0	750,0	550,0	100,0	350,0	300,0	200,0	150,0	100,0	150,0	160,0	90,0
17.09.2026 10:50:28	14000,0	9300,0	4350,0	2000,0	650,0	250,0	450,0	150,0	150,0	100,0	150,0	100,0	150,0	60,0	140,0
17.09.2026 10:50:34	12900,0	9650,0	4500,0	2200,0	450,0	200,0	800,0	300,0	200,0	200,0	150,0	0,0	150,0	50,0	100,0
17.09.2026 10:50:40	12250,0	8900,0	4350,0	2100,0	650,0	450,0	500,0	300,0	200,0	200,0	0,0	50,0	50,0	40,0	60,0
17.09.2026 10:50:46	14000,0	10850,0	4300,0	2300,0	700,0	100,0	400,0	300,0	200,0	100,0	50,0	100,0	100,0	100,0	150,0
