<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: participat test
online data
K-line: K	615	805	1652	0	0	31	80	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
17.09.2026 10:49:03	P	6	9	17	10	49	1	0	0	130	21	1	5	0	0	0	6	
17.09.2026 10:50:10	P	6	9	17	10	50	1	20	0	130	51	1	5	0	0	0	6	
17.09.2026 10:51:10	P	6	9	17	10	51	1	20	0	130	53	1	5	0	0	0	6	
17.09.2026 10:52:10	P	6	9	17	10	52	1	20	0	130	52	1	5	0	0	0	6	
17.09.2026 10:53:10	P	6	9	17	10	53	1	20	0	130	50	1	5	0	0	0	6	
17.09.2026 10:54:10	P	6	9	17	10	54	1	20	0	130	50	1	5	0	0	0	6	
17.09.2026 10:55:10	P	6	9	17	10	55	1	20	0	130	49	1	5	0	0	0	6	
17.09.2026 10:56:10	P	6	9	17	10	56	1	20	0	130	50	1	5	0	0	0	6	
17.09.2026 10:57:10	P	6	9	17	10	57	1	20	0	130	49	1	5	0	0	0	6	
17.09.2026 10:58:10	P	6	9	17	10	58	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 10:59:10	P	6	9	17	10	59	1	20	0	130	48	1	5	0	0	0	6	
17.09.2026 11:00:10	P	6	9	17	11	0	1	20	0	130	49	1	5	0	0	0	6	
17.09.2026 11:01:10	P	6	9	17	11	1	1	20	0	130	48	1	5	0	0	0	6	
17.09.2026 11:02:10	P	6	9	17	11	2	1	20	0	130	48	1	5	0	0	0	6	
17.09.2026 11:03:10	P	6	9	17	11	3	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:04:10	P	6	9	17	11	4	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:05:10	P	6	9	17	11	5	1	20	0	130	49	1	5	0	0	0	6	
17.09.2026 11:06:10	P	6	9	17	11	6	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:07:10	P	6	9	17	11	7	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:08:10	P	6	9	17	11	8	1	20	0	130	48	1	5	0	0	0	6	
17.09.2026 11:09:10	P	6	9	17	11	9	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:10:10	P	6	9	17	11	10	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:11:10	P	6	9	17	11	11	1	20	0	130	46	1	5	0	0	0	6	
17.09.2026 11:12:10	P	6	9	17	11	12	1	20	0	130	46	1	5	0	0	0	6	
17.09.2026 11:13:10	P	6	9	17	11	13	1	20	0	130	45	1	5	0	0	0	6	
17.09.2026 11:14:10	P	6	9	17	11	14	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:15:10	P	6	9	17	11	15	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:16:10	P	6	9	17	11	16	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:17:10	P	6	9	17	11	17	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:18:10	P	6	9	17	11	18	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:19:10	P	6	9	17	11	19	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:20:10	P	6	9	17	11	20	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:21:10	P	6	9	17	11	21	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:22:10	P	6	9	17	11	22	1	20	0	130	49	1	5	0	0	0	6	
17.09.2026 11:23:10	P	6	9	17	11	23	1	20	0	130	47	1	5	0	0	0	6	
17.09.2026 11:24:10	P	6	9	17	11	24	1	20	0	130	46	1	5	0	0	0	6	
17.09.2026 11:25:10	P	6	9	17	11	25	1	20	0	130	45	1	5	0	0	0	6	
17.09.2026 11:26:10	P	6	9	17	11	26	1	20	0	130	45	1	5	0	0	0	6	
17.09.2026 11:27:10	P	6	9	17	11	27	1	20	0	130	45	1	5	0	0	0	6	
17.09.2026 11:28:10	P	6	9	17	11	28	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:29:10	P	6	9	17	11	29	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:30:10	P	6	9	17	11	30	1	20	0	130	44	1	5	0	0	0	6	
17.09.2026 11:31:10	P	6	9	17	11	31	1	20	0	130	44	1	5	0	0	0	6	
