<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
17.09.2026 10:49:10	216,0	15,1	6,3	3775,6	408,7	48,3
17.09.2026 10:49:16	150,4	14,0	5,9	2441,9	223,9	28,7
17.09.2026 10:49:22	222,3	11,5	6,1	1390,1	272,9	31,2
17.09.2026 10:49:28	139,7	12,7	5,8	1306,4	184,8	31,4
17.09.2026 10:49:34	358,1	11,8	6,0	2560,2	456,7	41,8
17.09.2026 10:49:40	298,9	14,0	5,5	2708,1	390,2	43,1
17.09.2026 10:49:46	132,1	12,5	5,6	2983,1	241,2	31,6
17.09.2026 10:49:52	291,7	18,5	6,5	1684,2	346,2	47,3
17.09.2026 10:49:58	115,1	14,8	6,0	1061,1	160,1	45,9
17.09.2026 10:50:04	399,7	12,9	6,2	6820,1	706,0	43,5
17.09.2026 10:50:10	223,3	13,6	6,4	3086,9	339,6	26,2
17.09.2026 10:50:16	221,5	13,4	5,6	419,7	244,1	33,3
17.09.2026 10:50:22	373,3	14,1	6,4	3680,3	585,1	52,2
17.09.2026 10:50:28	315,1	12,7	6,2	3990,5	477,6	38,4
17.09.2026 10:50:34	270,4	16,8	6,3	2996,4	393,0	47,7
17.09.2026 10:50:40	148,0	15,2	6,2	1800,8	228,6	38,1
17.09.2026 10:50:46	254,5	14,0	6,4	4334,5	446,9	36,6
17.09.2026 10:50:52	318,1	13,6	6,5	4129,8	479,7	43,8
17.09.2026 10:50:58	507,1	13,6	6,3	3949,0	650,2	51,5
17.09.2026 10:51:04	189,5	17,4	6,7	3477,5	344,5	57,2
17.09.2026 10:51:10	282,8	15,7	6,3	2110,3	375,7	41,2
17.09.2026 10:51:16	253,2	11,8	5,6	2568,0	383,0	54,4
17.09.2026 10:51:22	199,6	14,8	6,1	5734,6	495,9	41,5
17.09.2026 10:51:28	91,6	14,2	5,9	1237,7	129,1	30,2
17.09.2026 10:51:34	174,7	12,2	5,2	1835,1	259,9	38,1
17.09.2026 10:51:40	369,0	16,0	6,1	3493,3	501,1	44,4
17.09.2026 10:51:46	206,8	17,5	6,3	5649,5	501,1	43,1
17.09.2026 10:51:52	284,8	17,5	6,4	3799,2	443,2	41,5
17.09.2026 10:51:58	277,5	16,9	6,7	6043,0	580,5	46,3
17.09.2026 10:52:04	215,1	13,6	6,2	2989,7	374,1	54,4
17.09.2026 10:52:10	237,0	15,0	5,7	2564,0	322,8	42,5
17.09.2026 10:52:16	165,2	15,0	6,4	2942,0	318,9	29,4
17.09.2026 10:52:22	356,8	18,5	6,8	4121,1	642,6	64,7
17.09.2026 10:52:28	196,4	13,1	5,9	2565,4	272,6	29,7
17.09.2026 10:52:34	301,9	16,7	6,1	3476,6	425,9	51,5
17.09.2026 10:52:40	251,0	11,5	5,5	1860,9	344,9	36,9
17.09.2026 10:52:46	304,6	13,3	6,0	1661,5	366,5	36,2
17.09.2026 10:52:52	207,2	16,8	6,3	2518,6	288,4	41,7
17.09.2026 10:52:58	296,3	16,4	6,4	2213,5	394,5	45,1
17.09.2026 10:53:04	196,2	11,2	5,8	4332,3	383,3	34,3
17.09.2026 10:53:10	125,7	12,5	5,7	4653,0	340,1	41,2
17.09.2026 10:53:16	279,6	13,2	5,6	3976,0	485,9	42,6
17.09.2026 10:53:22	148,6	12,9	6,1	2322,6	230,0	36,3
17.09.2026 10:53:28	195,3	13,4	5,7	2013,9	282,7	37,4
