<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
17.09.2026 10:49:10	0,78	1,15	1,02	1,12	0,74	1,05	3,57	6,38	14,59	31,01	33,24	45,60	132,95	948,48	2552,54
17.09.2026 10:49:16	0,67	1,11	1,09	1,04	0,60	1,50	5,16	2,13	11,67	6,20	16,62	0,00	265,89	0,00	2127,12
17.09.2026 10:49:22	0,80	1,11	1,18	1,30	0,45	0,90	1,59	4,25	8,76	12,41	33,24	0,00	398,84	72,96	850,85
17.09.2026 10:49:28	0,67	1,11	0,96	1,35	0,50	0,90	4,37	2,13	11,67	6,20	33,24	45,60	132,95	0,00	1063,56
17.09.2026 10:49:34	0,68	1,07	1,27	1,37	0,69	1,05	1,19	4,25	14,59	12,41	49,85	91,20	531,78	145,92	1701,70
17.09.2026 10:49:40	0,62	0,95	0,94	1,12	0,74	0,90	3,18	7,44	11,67	12,41	49,85	91,20	398,84	0,00	2127,12
17.09.2026 10:49:46	0,70	1,00	1,10	0,83	0,60	1,35	0,40	9,57	5,84	6,20	49,85	0,00	132,95	218,88	2552,54
17.09.2026 10:49:52	0,71	1,18	1,20	0,99	0,79	1,20	5,56	9,57	14,59	18,61	33,24	0,00	531,78	0,00	1063,56
17.09.2026 10:49:58	0,74	1,08	1,05	1,04	0,60	1,05	3,97	5,32	17,51	24,81	33,24	45,60	0,00	72,96	850,85
17.09.2026 10:50:04	0,76	1,22	1,11	1,17	0,89	0,60	2,38	6,38	2,92	24,81	66,47	45,60	531,78	1240,32	4892,38
17.09.2026 10:50:10	0,79	1,07	1,10	1,30	0,69	1,05	3,18	6,38	0,00	6,20	33,24	0,00	398,84	291,84	2339,83
17.09.2026 10:50:16	0,70	0,99	0,98	1,04	0,79	0,30	2,78	8,51	5,84	6,20	33,24	91,20	265,89	0,00	0,00
17.09.2026 10:50:22	0,76	1,15	1,26	1,22	0,74	1,64	0,79	7,44	17,51	24,81	49,85	91,20	398,84	1167,36	1914,41
17.09.2026 10:50:28	0,82	1,15	1,13	1,04	0,65	0,75	3,57	3,19	8,76	12,41	49,85	91,20	398,84	437,76	2977,97
17.09.2026 10:50:34	0,75	1,20	1,16	1,14	0,45	0,60	6,35	6,38	11,67	24,81	49,85	0,00	398,84	364,80	2127,12
17.09.2026 10:50:40	0,72	1,10	1,13	1,09	0,65	1,35	3,97	6,38	11,67	24,81	0,00	45,60	132,95	291,84	1276,27
17.09.2026 10:50:46	0,82	1,35	1,11	1,19	0,69	0,30	3,18	6,38	11,67	12,41	16,62	91,20	265,89	729,60	3190,68
17.09.2026 10:50:52	0,78	1,06	1,14	1,40	0,69	1,35	3,18	4,25	8,76	6,20	99,71	45,60	398,84	364,80	3190,68
17.09.2026 10:50:58	0,72	1,05	1,22	1,37	0,79	1,35	3,18	3,19	14,59	24,81	49,85	136,80	797,67	145,92	2765,26
17.09.2026 10:51:04	0,72	1,23	1,26	1,50	0,65	0,75	3,57	11,70	8,76	24,81	99,71	45,60	0,00	510,72	2765,26
17.09.2026 10:51:10	0,73	1,10	1,13	1,19	0,79	1,05	3,18	8,51	14,59	18,61	0,00	91,20	398,84	291,84	1276,27
17.09.2026 10:51:16	0,74	1,10	1,11	0,93	0,79	0,30	1,59	5,32	14,59	37,22	66,47	91,20	132,95	510,72	1701,70
