<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test run 1.bBaseline, 2. aircleaner, 3. airlock leackage
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
31.07.2025 11:24:51	0,23	0,21	0,21	0,22	0,12	0,06	0,08	0,07	0,03	0,05	0,05	0,13	0,07	0,28	0,67	0,80	0,36	0,32	0,80	2,01	0,91	0,45	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:25:51	0,23	0,20	0,20	0,23	0,12	0,06	0,07	0,07	0,02	0,04	0,10	0,13	0,13	0,23	0,54	0,84	0,48	0,42	0,64	1,51	0,30	0,00	0,70	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:26:51	0,23	0,20	0,22	0,21	0,11	0,06	0,09	0,06	0,03	0,07	0,09	0,11	0,08	0,23	0,33	0,42	0,48	0,42	1,28	0,50	1,51	0,45	1,39	1,25	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:27:51	0,23	0,20	0,21	0,22	0,12	0,05	0,10	0,06	0,03	0,06	0,08	0,14	0,16	0,33	0,50	0,59	0,24	0,42	1,28	0,67	0,60	0,90	1,39	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:28:51	0,22	0,19	0,20	0,22	0,11	0,07	0,08	0,08	0,04	0,05	0,07	0,10	0,12	0,15	0,54	0,62	0,75	0,51	0,64	1,17	0,91	0,90	0,70	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:29:51	0,23	0,19	0,19	0,23	0,12	0,06	0,09	0,06	0,03	0,05	0,07	0,12	0,08	0,36	0,61	0,60	0,36	0,32	1,36	1,51	0,30	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:30:51	0,22	0,20	0,20	0,23	0,11	0,06	0,08	0,07	0,03	0,06	0,09	0,11	0,15	0,28	1,05	0,79	0,54	0,46	0,32	0,84	0,30	0,00	2,09	0,00	0,00	3,77	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:31:51	0,22	0,19	0,19	0,21	0,12	0,06	0,08	0,05	0,05	0,06	0,08	0,14	0,12	0,36	0,26	0,11	0,30	0,37	0,64	0,50	0,30	0,45	1,39	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:32:51	0,22	0,19	0,20	0,21	0,11	0,06	0,08	0,06	0,03	0,08	0,06	0,11	0,09	0,28	0,73	0,60	0,42	0,65	0,64	0,67	0,00	0,90	0,00	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:33:51	0,22	0,19	0,19	0,22	0,11	0,06	0,09	0,05	0,03	0,05	0,06	0,13	0,11	0,33	0,43	0,53	0,21	0,23	0,48	0,67	0,00	0,00	0,00	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:34:51	0,22	0,19	0,20	0,22	0,11	0,05	0,11	0,05	0,03	0,06	0,07	0,09	0,16	0,28	0,41	0,37	0,39	0,23	0,72	0,84	0,30	0,45	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:35:51	0,22	0,19	0,19	0,21	0,11	0,06	0,08	0,05	0,02	0,04	0,05	0,12	0,15	0,28	0,38	0,46	0,21	0,60	0,56	0,84	0,30	0,45	0,70	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:36:51	0,13	0,11	0,11	0,12	0,06	0,03	0,04	0,04	0,01	0,04	0,05	0,03	0,04	0,18	0,22	0,18	0,24	0,14	0,64	0,33	0,30	0,45	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:37:51	0,06	0,05	0,05	0,06	0,04	0,02	0,02	0,01	0,01	0,01	0,04	0,06	0,00	0,13	0,12	0,09	0,06	0,00	0,00	0,17	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:38:51	0,03	0,03	0,03	0,03	0,02	0,01	0,01	0,02	0,01	0,01	0,02	0,01	0,03	0,05	0,26	0,13	0,00	0,00	0,00	0,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:39:51	0,02	0,02	0,01	0,01	0,01	0,01	0,01	0,00	0,01	0,00	0,00	0,01	0,03	0,03	0,07	0,15	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:40:51	0,01	0,01	0,01	0,01	0,00	0,00	0,01	0,01	0,00	0,01	0,00	0,01	0,00	0,00	0,10	0,16	0,00	0,00	0,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:41:51	0,01	0,01	0,00	0,00	0,00	0,00	0,00	0,01	0,00	0,00	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:42:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,07	0,04	0,00	0,00	0,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:43:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:44:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:45:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,04	0,00	0,00	0,00	0,17	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:46:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:47:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,03	0,04	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:48:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:49:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:50:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:51:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:52:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:53:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:54:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:55:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:56:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:57:51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
