<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test run 1. background, 2. aircleaner, 3. leakage
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
31.07.2025 11:32:33	14,5	6,2	2,8	15,1	13,8	8,2
31.07.2025 11:33:33	18,5	6,0	2,8	19,7	17,3	8,5
31.07.2025 11:34:33	16,4	6,1	2,7	19,1	16,2	8,5
31.07.2025 11:35:33	21,7	5,6	2,7	22,7	20,1	8,7
31.07.2025 11:36:33	15,3	5,7	2,7	15,4	14,7	8,3
31.07.2025 11:37:33	13,4	5,6	2,7	24,2	15,2	7,6
31.07.2025 11:38:33	22,8	5,3	2,7	27,7	21,5	8,1
31.07.2025 11:39:33	16,1	5,4	2,7	17,2	15,2	7,6
31.07.2025 11:40:33	15,0	5,8	2,7	18,2	14,9	7,7
31.07.2025 11:41:33	15,3	5,3	2,6	16,8	14,5	7,4
31.07.2025 11:42:33	14,7	4,5	2,7	14,8	13,5	6,5
31.07.2025 11:43:33	16,0	5,5	2,7	16,6	15,1	7,8
31.07.2025 11:44:33	15,7	6,4	2,7	17,2	15,2	8,7
31.07.2025 11:45:33	18,8	5,9	2,7	24,3	18,6	8,0
31.07.2025 11:46:33	18,5	6,5	2,7	21,7	18,2	8,9
31.07.2025 11:47:33	13,4	4,9	2,6	13,9	12,9	7,0
31.07.2025 11:48:33	13,1	5,1	2,6	14,2	12,4	6,8
31.07.2025 11:49:33	11,5	5,1	2,6	11,6	10,8	6,5
31.07.2025 11:50:33	14,8	5,1	2,6	16,8	14,1	7,0
31.07.2025 11:51:33	12,1	4,7	2,5	12,6	11,7	6,7
31.07.2025 11:52:33	14,8	5,6	2,7	19,1	14,9	7,7
31.07.2025 11:53:33	13,6	6,1	2,7	25,8	14,4	8,1
31.07.2025 11:54:33	14,2	5,8	2,6	16,9	14,1	7,6
31.07.2025 11:55:33	16,9	5,5	2,6	18,0	15,8	7,8
31.07.2025 11:56:33	13,1	5,1	2,7	14,1	12,3	6,7
31.07.2025 11:57:33	13,2	4,8	2,6	19,8	13,8	6,6
31.07.2025 11:58:33	13,6	5,6	2,5	14,1	12,7	7,2
31.07.2025 11:59:33	12,3	4,9	2,6	12,9	11,7	6,6
31.07.2025 12:00:33	10,6	5,3	2,6	10,6	10,2	6,6
31.07.2025 12:01:33	15,6	4,9	2,6	23,7	16,7	7,0
31.07.2025 12:02:33	13,1	5,2	2,6	25,4	13,6	7,0
31.07.2025 12:03:33	11,8	5,0	2,5	11,8	11,2	6,7
31.07.2025 12:04:33	11,4	5,2	2,6	12,4	11,1	6,8
31.07.2025 12:05:33	14,8	4,9	2,5	15,9	13,8	6,9
31.07.2025 12:06:33	15,0	5,4	2,5	17,7	14,6	7,3
31.07.2025 12:07:33	13,2	5,3	2,6	13,2	12,6	7,2
31.07.2025 12:08:33	12,5	4,4	2,4	13,5	11,7	5,9
31.07.2025 12:09:33	11,8	5,2	2,5	11,9	11,2	6,8
31.07.2025 12:10:33	13,0	4,8	2,4	13,5	12,3	6,5
31.07.2025 12:11:33	10,6	4,5	2,5	10,6	10,2	6,0
31.07.2025 12:12:33	10,7	5,0	2,5	10,7	10,2	6,4
31.07.2025 12:13:33	11,2	5,1	2,5	11,2	10,7	6,7
31.07.2025 12:14:33	12,1	5,2	2,6	12,6	11,6	7,0
31.07.2025 12:15:33	9,9	4,8	2,5	9,9	9,6	6,3
31.07.2025 12:16:33	9,2	4,5	2,4	9,2	9,0	5,8
31.07.2025 12:17:33	9,1	4,8	2,4	9,1	8,9	6,2
31.07.2025 12:18:33	8,7	4,3	2,3	9,2	8,5	5,5
31.07.2025 12:19:33	8,3	4,2	2,3	10,5	8,7	5,4
31.07.2025 12:20:33	9,2	5,2	2,4	9,3	8,9	6,3
31.07.2025 12:21:33	10,5	4,2	2,4	11,5	9,9	5,4
31.07.2025 12:22:33	10,0	4,2	2,4	12,2	10,0	5,4
31.07.2025 12:23:33	7,6	4,1	2,4	7,6	7,6	5,4
31.07.2025 12:24:33	9,4	4,6	2,4	9,5	9,2	6,1
31.07.2025 12:25:33	9,7	4,5	2,4	9,7	9,1	5,7
31.07.2025 12:26:33	9,9	4,6	2,4	10,0	9,3	5,7
31.07.2025 12:27:33	9,6	4,5	2,4	12,3	9,8	5,5
31.07.2025 12:28:33	9,4	4,7	2,3	9,4	9,0	5,9
31.07.2025 12:29:33	7,5	4,2	2,4	8,0	7,4	5,1
31.07.2025 12:30:33	8,7	4,5	2,3	8,7	8,4	5,6
31.07.2025 12:31:33	8,0	4,3	2,3	8,1	7,8	5,4
31.07.2025 12:32:33	6,4	4,0	2,3	6,4	6,4	4,8
31.07.2025 12:33:33	8,7	4,0	2,3	8,8	8,3	5,1
31.07.2025 12:34:33	6,6	4,3	2,3	6,6	6,5	5,2
31.07.2025 12:35:33	8,6	4,5	2,3	12,8	9,2	5,7
31.07.2025 12:36:33	7,3	3,7	2,3	7,3	7,2	4,9
