<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test run 1. background, 2. aircleaner, 3. leakage
online data
<Data>
[d&t31.12.2035 11:50:55]	0,25 um	0,28 um	0,30 um	0,35 um	0,40 um	0,45 um	0,50 um	0,58 um	0,65 um	0,70 um	0,80 um	1,00 um	1,30 um	1,60 um	2,00 um	2,50 um	3,00 um	3,50 um	4,00 um	5,00 um	6,50 um	7,50 um	8,50 um	10,00 um	12,50 um	15,00 um	17,50 um	20,00 um	25,00 um	30,00 um	32,00 um
31.07.2025 11:32:33	0,22	0,24	0,22	0,24	0,13	0,06	0,11	0,07	0,05	0,08	0,09	0,21	0,19	0,51	1,07	1,04	0,82	1,53	1,68	1,51	0,30	0,90	1,39	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:33:33	0,21	0,24	0,22	0,24	0,14	0,07	0,10	0,07	0,05	0,10	0,12	0,20	0,17	0,51	0,83	1,43	0,69	1,02	1,92	3,01	1,51	0,45	2,78	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:34:33	0,20	0,24	0,22	0,24	0,13	0,07	0,12	0,08	0,04	0,08	0,12	0,19	0,25	0,56	0,91	1,12	1,09	0,97	2,32	1,84	1,21	1,80	0,70	1,25	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:35:33	0,21	0,24	0,22	0,25	0,12	0,07	0,08	0,06	0,04	0,09	0,09	0,19	0,27	0,85	0,50	0,84	0,63	1,16	2,65	3,51	2,11	3,60	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:36:33	0,21	0,23	0,21	0,22	0,12	0,07	0,11	0,07	0,05	0,06	0,11	0,18	0,20	0,46	0,83	0,90	1,12	1,02	2,48	2,51	1,51	0,90	0,70	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:37:33	0,21	0,23	0,21	0,24	0,12	0,06	0,11	0,07	0,05	0,10	0,11	0,15	0,20	0,51	0,70	1,13	0,85	0,74	2,08	1,51	0,91	0,45	0,00	2,50	2,29	7,55	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:38:33	0,21	0,23	0,21	0,24	0,11	0,07	0,09	0,07	0,06	0,06	0,13	0,21	0,15	0,54	0,53	0,71	1,15	0,93	2,00	3,34	1,51	1,35	4,18	6,26	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:39:33	0,21	0,23	0,22	0,23	0,12	0,06	0,09	0,06	0,04	0,05	0,12	0,23	0,09	0,64	0,54	1,08	0,82	0,79	1,84	2,34	1,51	0,90	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:40:33	0,21	0,23	0,21	0,24	0,13	0,06	0,09	0,06	0,03	0,09	0,07	0,27	0,12	0,46	0,83	1,57	0,72	0,56	1,44	2,01	0,91	1,35	0,70	2,50	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:41:33	0,20	0,23	0,23	0,23	0,11	0,06	0,11	0,07	0,05	0,06	0,10	0,19	0,15	0,31	0,66	1,19	0,69	1,07	1,84	1,67	1,21	0,90	0,70	3,76	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:42:33	0,20	0,22	0,21	0,23	0,13	0,08	0,10	0,06	0,03	0,09	0,12	0,21	0,17	0,28	0,31	0,49	0,75	0,83	1,52	2,34	1,21	1,35	2,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:43:33	0,19	0,23	0,21	0,24	0,12	0,06	0,11	0,07	0,05	0,10	0,11	0,21	0,24	0,41	0,85	0,90	0,66	1,21	2,00	1,67	2,41	0,90	1,39	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:44:33	0,21	0,23	0,21	0,23	0,12	0,06	0,09	0,07	0,03	0,08	0,10	0,27	0,20	0,49	1,12	1,34	1,12	1,11	2,08	1,84	0,91	0,45	0,00	3,76	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:45:33	0,20	0,23	0,21	0,23	0,13	0,07	0,09	0,07	0,05	0,08	0,12	0,19	0,29	0,51	1,08	1,08	0,75	0,60	1,68	1,84	1,81	1,35	3,48	2,50	4,57	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:46:33	0,20	0,22	0,22	0,22	0,12	0,07	0,11	0,08	0,06	0,07	0,13	0,20	0,25	0,49	1,58	1,34	0,79	0,65	1,84	2,17	3,92	0,45	0,70	2,50	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:47:33	0,20	0,22	0,20	0,23	0,13	0,07	0,10	0,07	0,04	0,08	0,10	0,20	0,20	0,64	0,38	0,46	0,66	1,25	1,84	1,84	1,81	0,90	0,00	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:48:33	0,20	0,22	0,20	0,24	0,12	0,06	0,09	0,06	0,04	0,07	0,09	0,15	0,34	0,44	0,57	0,82	0,79	0,79	1,52	1,67	0,30	0,45	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:49:33	0,20	0,22	0,20	0,22	0,12	0,07	0,10	0,05	0,04	0,08	0,10	0,24	0,15	0,59	0,66	0,70	0,72	0,65	1,36	0,84	0,30	0,90	2,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:50:33	0,20	0,21	0,21	0,23	0,12	0,06	0,10	0,06	0,04	0,07	0,12	0,20	0,25	0,56	0,54	0,66	0,75	0,93	1,52	2,01	0,60	1,35	0,00	5,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:51:33	0,19	0,23	0,20	0,23	0,12	0,06	0,11	0,07	0,02	0,08	0,10	0,16	0,11	0,59	0,49	0,71	0,54	0,79	2,08	1,51	1,51	0,45	0,00	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:52:33	0,20	0,21	0,21	0,24	0,13	0,06	0,10	0,05	0,05	0,08	0,12	0,18	0,11	0,64	0,74	0,93	0,91	0,97	1,60	2,51	0,91	1,35	0,70	1,25	0,00	3,77	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:53:33	0,20	0,22	0,21	0,23	0,12	0,06	0,10	0,07	0,04	0,08	0,09	0,23	0,25	0,56	1,08	1,30	0,97	0,56	1,68	2,01	1,51	0,90	0,00	0,00	2,29	0,00	0,00	10,02	0,00	0,00	0,00
31.07.2025 11:54:33	0,20	0,22	0,20	0,22	0,12	0,07	0,09	0,07	0,04	0,08	0,08	0,17	0,35	0,38	0,91	1,21	0,91	0,79	1,28	1,84	0,60	1,80	0,70	1,25	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:55:33	0,20	0,22	0,20	0,23	0,12	0,05	0,09	0,05	0,04	0,07	0,11	0,24	0,16	0,51	0,68	1,08	0,82	1,11	1,92	1,51	1,81	1,80	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:56:33	0,21	0,22	0,21	0,24	0,12	0,07	0,08	0,06	0,03	0,08	0,11	0,19	0,34	0,49	0,69	0,57	0,54	0,74	1,84	0,84	0,60	0,90	1,39	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:57:33	0,20	0,22	0,20	0,22	0,12	0,06	0,09	0,06	0,05	0,07	0,12	0,20	0,21	0,36	0,49	0,80	0,69	0,65	1,84	1,17	0,60	0,90	2,09	1,25	2,29	3,77	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:58:33	0,19	0,22	0,21	0,23	0,12	0,06	0,10	0,06	0,05	0,09	0,07	0,19	0,17	0,56	1,02	0,97	0,97	0,46	1,52	0,84	0,60	1,80	1,39	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 11:59:33	0,19	0,22	0,20	0,24	0,12	0,07	0,09	0,06	0,05	0,10	0,11	0,15	0,20	0,62	0,52	0,60	0,72	0,65	1,60	1,84	0,91	0,00	1,39	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:00:33	0,20	0,21	0,20	0,22	0,11	0,08	0,09	0,06	0,04	0,09	0,09	0,21	0,21	0,54	0,97	0,71	0,66	0,51	1,12	0,67	2,11	0,45	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:01:33	0,20	0,22	0,20	0,23	0,11	0,06	0,08	0,06	0,05	0,08	0,12	0,13	0,24	0,38	0,70	0,88	0,48	0,74	2,00	2,01	1,21	0,45	1,39	3,76	6,86	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:02:33	0,19	0,22	0,22	0,21	0,12	0,06	0,10	0,08	0,04	0,07	0,12	0,17	0,19	0,59	0,79	0,68	0,75	0,60	1,44	2,51	0,60	0,90	1,39	0,00	2,29	0,00	0,00	10,02	0,00	0,00	0,00
31.07.2025 12:03:33	0,19	0,21	0,20	0,22	0,12	0,07	0,11	0,07	0,03	0,08	0,08	0,19	0,11	0,49	0,76	0,84	0,72	0,74	1,52	1,51	0,30	0,90	1,39	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:04:33	0,20	0,22	0,21	0,22	0,12	0,06	0,09	0,06	0,03	0,08	0,13	0,15	0,32	0,36	0,87	0,80	0,66	0,79	1,44	1,17	0,91	0,00	0,00	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:05:33	0,19	0,21	0,20	0,22	0,11	0,06	0,09	0,05	0,04	0,08	0,11	0,21	0,19	0,41	0,75	0,68	0,57	0,97	1,76	2,17	0,30	0,90	2,09	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:06:33	0,20	0,21	0,20	0,22	0,12	0,06	0,09	0,08	0,04	0,07	0,09	0,17	0,16	0,54	0,90	0,90	0,88	0,88	1,36	1,84	0,30	1,80	2,09	1,25	2,29	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:07:33	0,20	0,22	0,21	0,23	0,11	0,07	0,10	0,07	0,04	0,09	0,09	0,13	0,19	0,59	0,65	0,88	0,69	0,97	1,52	1,84	1,21	1,35	0,70	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:08:33	0,18	0,22	0,20	0,23	0,11	0,07	0,09	0,07	0,04	0,07	0,11	0,16	0,16	0,26	0,88	0,40	0,45	0,46	1,28	1,84	0,30	1,80	0,70	2,50	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:09:33	0,19	0,21	0,21	0,23	0,12	0,07	0,09	0,06	0,04	0,08	0,12	0,19	0,11	0,56	0,88	1,04	0,57	0,42	1,28	1,67	0,91	0,45	1,39	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:10:33	0,19	0,21	0,20	0,23	0,11	0,06	0,10	0,05	0,04	0,08	0,08	0,16	0,16	0,33	0,77	0,82	0,57	0,93	1,12	1,84	1,21	1,35	0,70	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:11:33	0,19	0,21	0,19	0,21	0,11	0,06	0,08	0,05	0,04	0,08	0,14	0,20	0,19	0,67	0,43	0,33	0,60	0,51	1,28	1,84	1,51	0,00	0,70	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:12:33	0,19	0,20	0,21	0,22	0,12	0,05	0,10	0,08	0,04	0,06	0,08	0,22	0,13	0,46	0,80	0,93	0,51	0,70	1,20	1,00	0,60	1,80	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:13:33	0,19	0,21	0,19	0,22	0,12	0,06	0,10	0,07	0,05	0,06	0,10	0,09	0,17	0,41	0,94	0,86	0,69	0,74	1,36	1,34	0,60	0,90	0,70	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:14:33	0,19	0,22	0,19	0,23	0,11	0,07	0,09	0,08	0,05	0,09	0,11	0,20	0,13	0,46	0,74	1,01	0,72	0,79	1,84	1,00	0,91	0,45	0,70	1,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00
31.07.2025 12:15:33	0,19	0,22	0,18	0,22	0,11	0,06	0,09	0,07	0,04	0,07	0,10	0,17	0,21	0,41	0,72	0,79	0,54	0,46	1,52	1,67	0,60	0,45	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
