<Header>
User name: 
Location: cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: ug/m3
C-factor: 1,00
location factor: 0,00
Comment: test run 1. baseline, 2. aircleaner, 3. cabin leakage
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
31.07.2025 11:18:18	0,0	0,0	0,0	0,0	0,0	0,0	48,9	44,4	15,3	48,5	6,4	3,2
31.07.2025 11:18:24	0,0	0,0	0,0	0,0	0,0	0,0	160,0	105,6	17,7	93,7	6,4	3,0
31.07.2025 11:18:30	0,0	0,0	0,0	0,0	0,0	0,0	68,4	34,4	15,1	26,5	7,4	3,0
31.07.2025 11:18:36	0,0	0,0	0,0	0,0	0,0	0,0	113,6	89,2	19,2	92,5	6,9	3,6
31.07.2025 11:18:42	0,0	0,0	0,0	0,0	0,0	0,0	105,4	81,7	19,2	82,1	6,9	3,1
31.07.2025 11:18:48	0,0	0,0	0,0	0,0	0,0	0,0	179,5	82,4	13,9	46,8	6,2	3,0
31.07.2025 11:18:54	0,0	0,0	0,0	0,0	0,0	0,0	118,3	70,4	17,3	52,7	6,4	3,0
31.07.2025 11:19:00	0,0	0,0	0,0	0,0	0,0	0,0	201,3	63,7	16,5	48,4	7,4	3,1
31.07.2025 11:19:06	0,0	0,0	0,0	0,0	0,0	0,0	102,3	59,4	10,1	44,0	6,2	3,1
31.07.2025 11:19:12	0,0	0,0	0,0	0,0	0,0	0,0	251,3	45,0	15,3	31,8	7,1	3,0
31.07.2025 11:19:18	0,0	0,0	0,0	0,0	0,0	0,0	182,2	94,7	17,0	80,0	6,7	3,0
31.07.2025 11:19:24	0,0	0,0	0,0	0,0	0,0	0,0	49,8	43,7	14,4	47,0	6,7	3,2
31.07.2025 11:19:30	0,0	0,0	0,0	0,0	0,0	0,0	141,4	63,4	17,8	44,7	7,8	3,1
31.07.2025 11:19:36	0,0	0,0	0,0	0,0	0,0	0,0	75,5	50,2	21,1	40,2	8,6	3,2
31.07.2025 11:19:42	0,0	0,0	0,0	0,0	0,0	0,0	139,7	63,0	16,2	53,2	7,3	3,0
31.07.2025 11:19:48	0,0	0,0	0,0	0,0	0,0	0,0	129,9	75,5	16,9	54,2	6,5	3,2
31.07.2025 11:19:54	0,0	0,0	0,0	0,0	0,0	0,0	123,6	86,7	12,1	82,5	6,3	3,1
31.07.2025 11:20:00	0,0	0,0	0,0	0,0	0,0	0,0	99,6	69,7	17,3	64,1	7,7	3,1
31.07.2025 11:20:06	0,0	0,0	0,0	0,0	0,0	0,0	234,0	105,7	17,6	66,8	7,8	3,4
31.07.2025 11:20:12	0,0	0,0	0,0	0,0	0,0	0,0	59,8	38,7	12,4	32,0	6,3	3,1
31.07.2025 11:20:18	0,0	0,0	0,0	0,0	0,0	0,0	130,7	71,8	18,0	55,8	7,8	3,1
31.07.2025 11:20:24	0,0	0,0	0,0	0,0	0,0	0,0	147,7	64,8	17,6	51,2	7,0	3,0
31.07.2025 11:20:30	0,0	0,0	0,0	0,0	0,0	0,0	79,0	56,1	13,7	50,9	5,7	3,0
31.07.2025 11:20:36	0,0	0,0	0,0	0,0	0,0	0,0	136,9	95,5	17,6	88,4	7,2	2,8
31.07.2025 11:20:42	0,0	0,0	0,0	0,0	0,0	0,0	110,0	74,4	15,5	66,8	6,9	3,3
31.07.2025 11:20:48	0,0	0,0	0,0	0,0	0,0	0,0	50,4	40,1	15,2	37,7	5,8	2,8
31.07.2025 11:20:54	0,0	0,0	0,0	0,0	0,0	0,0	109,9	85,1	15,2	88,7	6,2	3,2
31.07.2025 11:21:00	0,0	0,0	0,0	0,0	0,0	0,0	46,7	42,7	17,5	44,1	6,8	3,2
31.07.2025 11:21:06	0,0	0,0	0,0	0,0	0,0	0,0	122,2	80,5	17,1	69,0	5,9	2,9
31.07.2025 11:21:12	0,0	0,0	0,0	0,0	0,0	0,0	80,7	50,7	14,1	40,3	7,1	2,9
31.07.2025 11:21:18	0,0	0,0	0,0	0,0	0,0	0,0	34,0	23,9	7,0	21,3	4,4	3,0
31.07.2025 11:21:24	0,0	0,0	0,0	0,0	0,0	0,0	138,4	67,9	13,3	45,9	5,9	3,2
31.07.2025 11:21:30	0,0	0,0	0,0	0,0	0,0	0,0	165,1	71,1	21,1	43,5	9,6	3,2
31.07.2025 11:21:36	0,0	0,0	0,0	0,0	0,0	0,0	135,4	76,2	10,8	65,2	5,3	3,2
31.07.2025 11:21:42	0,0	0,0	0,0	0,0	0,0	0,0	63,0	51,1	17,6	50,1	6,7	2,9
31.07.2025 11:21:48	0,0	0,0	0,0	0,0	0,0	0,0	101,8	66,3	19,4	53,9	9,0	3,3
31.07.2025 11:21:54	0,0	0,0	0,0	0,0	0,0	0,0	176,3	83,0	13,1	51,1	6,1	3,0
31.07.2025 11:22:00	0,0	0,0	0,0	0,0	0,0	0,0	97,6	51,1	14,7	40,3	7,1	3,3
31.07.2025 11:22:06	0,0	0,0	0,0	0,0	0,0	0,0	66,6	52,0	17,2	51,1	7,7	3,5
31.07.2025 11:22:12	0,0	0,0	0,0	0,0	0,0	0,0	97,9	63,9	14,4	54,8	7,0	3,0
31.07.2025 11:22:18	0,0	0,0	0,0	0,0	0,0	0,0	98,0	66,5	18,6	57,5	7,9	3,2
31.07.2025 11:22:24	0,0	0,0	0,0	0,0	0,0	0,0	85,7	61,1	12,0	57,5	6,1	3,1
