<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: counts/liter (differential)
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
14.08.2025 10:18:57	22700,0	18350,0	7300,0	3700,0	1350,0	550,0	650,0	450,0	350,0	150,0	100,0	150,0	50,0	0,0	100,0
14.08.2025 10:19:03	24300,0	17700,0	7950,0	4550,0	1400,0	800,0	500,0	350,0	200,0	50,0	200,0	50,0	50,0	140,0	210,0
14.08.2025 10:19:09	23100,0	19900,0	8200,0	4150,0	1400,0	450,0	700,0	350,0	100,0	100,0	150,0	100,0	0,0	0,0	50,0
14.08.2025 10:19:15	24850,0	18800,0	7750,0	4400,0	1300,0	850,0	800,0	350,0	150,0	200,0	100,0	0,0	200,0	50,0	200,0
14.08.2025 10:19:21	23050,0	18000,0	7500,0	4400,0	1650,0	950,0	300,0	350,0	100,0	100,0	100,0	50,0	0,0	90,0	210,0
14.08.2025 10:19:27	22100,0	17500,0	8200,0	4050,0	1550,0	600,0	600,0	400,0	300,0	150,0	50,0	50,0	100,0	80,0	70,0
14.08.2025 10:19:33	22950,0	17550,0	7500,0	4450,0	1850,0	600,0	850,0	350,0	100,0	50,0	100,0	150,0	100,0	0,0	150,0
14.08.2025 10:19:39	23450,0	21150,0	7650,0	4550,0	1700,0	550,0	400,0	300,0	200,0	250,0	250,0	50,0	100,0	50,0	150,0
14.08.2025 10:19:45	22000,0	16850,0	9800,0	4850,0	1600,0	850,0	550,0	350,0	200,0	50,0	0,0	50,0	0,0	60,0	140,0
14.08.2025 10:19:51	22300,0	18800,0	8100,0	4100,0	1500,0	650,0	700,0	300,0	100,0	250,0	150,0	50,0	50,0	0,0	50,0
14.08.2025 10:19:57	24600,0	19900,0	8950,0	4500,0	1950,0	650,0	400,0	350,0	100,0	100,0	0,0	0,0	50,0	220,0	230,0
14.08.2025 10:20:03	22100,0	18400,0	7650,0	5500,0	1350,0	350,0	750,0	400,0	150,0	200,0	150,0	150,0	0,0	190,0	260,0
14.08.2025 10:20:09	22150,0	17250,0	8600,0	3800,0	1550,0	700,0	450,0	300,0	300,0	250,0	50,0	50,0	150,0	90,0	160,0
14.08.2025 10:20:15	23450,0	18750,0	9400,0	3950,0	1250,0	550,0	900,0	350,0	200,0	50,0	200,0	0,0	100,0	0,0	100,0
14.08.2025 10:20:21	22400,0	18500,0	8150,0	3900,0	1750,0	500,0	800,0	250,0	200,0	250,0	200,0	0,0	0,0	100,0	150,0
14.08.2025 10:20:27	25850,0	17450,0	7950,0	4900,0	1750,0	600,0	500,0	400,0	100,0	150,0	50,0	50,0	250,0	90,0	210,0
14.08.2025 10:20:33	24400,0	18700,0	7500,0	4900,0	1550,0	750,0	550,0	250,0	200,0	200,0	150,0	150,0	50,0	0,0	100,0
14.08.2025 10:20:39	22600,0	16400,0	8200,0	4650,0	1800,0	400,0	700,0	400,0	250,0	400,0	50,0	0,0	250,0	90,0	160,0
14.08.2025 10:20:45	23200,0	18100,0	8550,0	3950,0	1800,0	750,0	400,0	350,0	100,0	50,0	0,0	50,0	150,0	0,0	150,0
14.08.2025 10:20:51	23900,0	18700,0	7650,0	4800,0	2250,0	850,0	400,0	450,0	100,0	150,0	100,0	0,0	50,0	10,0	140,0
14.08.2025 10:20:57	23600,0	18650,0	8850,0	4400,0	1600,0	450,0	600,0	400,0	150,0	100,0	100,0	50,0	150,0	140,0	210,0
14.08.2025 10:21:03	20800,0	17300,0	7800,0	3700,0	1300,0	400,0	800,0	650,0	200,0	0,0	50,0	100,0	100,0	30,0	70,0
14.08.2025 10:21:09	22350,0	17700,0	7750,0	4350,0	1700,0	600,0	650,0	450,0	150,0	150,0	150,0	100,0	50,0	0,0	100,0
