<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 10:18:50	P	25	8	14	10	18	1	0	0	130	22	1	5	0	0	0	6	
14.08.2025 10:19:57	P	25	8	14	10	19	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 10:20:57	P	25	8	14	10	20	1	20	0	130	49	1	5	0	0	0	6	
14.08.2025 10:21:57	P	25	8	14	10	21	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 10:22:57	P	25	8	14	10	22	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 10:23:57	P	25	8	14	10	23	1	20	0	130	48	1	5	0	0	0	6	
14.08.2025 10:24:57	P	25	8	14	10	24	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 10:25:57	P	25	8	14	10	25	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 10:26:57	P	25	8	14	10	26	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:27:57	P	25	8	14	10	27	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:28:57	P	25	8	14	10	28	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:29:57	P	25	8	14	10	29	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:30:57	P	25	8	14	10	30	1	20	0	130	45	0	5	0	0	0	6	
14.08.2025 10:31:57	P	25	8	14	10	31	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:32:57	P	25	8	14	10	32	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:33:57	P	25	8	14	10	33	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:34:57	P	25	8	14	10	34	1	20	0	130	45	1	5	0	0	0	6	
14.08.2025 10:35:57	P	25	8	14	10	35	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:36:57	P	25	8	14	10	36	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:37:57	P	25	8	14	10	37	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:38:57	P	25	8	14	10	38	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:39:57	P	25	8	14	10	39	1	20	0	130	44	0	5	0	0	0	6	
14.08.2025 10:40:57	P	25	8	14	10	40	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:41:57	P	25	8	14	10	41	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:42:57	P	25	8	14	10	42	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:43:57	P	25	8	14	10	43	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 10:44:57	P	25	8	14	10	44	1	20	0	130	43	1	5	0	0	0	6	
