<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Counts, dN [1/l]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
14.08.2025 10:26:08	40050,0	13240,0	5010,0	2950,0	550,0	550,0	150,0	150,0	150,0	100,0	50,0	100,0	100,0	100,0	70,0	40,0	80,0	40,0	10,0	0,0	0,0	40,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:14	42060,0	12740,0	4660,0	2800,0	700,0	450,0	250,0	150,0	100,0	0,0	100,0	100,0	100,0	100,0	110,0	150,0	30,0	30,0	0,0	0,0	0,0	10,0	0,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:20	42310,0	12990,0	5260,0	2300,0	550,0	600,0	200,0	100,0	0,0	150,0	0,0	100,0	50,0	0,0	80,0	0,0	20,0	20,0	30,0	0,0	10,0	0,0	20,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:26	39180,0	12590,0	5010,0	2450,0	1100,0	300,0	100,0	100,0	0,0	100,0	150,0	100,0	150,0	100,0	120,0	60,0	30,0	10,0	10,0	30,0	20,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:32	40140,0	12950,0	6110,0	2350,0	900,0	650,0	100,0	150,0	150,0	150,0	100,0	50,0	0,0	0,0	70,0	0,0	20,0	30,0	20,0	10,0	20,0	20,0	0,0	0,0	0,0	0,0	0,0	10,0	0,0	0,0	0,0
14.08.2025 10:26:38	40500,0	12290,0	4710,0	3000,0	1100,0	450,0	250,0	300,0	0,0	100,0	0,0	100,0	150,0	50,0	100,0	30,0	70,0	50,0	10,0	0,0	10,0	0,0	0,0	20,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:44	44130,0	12590,0	4660,0	2050,0	900,0	400,0	250,0	50,0	200,0	100,0	0,0	0,0	150,0	100,0	0,0	0,0	0,0	30,0	20,0	0,0	10,0	10,0	20,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:50	39840,0	13300,0	5660,0	2200,0	1200,0	650,0	200,0	100,0	100,0	100,0	0,0	50,0	50,0	100,0	90,0	70,0	20,0	20,0	40,0	10,0	10,0	20,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:26:56	40290,0	12640,0	4510,0	2450,0	1000,0	350,0	450,0	300,0	50,0	100,0	0,0	100,0	50,0	150,0	40,0	30,0	30,0	30,0	20,0	20,0	20,0	0,0	0,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14.08.2025 10:27:02	41490,0	12690,0	4510,0	2550,0	500,0	350,0	200,0	50,0	250,0	50,0	100,0	150,0	100,0	50,0	0,0	0,0	0,0	20,0	10,0	0,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
