<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass, dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um	3,515 um	4,144 um	4,884 um	5,757 um	6,787 um	8,000 um	9,430 um	11,12 um	13,10 um	15,45 um	18,21 um	21,46 um	25,30 um	29,82 um	35,15 um
14.08.2025 10:26:08	0,74	0,40	0,25	0,24	0,07	0,12	0,05	0,09	0,14	0,16	0,13	0,42	0,69	1,12	1,29	1,21	3,95	3,24	1,32	0,00	0,00	23,29	9,54	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:14	0,77	0,38	0,23	0,23	0,09	0,10	0,09	0,09	0,10	0,00	0,26	0,42	0,69	1,12	2,03	4,52	1,48	2,43	0,00	0,00	0,00	5,82	0,00	15,62	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:20	0,78	0,39	0,26	0,19	0,07	0,13	0,07	0,06	0,00	0,23	0,00	0,42	0,34	0,00	1,47	0,00	0,99	1,62	3,97	0,00	3,56	0,00	19,08	15,62	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:26	0,72	0,38	0,25	0,20	0,15	0,07	0,04	0,06	0,00	0,16	0,38	0,42	1,03	1,12	2,21	1,81	1,48	0,81	1,32	6,51	7,11	0,00	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:32	0,74	0,39	0,30	0,19	0,12	0,14	0,04	0,09	0,14	0,23	0,26	0,21	0,00	0,00	1,29	0,00	0,99	2,43	2,65	2,17	7,11	11,65	0,00	0,00	0,00	0,00	0,00	112,42	0,00	0,00	0,00
14.08.2025 10:26:38	0,74	0,37	0,23	0,24	0,15	0,10	0,09	0,17	0,00	0,16	0,00	0,42	1,03	0,56	1,84	0,90	3,46	4,05	1,32	0,00	3,56	0,00	0,00	31,24	25,59	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:44	0,81	0,38	0,23	0,17	0,12	0,09	0,09	0,03	0,19	0,16	0,00	0,00	1,03	1,12	0,00	0,00	0,00	2,43	2,65	0,00	3,56	5,82	19,08	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:50	0,73	0,40	0,28	0,18	0,16	0,14	0,07	0,06	0,10	0,16	0,00	0,21	0,34	1,12	1,66	2,11	0,99	1,62	5,30	2,17	3,56	11,65	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:26:56	0,74	0,38	0,22	0,20	0,13	0,08	0,16	0,17	0,05	0,16	0,00	0,42	0,34	1,69	0,74	0,90	1,48	2,43	2,65	4,34	7,11	0,00	0,00	15,62	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 10:27:02	0,76	0,38	0,22	0,21	0,07	0,08	0,07	0,03	0,24	0,08	0,26	0,63	0,69	0,56	0,00	0,00	0,00	1,62	1,32	0,00	0,00	0,00	19,08	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
