<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: log data
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
K-line: 

<Data>
[d&t31.12.2035 11:50:55]	P	Year	Mon	Day	Hr	Min	Sec	Loc	GF	Err	Qbatt	Im	Temp	rH	Velo	Pres	Dir	Rain	Iv	P_Weight	P_Vol[l]	rH_i	Temp_i	Latitude	Longitude	Height	Flow[%]	SFlow
14.08.2025 10:26:01	P	25	8	14	10	26	1	2	0	0	NA	11	NA	NA	NA	1017,6	NA	NA	6	1124,9	36433,2	51,8	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:08	P	25	8	14	10	26	8	2	100	0	NA	27	NA	NA	NA	1017,6	NA	NA	6	1124,9	36433,3	50,9	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:14	P	25	8	14	10	26	14	2	100	0	NA	27	NA	NA	NA	1017,2	NA	NA	6	1124,9	36433,4	50,1	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:20	P	25	8	14	10	26	20	2	100	0	NA	27	NA	NA	NA	1017,6	NA	NA	6	1124,9	36433,6	49,8	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:26	P	25	8	14	10	26	26	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1124,9	36433,7	49,5	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:26:32	P	25	8	14	10	26	32	2	100	0	NA	28	NA	NA	NA	1018,1	NA	NA	6	1125,0	36433,8	49,3	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:38	P	25	8	14	10	26	38	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,0	36433,9	49,2	28,2	NA	NA	NA	102,9A	NA
14.08.2025 10:26:44	P	25	8	14	10	26	44	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,0	36434,0	49,1	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:26:50	P	25	8	14	10	26	50	2	100	0	NA	28	NA	NA	NA	1018,1	NA	NA	6	1125,0	36434,2	49,0	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:26:56	P	25	8	14	10	26	56	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,0	36434,3	49,0	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:02	P	25	8	14	10	27	2	2	100	0	NA	28	NA	NA	NA	1017,9	NA	NA	6	1125,0	36434,4	49,0	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:08	P	25	8	14	10	27	8	2	100	0	NA	27	NA	NA	NA	1018,1	NA	NA	6	1125,0	36434,5	48,9	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:14	P	25	8	14	10	27	14	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,0	36434,6	48,9	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:20	P	25	8	14	10	27	20	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,0	36434,8	48,8	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:26	P	25	8	14	10	27	26	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36434,9	48,8	28,3	NA	NA	NA	102,9A	NA
14.08.2025 10:27:32	P	25	8	14	10	27	32	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,0	48,7	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:27:38	P	25	8	14	10	27	38	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,1	48,6	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:27:44	P	25	8	14	10	27	44	2	100	0	NA	28	NA	NA	NA	1018,1	NA	NA	6	1125,1	36435,3	48,6	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:27:50	P	25	8	14	10	27	50	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,4	48,6	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:27:56	P	25	8	14	10	27	56	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,5	48,5	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:28:02	P	25	8	14	10	28	2	2	100	0	NA	28	NA	NA	NA	1017,9	NA	NA	6	1125,1	36435,6	48,5	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:28:08	P	25	8	14	10	28	8	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,7	48,5	28,4	NA	NA	NA	102,9A	NA
14.08.2025 10:28:14	P	25	8	14	10	28	14	2	100	0	NA	28	NA	NA	NA	1017,6	NA	NA	6	1125,1	36435,9	48,4	28,5	NA	NA	NA	102,9A	NA
