<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:26:08	78,0	47,3	20,9	11,2	6,4	36,1	67,1	52,9	17,2	53,9	8,7	5,2
14.08.2025 10:26:14	93,4	32,0	21,7	12,7	6,9	19,3	65,5	40,3	16,9	30,1	9,9	5,6
14.08.2025 10:26:20	104,4	31,9	14,1	9,1	6,8	22,8	78,3	48,2	12,3	37,9	7,2	5,5
14.08.2025 10:26:26	51,5	38,1	19,5	11,8	6,3	26,3	48,3	41,9	16,6	43,2	9,2	5,1
14.08.2025 10:26:32	309,6	29,5	14,2	8,6	6,6	20,9	146,7	37,2	12,6	34,0	6,8	5,3
14.08.2025 10:26:38	112,2	34,3	20,6	11,4	6,8	22,9	79,5	47,7	16,4	34,2	9,0	5,5
14.08.2025 10:26:44	66,8	34,5	13,9	9,6	7,0	24,8	57,2	43,0	12,1	41,8	7,6	5,7
14.08.2025 10:26:50	58,0	41,8	18,6	10,3	6,4	31,5	55,1	47,0	16,5	49,7	8,1	5,1
14.08.2025 10:26:56	49,4	30,7	17,6	10,5	6,7	20,2	43,2	35,0	15,1	33,1	8,2	5,4
14.08.2025 10:27:02	34,6	22,1	11,8	9,3	6,8	12,8	29,7	24,2	9,7	24,5	7,4	5,5
14.08.2025 10:27:08	69,1	49,3	24,5	13,5	6,4	35,8	63,7	54,2	20,8	55,9	10,5	5,2
