testo435-635-735;"DATE";"TIME";"[ppm] CO2";"mbar";"°C";"%rF"
1;"14.08.2025";"10:20:55";882,89;1013,72;27,03;50,70
2;"14.08.2025";"10:20:56";882,89;1013,72;27,03;50,70
3;"14.08.2025";"10:20:57";884,77;1013,74;27,02;50,73
4;"14.08.2025";"10:20:58";884,77;1013,74;27,02;50,73
5;"14.08.2025";"10:20:59";884,77;1013,74;27,02;50,73
6;"14.08.2025";"10:21:00";886,81;1013,68;27,02;50,73
7;"14.08.2025";"10:21:01";886,81;1013,68;27,02;50,73
8;"14.08.2025";"10:21:02";889,04;1013,68;27,03;50,69
9;"14.08.2025";"10:21:03";889,04;1013,68;27,03;50,69
10;"14.08.2025";"10:21:04";890,45;1013,72;27,03;50,63
11;"14.08.2025";"10:21:05";890,45;1013,72;27,03;50,63
12;"14.08.2025";"10:21:06";890,45;1013,72;27,03;50,63
13;"14.08.2025";"10:21:07";890,46;1013,68;27,03;50,59
14;"14.08.2025";"10:21:08";890,46;1013,68;27,03;50,59
15;"14.08.2025";"10:21:09";890,46;1013,68;27,03;50,59
16;"14.08.2025";"10:21:10";890,46;1013,68;27,03;50,59
17;"14.08.2025";"10:21:11";890,46;1013,68;27,03;50,59
18;"14.08.2025";"10:21:12";889,82;1013,76;27,03;50,62
19;"14.08.2025";"10:21:13";889,82;1013,76;27,03;50,62
20;"14.08.2025";"10:21:14";888,24;1013,76;27,03;50,59
21;"14.08.2025";"10:21:15";888,24;1013,76;27,03;50,59
22;"14.08.2025";"10:21:16";886,84;1013,72;27,05;50,55
23;"14.08.2025";"10:21:17";886,84;1013,72;27,05;50,55
24;"14.08.2025";"10:21:18";886,84;1013,72;27,05;50,55
25;"14.08.2025";"10:21:19";884,55;1013,74;27,02;50,54
26;"14.08.2025";"10:21:20";884,55;1013,74;27,02;50,54
27;"14.08.2025";"10:21:21";880,23;1013,72;27,03;50,48
28;"14.08.2025";"10:21:22";880,23;1013,72;27,03;50,48
29;"14.08.2025";"10:21:23";880,23;1013,72;27,03;50,48
30;"14.08.2025";"10:21:24";880,23;1013,72;27,03;50,48
31;"14.08.2025";"10:21:25";880,23;1013,72;27,03;50,48
32;"14.08.2025";"10:21:26";877,68;1013,72;27,03;50,49
33;"14.08.2025";"10:21:27";877,68;1013,72;27,03;50,49
34;"14.08.2025";"10:21:28";876,80;1013,68;27,02;50,50
35;"14.08.2025";"10:21:29";876,80;1013,68;27,02;50,50
36;"14.08.2025";"10:21:30";876,80;1013,68;27,02;50,50
37;"14.08.2025";"10:21:31";876,56;1013,68;27,03;50,54
38;"14.08.2025";"10:21:32";876,56;1013,68;27,03;50,54
39;"14.08.2025";"10:21:33";876,43;1013,74;27,03;50,50
40;"14.08.2025";"10:21:34";876,43;1013,74;27,03;50,50
41;"14.08.2025";"10:21:35";876,43;1013,74;27,03;50,50
42;"14.08.2025";"10:21:36";875,86;1013,72;27,03;50,59
43;"14.08.2025";"10:21:37";875,86;1013,72;27,03;50,59
44;"14.08.2025";"10:21:38";875,86;1013,72;27,03;50,59
45;"14.08.2025";"10:21:39";875,86;1013,72;27,03;50,59
46;"14.08.2025";"10:21:40";876,06;1013,74;27,02;50,60
47;"14.08.2025";"10:21:41";876,06;1013,74;27,02;50,60
48;"14.08.2025";"10:21:42";876,06;1013,74;27,02;50,60
49;"14.08.2025";"10:21:43";877,73;1013,70;27,03;50,61
50;"14.08.2025";"10:21:44";877,73;1013,70;27,03;50,61
51;"14.08.2025";"10:21:45";877,80;1013,72;27,03;50,63
52;"14.08.2025";"10:21:46";877,80;1013,72;27,03;50,63
53;"14.08.2025";"10:21:47";877,80;1013,72;27,03;50,63
54;"14.08.2025";"10:21:48";878,03;1013,70;27,04;50,65
55;"14.08.2025";"10:21:49";878,03;1013,70;27,04;50,65
56;"14.08.2025";"10:21:50";879,57;1013,70;27,04;50,56
57;"14.08.2025";"10:21:51";879,57;1013,70;27,04;50,56
58;"14.08.2025";"10:21:52";879,57;1013,70;27,04;50,56
59;"14.08.2025";"10:21:53";879,57;1013,70;27,04;50,56
60;"14.08.2025";"10:21:54";879,57;1013,70;27,04;50,56
61;"14.08.2025";"10:21:55";881,43;1013,76;27,04;50,52
62;"14.08.2025";"10:21:56";881,43;1013,76;27,04;50,52
63;"14.08.2025";"10:21:57";882,86;1013,70;27,03;50,54
64;"14.08.2025";"10:21:58";882,86;1013,70;27,03;50,54
65;"14.08.2025";"10:21:59";882,86;1013,70;27,03;50,54
66;"14.08.2025";"10:22:00";884,68;1013,72;27,04;50,53
67;"14.08.2025";"10:22:01";884,68;1013,72;27,04;50,53
68;"14.08.2025";"10:22:02";885,83;1013,74;27,03;50,59
69;"14.08.2025";"10:22:03";885,83;1013,74;27,03;50,59
70;"14.08.2025";"10:22:04";887,27;1013,74;27,04;50,63
71;"14.08.2025";"10:22:05";887,27;1013,74;27,04;50,63
72;"14.08.2025";"10:22:06";887,27;1013,74;27,04;50,63
73;"14.08.2025";"10:22:07";887,27;1013,74;27,04;50,63
74;"14.08.2025";"10:22:08";887,27;1013,74;27,04;50,63
75;"14.08.2025";"10:22:09";889,05;1013,74;27,04;50,65
76;"14.08.2025";"10:22:10";889,05;1013,74;27,04;50,65
77;"14.08.2025";"10:22:11";889,05;1013,74;27,04;50,65
78;"14.08.2025";"10:22:12";889,51;1013,74;27,03;50,58
79;"14.08.2025";"10:22:13";889,51;1013,74;27,03;50,58
80;"14.08.2025";"10:22:14";889,09;1013,72;27,04;50,62
81;"14.08.2025";"10:22:15";889,09;1013,72;27,04;50,62
82;"14.08.2025";"10:22:16";889,22;1013,68;27,05;50,59
83;"14.08.2025";"10:22:17";889,22;1013,68;27,05;50,59
84;"14.08.2025";"10:22:18";889,22;1013,68;27,05;50,59
85;"14.08.2025";"10:22:19";889,16;1013,72;27,04;50,61
86;"14.08.2025";"10:22:20";889,16;1013,72;27,04;50,61
87;"14.08.2025";"10:22:21";889,16;1013,72;27,04;50,61
88;"14.08.2025";"10:22:22";889,16;1013,72;27,04;50,61
89;"14.08.2025";"10:22:23";889,16;1013,72;27,04;50,61
90;"14.08.2025";"10:22:24";888,89;1013,68;27,05;50,62
91;"14.08.2025";"10:22:25";888,89;1013,68;27,05;50,62
92;"14.08.2025";"10:22:26";888,68;1013,70;27,04;50,66
93;"14.08.2025";"10:22:27";888,68;1013,70;27,04;50,66
94;"14.08.2025";"10:22:28";887,06;1013,74;27,06;50,59
95;"14.08.2025";"10:22:29";887,06;1013,74;27,06;50,59
96;"14.08.2025";"10:22:30";887,06;1013,74;27,06;50,59
97;"14.08.2025";"10:22:31";885,71;1013,72;27,06;50,60
98;"14.08.2025";"10:22:32";885,71;1013,72;27,06;50,60
99;"14.08.2025";"10:22:33";886,21;1013,74;27,05;50,54
