<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
14.08.2025 12:45:57	0,03	0,01	0,08	0,00	0,10	0,00	0,40	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
14.08.2025 14:29:23	0,88	1,51	1,40	2,13	1,54	1,35	4,37	5,32	8,76	6,20	0,00	45,60	0,00	1167,36	2977,97
14.08.2025 14:29:29	0,88	1,62	1,64	2,23	1,79	1,35	3,97	4,25	14,59	6,20	33,24	0,00	132,95	291,84	1276,27
14.08.2025 14:29:35	0,93	1,58	1,71	1,84	1,24	1,79	5,56	6,38	5,84	0,00	16,62	91,20	132,95	0,00	1063,56
14.08.2025 14:29:41	0,89	1,53	1,80	1,87	1,69	1,20	1,98	7,44	11,67	12,41	16,62	45,60	265,89	729,60	3190,68
14.08.2025 14:29:47	0,91	1,65	1,71	1,66	1,49	1,64	1,98	7,44	5,84	12,41	33,24	0,00	132,95	145,92	1701,70
14.08.2025 14:29:53	0,83	1,44	1,55	1,66	1,24	1,64	1,59	7,44	2,92	24,81	49,85	0,00	0,00	145,92	1701,70
14.08.2025 14:29:59	0,98	1,61	1,73	2,00	1,74	1,64	3,57	3,19	5,84	0,00	49,85	45,60	0,00	583,68	2552,54
14.08.2025 14:30:05	0,88	1,57	1,77	2,15	1,79	2,09	4,76	4,25	14,59	6,20	33,24	91,20	265,89	948,48	3616,10
14.08.2025 14:30:11	0,84	1,48	1,64	1,63	1,34	1,79	3,97	3,19	11,67	12,41	0,00	91,20	0,00	583,68	1488,98
14.08.2025 14:30:17	0,81	1,67	1,82	2,36	1,04	1,05	4,76	9,57	8,76	0,00	83,09	0,00	265,89	1605,12	4892,38
14.08.2025 14:30:23	0,98	1,51	1,62	2,46	1,34	1,79	2,78	8,51	14,59	12,41	99,71	45,60	398,84	364,80	2127,12
14.08.2025 14:30:29	0,89	1,41	1,49	1,84	1,29	1,94	3,57	4,25	5,84	18,61	16,62	0,00	0,00	656,64	3403,39
14.08.2025 14:30:35	0,91	1,42	1,59	1,95	1,19	1,35	4,37	8,51	11,67	12,41	33,24	0,00	265,89	1532,16	5105,09
